amphilophus_citrinellus ENSACIG00000002605
neolamprologus_brichardi ENSNBRG00000016417
xiphophorus_couchianus ENSXCOG00000002298
xiphophorus_maculatus ENSXMAG00000027007
poecilia_mexicana ENSPMEG00000005477
poecilia_latipinna ENSPLAG00000017063
gambusia_affinis ENSGAFG00000016487
amphiprion_percula ENSAPEG00000001429
seriola_dumerili ENSSDUG00000000956
seriola_lalandi_dorsalis ENSSLDG00000023213
mastacembelus_armatus ENSMAMG00000017066
mola_mola ENSMMOG00000008217
periophthalmus_magnuspinnatus ENSPMGG00000013750
astyanax_mexicanus ENSAMXG00000040193
panthera_pardus ENSPPRG00000020522
bison_bison_bison ENSBBBG00000012752
equus_caballus ENSECAG00000029539
nannospalax_galili ENSNGAG00000018385
apteryx_owenii ENSAOWG00000000087
nothoprocta_perdicaria ENSNPEG00000009799
numida_meleagris ENSNMEG00000011418
