manacus_vitellinus ENSMVIG00005010564
lepidothrix_coronata ENSLCOG00000011170
taeniopygia_guttata ENSTGUG00000005156
lonchura_striata_domestica ENSLSDG00000012059
serinus_canaria ENSSCAG00000006669
junco_hyemalis ENSJHYG00000009162
zonotrichia_albicollis ENSZALG00000011789
ficedula_albicollis ENSFALG00000006773
cyanistes_caeruleus ENSCCEG00000005866
parus_major ENSPMJG00000019011
melopsittacus_undulatus ENSMUNG00000001100
calidris_pygmaea ENSCPGG00000009500
calidris_pugnax ENSCPUG00000004652
gallus_gallus ENSGALG00000002485
meleagris_gallopavo ENSMGAG00000004428
coturnix_japonica ENSCJPG00005010354
numida_meleagris ENSNMEG00000015545
anser_brachyrhynchus ENSABRG00000007115
apteryx_haastii ENSAHAG00000007385
apteryx_owenii ENSAOWG00000004707
apteryx_rowi ENSARWG00000010951
dromaius_novaehollandiae ENSDNVG00000007770
nothoprocta_perdicaria ENSNPEG00000011160
crocodylus_porosus ENSCPRG00005007968
chelonoidis_abingdonii ENSCABG00000011545
gopherus_agassizii ENSGAGG00000022447
chrysemys_picta_bellii ENSCPBG00000014873
pelodiscus_sinensis ENSPSIG00000011387
pogona_vitticeps ENSPVIG00000010316
notechis_scutatus ENSNSUG00000006161
salvator_merianae ENSSMRG00000010700
sphenodon_punctatus ENSSPUG00000002410
bos_mutus ENSBMUG00000025160
bos_taurus ENSBTAG00000008195
capra_hircus ENSCHIG00000020988
ovis_aries ENSOARG00000010150
tursiops_truncatus ENSTTRG00000015179
sus_scrofa ENSSSCG00000007744
pteropus_vampyrus ENSPVAG00000001423
myotis_lucifugus ENSMLUG00000002800
ursus_americanus ENSUAMG00000004359
ursus_maritimus ENSUMAG00000015505
ailuropoda_melanoleuca ENSAMEG00000016056
mustela_putorius_furo ENSMPUG00000016208
neovison_vison ENSNVIG00000009361
canis_lupus_familiaris ENSCAFG00000010171
canis_lupus_dingo ENSCAFG00020005159
vulpes_vulpes ENSVVUG00000016594
panthera_pardus ENSPPRG00000005847
panthera_tigris_altaica ENSPTIG00000014311
felis_catus ENSFCAG00000002982
equus_asinus_asinus ENSEASG00005008855
equus_caballus ENSECAG00000005983
sorex_araneus ENSSARG00000006284
prolemur_simus ENSPSMG00000014548
microcebus_murinus ENSMICG00000014143
propithecus_coquereli ENSPCOG00000022397
otolemur_garnettii ENSOGAG00000031728
carlito_syrichta ENSTSYG00000009300
cebus_capucinus ENSCCAG00000029486
saimiri_boliviensis_boliviensis ENSSBOG00000005466
callithrix_jacchus ENSCJAG00000046282
aotus_nancymaae ENSANAG00000031084
pan_troglodytes ENSPTRG00000050759
pan_troglodytes ENSPTRG00000019208
pan_paniscus ENSPPAG00000033348
homo_sapiens ENSG00000164776
gorilla_gorilla ENSGGOG00000007584
nomascus_leucogenys ENSNLEG00000015779
rhinopithecus_bieti ENSRBIG00000021854
rhinopithecus_roxellana ENSRROG00000034066
colobus_angolensis_palliatus ENSCANG00000033871
piliocolobus_tephrosceles ENSPTEG00000012544
theropithecus_gelada ENSTGEG00000005936
papio_anubis ENSPANG00000004972
cercocebus_atys ENSCATG00000030217
chlorocebus_sabaeus ENSCSAG00000016139
mandrillus_leucophaeus ENSMLEG00000037860
macaca_fascicularis ENSMFAG00000045222
macaca_mulatta ENSMMUG00000015276
macaca_nemestrina ENSMNEG00000014506
marmota_marmota_marmota ENSMMMG00000004295
spermophilus_dauricus ENSSDAG00000013675
ictidomys_tridecemlineatus ENSSTOG00000010503
dipodomys_ordii ENSDORG00000001256
mus_musculus ENSMUSG00000025537
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027788
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028787
mus_spicilegus ENSMSIG00000020980
mus_pahari MGP_PahariEiJ_G0024394
rattus_norvegicus ENSRNOG00000000920
meriones_unguiculatus ENSMUGG00000006008
cricetulus_griseus_crigri-picr ENSCGRG00015019368
cricetulus_griseus_crigri ENSCGRG00000005515
cricetulus_griseus_chok1gshd ENSCGRG00001003774
mesocricetus_auratus ENSMAUG00000001041
microtus_ochrogaster ENSMOCG00000020603
peromyscus_maniculatus_bairdii ENSPEMG00000006299
nannospalax_galili ENSNGAG00000022813
jaculus_jaculus ENSJJAG00000010501
oryctolagus_cuniculus ENSOCUG00000013618
ochotona_princeps ENSOPRG00000003419
tupaia_belangeri ENSTBEG00000012433
dasypus_novemcinctus ENSDNOG00000024782
erinaceus_europaeus ENSEEUG00000005809
loxodonta_africana ENSLAFG00000012802
procavia_capensis ENSPCAG00000015698
echinops_telfairi ENSETEG00000009376
callithrix_jacchus ENSCJAG00000044701
urocitellus_parryii ENSUPAG00010019266
bison_bison_bison ENSBBBG00000003738
pogona_vitticeps ENSPVIG00000000788
anas_platyrhynchos_platyrhynchos ENSAPLG00000019405
anas_platyrhynchos_platyrhynchos ENSAPLG00000027147
cavia_porcellus ENSCPOG00000000387
cavia_aperea ENSCAPG00000012191
chinchilla_lanigera ENSCLAG00000005270
octodon_degus ENSODEG00000014159
heterocephalus_glaber_male ENSHGLG00100016424
heterocephalus_glaber_female ENSHGLG00000018933
fukomys_damarensis ENSFDAG00000013366
phascolarctos_cinereus ENSPCIG00000024720
notamacropus_eugenii ENSMEUG00000014235
monodelphis_domestica ENSMODG00000006880
sarcophilus_harrisii ENSSHAG00000016754
ornithorhynchus_anatinus ENSOANG00000010442
xenopus_tropicalis ENSXETG00000010064
latimeria_chalumnae ENSLACG00000018891
oryzias_latipes ENSORLG00000007778
oryzias_latipes_asm223469v1 ENSORLG00015000078
oryzias_latipes ENSORLG00020021581
oryzias_melastigma ENSOMEG00000016234
periophthalmus_magnuspinnatus ENSPMGG00000021235
cynoglossus_semilaevis ENSCSEG00000009748
monopterus_albus ENSMALG00000005302
mastacembelus_armatus ENSMAMG00000009430
anabas_testudineus ENSATEG00000010639
seriola_dumerili ENSSDUG00000020500
seriola_lalandi_dorsalis ENSSLDG00000016024
labrus_bergylta ENSLBEG00000026509
labrus_bergylta ENSLBEG00000000836
takifugu_rubripes ENSTRUG00000015551
tetraodon_nigroviridis ENSTNIG00000002064
mola_mola ENSMMOG00000012050
gasterosteus_aculeatus ENSGACG00000008901
scophthalmus_maximus ENSSMAG00000016659
amphiprion_ocellaris ENSAOCG00000015642
amphiprion_percula ENSAPEG00000013744
acanthochromis_polyacanthus ENSAPOG00000014226
stegastes_partitus ENSSPAG00000004743
fundulus_heteroclitus ENSFHEG00000005334
cyprinodon_variegatus ENSCVAG00000000721
xiphophorus_maculatus ENSXMAG00000024057
xiphophorus_couchianus ENSXCOG00000012754
gambusia_affinis ENSGAFG00000010638
poecilia_formosa ENSPFOG00000015540
poecilia_mexicana ENSPMEG00000014128
poecilia_latipinna ENSPLAG00000001698
poecilia_reticulata ENSPREG00000022125
kryptolebias_marmoratus ENSKMAG00000015550
haplochromis_burtoni ENSHBUG00000016808
pundamilia_nyererei ENSPNYG00000016851
astatotilapia_calliptera ENSACLG00000020338
maylandia_zebra ENSMZEG00005015334
neolamprologus_brichardi ENSNBRG00000008366
oreochromis_niloticus ENSONIG00000008116
amphilophus_citrinellus ENSACIG00000002559
hippocampus_comes ENSHCOG00000017011
gadus_morhua ENSGMOG00000011657
esox_lucius ENSELUG00000000300
pygocentrus_nattereri ENSPNAG00000007377
astyanax_mexicanus ENSAMXG00000031099
ictalurus_punctatus ENSIPUG00000007850
danio_rerio ENSDARG00000030604
pygocentrus_nattereri ENSPNAG00000016066
astyanax_mexicanus ENSAMXG00000006059
danio_rerio ENSDARG00000069498
paramormyrops_kingsleyae ENSPKIG00000006174
scleropages_formosus ENSSFOG00015001873
lepisosteus_oculatus ENSLOCG00000004210
eptatretus_burgeri ENSEBUG00000009216
eptatretus_burgeri ENSEBUG00000005963
eptatretus_burgeri ENSEBUG00000010343
petromyzon_marinus ENSPMAG00000008733
