ovis_aries ENSOARG00000019866
myotis_lucifugus ENSMLUG00000027346
meriones_unguiculatus ENSMUGG00000008967
meriones_unguiculatus ENSMUGG00000008958
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030750
nannospalax_galili ENSNGAG00000016678
jaculus_jaculus ENSJJAG00000018488
mus_spicilegus ENSMSIG00000019922
mus_spicilegus ENSMSIG00000008633
ictidomys_tridecemlineatus ENSSTOG00000026341
spermophilus_dauricus ENSSDAG00000020595
castor_canadensis ENSCCNG00000001029
loxodonta_africana ENSLAFG00000030822
