clupea_harengus ENSCHAG00000014313
electrophorus_electricus ENSEEEG00000005940
hucho_hucho ENSHHUG00000037710
esox_lucius ENSELUG00000003165
pygocentrus_nattereri ENSPNAG00000012791
pygocentrus_nattereri ENSPNAG00000013991
astyanax_mexicanus ENSAMXG00000030954
astyanax_mexicanus ENSAMXG00005023684
lepisosteus_oculatus ENSLOCG00000014249
pogona_vitticeps ENSPVIG00000002002
anolis_carolinensis ENSACAG00000000139
notechis_scutatus ENSNSUG00000002731
salvator_merianae ENSSMRG00000006879
sphenodon_punctatus ENSSPUG00000014562
chelonoidis_abingdonii ENSCABG00000008929
gopherus_agassizii ENSGAGG00000016450
chrysemys_picta ENSCPBG00000024432
pelodiscus_sinensis ENSPSIG00000009851
apteryx_haastii ENSAHAG00000004229
apteryx_owenii ENSAOWG00000008267
apteryx_rowi ENSARWG00000017592
dromaius_novaehollandiae ENSDNVG00000004045
nothoprocta_perdicaria ENSNPEG00000009935
phascolarctos_cinereus ENSPCIG00000018291
vombatus_ursinus ENSVURG00010005773
sarcophilus_harrisii ENSSHAG00000014399
monodelphis_domestica ENSMODG00000017763
ovis_aries ENSOARG00000010849
capra_hircus ENSCHIG00000017322
bos_indicus ENSBIXG00005021004
bos_indicus ENSBIXG00005020986
bos_indicus ENSBIXG00000014719
bos_taurus ENSBTAG00000032130
bos_mutus ENSBMUG00000020503
bos_mutus ENSBMUG00000020513
bison_bison ENSBBBG00000009961
vicugna_pacos ENSVPAG00000006291
sus_scrofa ENSSSCG00000004701
equus_caballus ENSECAG00000020759
equus_asinus ENSEASG00005005873
myotis_lucifugus ENSMLUG00000009375
ursus_americanus ENSUAMG00000014977
ursus_maritimus ENSUMAG00000008375
ailuropoda_melanoleuca ENSAMEG00000015273
mustela_putorius ENSMPUG00000010412
neovison_vison ENSNVIG00000020798
canis_lupus ENSCAFG00000013189
canis_lupus ENSCAFG00020000273
vulpes_vulpes ENSVVUG00000010512
panthera_pardus ENSPPRG00000023581
panthera_tigris ENSPTIG00000021679
felis_catus ENSFCAG00000025930
erinaceus_europaeus ENSEEUG00000005688
loxodonta_africana ENSLAFG00000010201
castor_canadensis ENSCCNG00000001628
castor_canadensis ENSCCNG00000001598
dipodomys_ordii ENSDORG00000004482
mus_spretus MGP_SPRETEiJ_G0025107
mus_spicilegus ENSMSIG00000028892
mus_musculus ENSMUSG00000033486
mus_caroli MGP_CAROLIEiJ_G0024191
mus_pahari MGP_PahariEiJ_G0025633
rattus_norvegicus ENSRNOG00000023064
meriones_unguiculatus ENSMUGG00000019591
cricetulus_griseus ENSCGRG00001024914
cricetulus_griseus ENSCGRG00000011221
mesocricetus_auratus ENSMAUG00000021642
peromyscus_maniculatus ENSPEMG00000015421
microtus_ochrogaster ENSMOCG00000008206
nannospalax_galili ENSNGAG00000000129
jaculus_jaculus ENSJJAG00000024389
spermophilus_dauricus ENSSDAG00000013559
ictidomys_tridecemlineatus ENSSTOG00000025459
urocitellus_parryii ENSUPAG00010010437
marmota_marmota ENSMMMG00000018345
heterocephalus_glaber ENSHGLG00000014701
chinchilla_lanigera ENSCLAG00000007383
oryctolagus_cuniculus ENSOCUG00000033403
ochotona_princeps ENSOPRG00000008430
prolemur_simus ENSPSMG00000009160
microcebus_murinus ENSMICG00000048141
propithecus_coquereli ENSPCOG00000027449
otolemur_garnettii ENSOGAG00000006112
carlito_syrichta ENSTSYG00000025449
colobus_angolensis ENSCANG00000035650
gorilla_gorilla ENSGGOG00000041810
cebus_capucinus ENSCCAG00000026150
saimiri_boliviensis ENSSBOG00000025113
callithrix_jacchus ENSCJAG00000037831
aotus_nancymaae ENSANAG00000020927
pan_troglodytes ENSPTRG00000006999
pan_troglodytes ENSPTRG00000051408
pan_paniscus ENSPPAG00000016741
pan_troglodytes ENSPTRG00000045098
gorilla_gorilla ENSGGOG00000006175
homo_sapiens ENSG00000166762
pongo_abelii ENSPPYG00000006418
nomascus_leucogenys ENSNLEG00000005346
papio_anubis ENSPANG00000031176
mandrillus_leucophaeus ENSMLEG00000029022
chlorocebus_sabaeus ENSCSAG00000009397
macaca_fascicularis ENSMFAG00000044589
cercocebus_atys ENSCATG00000040325
macaca_fascicularis ENSMFAG00000038253
macaca_fascicularis ENSMFAG00000037924
macaca_nemestrina ENSMNEG00000041683
piliocolobus_tephrosceles ENSPTEG00000010569
macaca_nemestrina ENSMNEG00000037620
mandrillus_leucophaeus ENSMLEG00000029361
colobus_angolensis ENSCANG00000028473
gorilla_gorilla ENSGGOG00000043668
macaca_mulatta ENSMMUG00000029700
theropithecus_gelada ENSTGEG00000026159
papio_anubis ENSPANG00000030266
piliocolobus_tephrosceles ENSPTEG00000019463
piliocolobus_tephrosceles ENSPTEG00000019503
rhinopithecus_bieti ENSRBIG00000040103
rhinopithecus_roxellana ENSRROG00000032797
rhinopithecus_bieti ENSRBIG00000041988
colobus_angolensis ENSCANG00000015757
nomascus_leucogenys ENSNLEG00000028778
cebus_capucinus ENSCCAG00000029171
aotus_nancymaae ENSANAG00000020939
macaca_nemestrina ENSMNEG00000034859
cercocebus_atys ENSCATG00000036714
rhinopithecus_bieti ENSRBIG00000034853
rhinopithecus_roxellana ENSRROG00000033679
cricetulus_griseus ENSCGRG00015019822
nomascus_leucogenys ENSNLEG00000032558
procavia_capensis ENSPCAG00000015455
ornithorhynchus_anatinus ENSOANG00000003952
latimeria_chalumnae ENSLACG00000013125
callorhinchus_milii ENSCMIG00000002875
ciona_savignyi ENSCSAVG00000000156
ciona_intestinalis ENSCING00000004522
