manacus_vitellinus ENSMVIG00005012282
lepidothrix_coronata ENSLCOG00000005661
lonchura_striata_domestica ENSLSDG00000013728
apteryx_owenii ENSAOWG00000016127
apteryx_rowi ENSARWG00000001266
apteryx_haastii ENSAHAG00000009160
nothoprocta_perdicaria ENSNPEG00000001256
crocodylus_porosus ENSCPRG00005010165
chrysemys_picta_bellii ENSCPBG00000024370
sphenodon_punctatus ENSSPUG00000008134
notechis_scutatus ENSNSUG00000020160
myotis_lucifugus ENSMLUG00000028502
myotis_lucifugus ENSMLUG00000024758
spermophilus_dauricus ENSSDAG00000002834
urocitellus_parryii ENSUPAG00010014935
marmota_marmota_marmota ENSMMMG00000005379
sarcophilus_harrisii ENSSHAG00000015225
