piliocolobus_tephrosceles ENSPTEG00000011110
macaca_fascicularis ENSMFAG00000041962
macaca_nemestrina ENSMNEG00000043358
papio_anubis ENSPANG00000030161
rhinopithecus_bieti ENSRBIG00000031915
aotus_nancymaae ENSANAG00000037434
macaca_nemestrina ENSMNEG00000040982
pan_troglodytes ENSPTRG00000046592
callithrix_jacchus ENSCJAG00000042402
prolemur_simus ENSPSMG00000022494
mus_spicilegus ENSMSIG00000023502
meriones_unguiculatus ENSMUGG00000012698
mus_spicilegus ENSMSIG00000026995
meriones_unguiculatus ENSMUGG00000013035
cricetulus_griseus_crigri-picr ENSCGRG00015022698
vulpes_vulpes ENSVVUG00000011800
canis_lupus_dingo ENSCAFG00020019232
canis_lupus_dingo ENSCAFG00020027327
canis_lupus_dingo ENSCAFG00020020306
ursus_americanus ENSUAMG00000024416
ursus_maritimus ENSUMAG00000005367
neovison_vison ENSNVIG00000008190
felis_catus ENSFCAG00000039503
panthera_pardus ENSPPRG00000010694
panthera_pardus ENSPPRG00000007569
canis_lupus_dingo ENSCAFG00020011324
mus_spicilegus ENSMSIG00000012228
