calidris_pugnax ENSCPUG00000009756
calidris_pygmaea ENSCPGG00000014886
cyanistes_caeruleus ENSCCEG00000001227
parus_major ENSPMJG00000003038
ficedula_albicollis ENSFALG00000005612
lonchura_striata_domestica ENSLSDG00000013997
taeniopygia_guttata ENSTGUG00000004675
serinus_canaria ENSSCAG00000012231
junco_hyemalis ENSJHYG00000003454
zonotrichia_albicollis ENSZALG00000013473
manacus_vitellinus ENSMVIG00005009359
lepidothrix_coronata ENSLCOG00000008896
melopsittacus_undulatus ENSMUNG00000010008
anser_brachyrhynchus ENSABRG00000003422
anas_platyrhynchos_platyrhynchos ENSAPLG00000024200
apteryx_owenii ENSAOWG00000005078
apteryx_haastii ENSAHAG00000000002
apteryx_rowi ENSARWG00000014813
dromaius_novaehollandiae ENSDNVG00000001695
nothoprocta_perdicaria ENSNPEG00000011303
meleagris_gallopavo ENSMGAG00000003300
coturnix_japonica ENSCJPG00005020858
gallus_gallus ENSGALG00000003670
numida_meleagris ENSNMEG00000015899
crocodylus_porosus ENSCPRG00005012424
chelonoidis_abingdonii ENSCABG00000000278
gopherus_agassizii ENSGAGG00000001664
chrysemys_picta_bellii ENSCPBG00000018172
pelodiscus_sinensis ENSPSIG00000000813
pogona_vitticeps ENSPVIG00000023477
notechis_scutatus ENSNSUG00000001361
salvator_merianae ENSSMRG00000015068
sphenodon_punctatus ENSSPUG00000003277
sarcophilus_harrisii ENSSHAG00000018460
phascolarctos_cinereus ENSPCIG00000002302
monodelphis_domestica ENSMODG00000000534
latimeria_chalumnae ENSLACG00000017985
xenopus_tropicalis ENSXETG00000032746
canis_lupus_dingo ENSCAFG00020012806
canis_lupus_familiaris ENSCAFG00000024903
vulpes_vulpes ENSVVUG00000029225
marmota_marmota_marmota ENSMMMG00000015129
spermophilus_dauricus ENSSDAG00000020001
ovis_aries ENSOARG00000001355
capra_hircus ENSCHIG00000013144
bos_taurus ENSBTAG00000003396
tursiops_truncatus ENSTTRG00000011775
sus_scrofa ENSSSCG00000032251
myotis_lucifugus ENSMLUG00000003028
equus_caballus ENSECAG00000024705
equus_asinus_asinus ENSEASG00005023457
neovison_vison ENSNVIG00000012845
mustela_putorius_furo ENSMPUG00000017703
ursus_americanus ENSUAMG00000008852
felis_catus ENSFCAG00000010841
panthera_pardus ENSPPRG00000018421
urocitellus_parryii ENSUPAG00010002307
ictidomys_tridecemlineatus ENSSTOG00000029174
castor_canadensis ENSCCNG00000009664
chinchilla_lanigera ENSCLAG00000013826
cavia_porcellus ENSCPOG00000036987
octodon_degus ENSODEG00000020525
octodon_degus ENSODEG00000020480
heterocephalus_glaber_male ENSHGLG00100020457
heterocephalus_glaber_female ENSHGLG00000020409
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025519
mus_spicilegus ENSMSIG00000015312
mus_musculus ENSMUSG00000074622
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024597
mus_pahari MGP_PahariEiJ_G0026041
rattus_norvegicus ENSRNOG00000016037
meriones_unguiculatus ENSMUGG00000018640
cricetulus_griseus_chok1gshd ENSCGRG00001005706
cricetulus_griseus_crigri-picr ENSCGRG00015023757
cricetulus_griseus_crigri ENSCGRG00000003769
mesocricetus_auratus ENSMAUG00000017094
microtus_ochrogaster ENSMOCG00000001028
peromyscus_maniculatus_bairdii ENSPEMG00000008568
nannospalax_galili ENSNGAG00000017978
jaculus_jaculus ENSJJAG00000012856
dipodomys_ordii ENSDORG00000016730
oryctolagus_cuniculus ENSOCUG00000021619
propithecus_coquereli ENSPCOG00000000450
microcebus_murinus ENSMICG00000007079
prolemur_simus ENSPSMG00000025314
otolemur_garnettii ENSOGAG00000030499
pan_paniscus ENSPPAG00000021479
pan_troglodytes ENSPTRG00000030557
homo_sapiens ENSG00000204103
gorilla_gorilla ENSGGOG00000001226
pongo_abelii ENSPPYG00000011008
nomascus_leucogenys ENSNLEG00000006460
macaca_mulatta ENSMMUG00000004148
macaca_fascicularis ENSMFAG00000023841
macaca_nemestrina ENSMNEG00000039877
theropithecus_gelada ENSTGEG00000023019
papio_anubis ENSPANG00000016615
cercocebus_atys ENSCATG00000041820
chlorocebus_sabaeus ENSCSAG00000018753
mandrillus_leucophaeus ENSMLEG00000004411
rhinopithecus_bieti ENSRBIG00000023335
rhinopithecus_roxellana ENSRROG00000025352
colobus_angolensis_palliatus ENSCANG00000013810
cebus_capucinus ENSCCAG00000001296
saimiri_boliviensis_boliviensis ENSSBOG00000019882
callithrix_jacchus ENSCJAG00000018157
aotus_nancymaae ENSANAG00000017676
dasypus_novemcinctus ENSDNOG00000009008
loxodonta_africana ENSLAFG00000006958
oryzias_latipes ENSORLG00020001523
oryzias_latipes_asm223469v1 ENSORLG00015018944
oryzias_latipes ENSORLG00000025273
oryzias_melastigma ENSOMEG00000012408
kryptolebias_marmoratus ENSKMAG00000018062
fundulus_heteroclitus ENSFHEG00000022608
cyprinodon_variegatus ENSCVAG00000010311
poecilia_mexicana ENSPMEG00000003847
poecilia_formosa ENSPFOG00000007436
poecilia_reticulata ENSPREG00000009705
poecilia_latipinna ENSPLAG00000014478
xiphophorus_maculatus ENSXMAG00000019914
xiphophorus_couchianus ENSXCOG00000008023
gambusia_affinis ENSGAFG00000021117
hippocampus_comes ENSHCOG00000011652
cynoglossus_semilaevis ENSCSEG00000021002
periophthalmus_magnuspinnatus ENSPMGG00000006968
mastacembelus_armatus ENSMAMG00000010630
monopterus_albus ENSMALG00000000397
anabas_testudineus ENSATEG00000005372
seriola_dumerili ENSSDUG00000016930
seriola_lalandi_dorsalis ENSSLDG00000025314
scophthalmus_maximus ENSSMAG00000008395
takifugu_rubripes ENSTRUG00000025028
tetraodon_nigroviridis ENSTNIG00000017865
mola_mola ENSMMOG00000020378
amphiprion_percula ENSAPEG00000008093
amphiprion_ocellaris ENSAOCG00000020286
acanthochromis_polyacanthus ENSAPOG00000016988
stegastes_partitus ENSSPAG00000017521
maylandia_zebra ENSMZEG00005026558
pundamilia_nyererei ENSPNYG00000001689
astatotilapia_calliptera ENSACLG00000026057
haplochromis_burtoni ENSHBUG00000005400
neolamprologus_brichardi ENSNBRG00000014768
oreochromis_niloticus ENSONIG00000021147
amphilophus_citrinellus ENSACIG00000009757
labrus_bergylta ENSLBEG00000006331
gadus_morhua ENSGMOG00000018976
esox_lucius ENSELUG00000001978
pygocentrus_nattereri ENSPNAG00000023436
astyanax_mexicanus ENSAMXG00000042017
ictalurus_punctatus ENSIPUG00000016478
