cynoglossus_semilaevis ENSCSEG00000003600
periophthalmus_magnuspinnatus ENSPMGG00000004516
labrus_bergylta ENSLBEG00000002870
seriola_dumerili ENSSDUG00000007056
seriola_lalandi_dorsalis ENSSLDG00000022792
mastacembelus_armatus ENSMAMG00000007389
monopterus_albus ENSMALG00000013245
amphiprion_ocellaris ENSAOCG00000022575
amphiprion_percula ENSAPEG00000006071
acanthochromis_polyacanthus ENSAPOG00000007369
stegastes_partitus ENSSPAG00000006190
maylandia_zebra ENSMZEG00005017710
astatotilapia_calliptera ENSACLG00000020907
haplochromis_burtoni ENSHBUG00000001320
pundamilia_nyererei ENSPNYG00000013421
neolamprologus_brichardi ENSNBRG00000020449
neolamprologus_brichardi ENSNBRG00000002926
pygocentrus_nattereri ENSPNAG00000020938
danio_rerio ENSDARG00000005122
paramormyrops_kingsleyae ENSPKIG00000006802
scleropages_formosus ENSSFOG00015006595
lepisosteus_oculatus ENSLOCG00000007165
octodon_degus ENSODEG00000011665
chinchilla_lanigera ENSCLAG00000014542
cavia_porcellus ENSCPOG00000002739
cavia_aperea ENSCAPG00000016088
heterocephalus_glaber_female ENSHGLG00000017656
heterocephalus_glaber_male ENSHGLG00100017634
fukomys_damarensis ENSFDAG00000020693
urocitellus_parryii ENSUPAG00010006252
spermophilus_dauricus ENSSDAG00000016471
ictidomys_tridecemlineatus ENSSTOG00000011953
marmota_marmota_marmota ENSMMMG00000002161
mus_spicilegus ENSMSIG00000013283
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028706
mus_musculus ENSMUSG00000029467
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027708
mus_pahari MGP_PahariEiJ_G0024288
rattus_norvegicus ENSRNOG00000001285
meriones_unguiculatus ENSMUGG00000014282
cricetulus_griseus_chok1gshd ENSCGRG00001006028
cricetulus_griseus_crigri-picr ENSCGRG00015026035
cricetulus_griseus_crigri ENSCGRG00000015653
mesocricetus_auratus ENSMAUG00000021380
microtus_ochrogaster ENSMOCG00000007488
peromyscus_maniculatus_bairdii ENSPEMG00000017764
nannospalax_galili ENSNGAG00000022885
jaculus_jaculus ENSJJAG00000017670
castor_canadensis ENSCCNG00000023417
pan_troglodytes ENSPTRG00000005437
pan_paniscus ENSPPAG00000042524
gorilla_gorilla ENSGGOG00000003592
homo_sapiens ENSG00000174437
pongo_abelii ENSPPYG00000004946
nomascus_leucogenys ENSNLEG00000002636
macaca_fascicularis ENSMFAG00000030226
macaca_mulatta ENSMMUG00000001739
macaca_nemestrina ENSMNEG00000031586
cercocebus_atys ENSCATG00000034386
mandrillus_leucophaeus ENSMLEG00000038965
papio_anubis ENSPANG00000012530
theropithecus_gelada ENSTGEG00000016177
chlorocebus_sabaeus ENSCSAG00000002670
rhinopithecus_roxellana ENSRROG00000044524
rhinopithecus_bieti ENSRBIG00000035655
colobus_angolensis_palliatus ENSCANG00000039804
piliocolobus_tephrosceles ENSPTEG00000023171
saimiri_boliviensis_boliviensis ENSSBOG00000035917
cebus_capucinus ENSCCAG00000034051
callithrix_jacchus ENSCJAG00000009429
aotus_nancymaae ENSANAG00000025704
carlito_syrichta ENSTSYG00000013308
propithecus_coquereli ENSPCOG00000019156
microcebus_murinus ENSMICG00000005450
prolemur_simus ENSPSMG00000000736
otolemur_garnettii ENSOGAG00000013411
ursus_americanus ENSUAMG00000010725
ursus_maritimus ENSUMAG00000007098
ailuropoda_melanoleuca ENSAMEG00000014007
canis_lupus_dingo ENSCAFG00020016909
canis_lupus_familiaris ENSCAFG00000008434
vulpes_vulpes ENSVVUG00000016463
neovison_vison ENSNVIG00000017337
mustela_putorius_furo ENSMPUG00000002138
panthera_pardus ENSPPRG00000013854
panthera_tigris_altaica ENSPTIG00000019643
felis_catus ENSFCAG00000028178
equus_caballus ENSECAG00000007671
equus_asinus_asinus ENSEASG00005012246
pteropus_vampyrus ENSPVAG00000003494
myotis_lucifugus ENSMLUG00000015466
bos_taurus ENSBTAG00000001398
bos_mutus ENSBMUG00000021129
bison_bison_bison ENSBBBG00000016669
ovis_aries ENSOARG00000016226
capra_hircus ENSCHIG00000025115
tursiops_truncatus ENSTTRG00000014676
sus_scrofa ENSSSCG00000034386
vicugna_pacos ENSVPAG00000008402
erinaceus_europaeus ENSEEUG00000011358
sorex_araneus ENSSARG00000000537
dasypus_novemcinctus ENSDNOG00000013601
choloepus_hoffmanni ENSCHOG00000006392
tupaia_belangeri ENSTBEG00000015984
loxodonta_africana ENSLAFG00000015351
procavia_capensis ENSPCAG00000012922
echinops_telfairi ENSETEG00000008719
oryctolagus_cuniculus ENSOCUG00000015082
ochotona_princeps ENSOPRG00000000960
dipodomys_ordii ENSDORG00000000500
ornithorhynchus_anatinus ENSOANG00000004781
phascolarctos_cinereus ENSPCIG00000017683
notamacropus_eugenii ENSMEUG00000016564
sarcophilus_harrisii ENSSHAG00000015035
monodelphis_domestica ENSMODG00000011679
anolis_carolinensis ENSACAG00000016106
pogona_vitticeps ENSPVIG00000012983
notechis_scutatus ENSNSUG00000014395
salvator_merianae ENSSMRG00000021246
sphenodon_punctatus ENSSPUG00000012123
anser_brachyrhynchus ENSABRG00000013067
anas_platyrhynchos_platyrhynchos ENSAPLG00000004659
gallus_gallus ENSGALG00000032287
meleagris_gallopavo ENSMGAG00000003826
coturnix_japonica ENSCJPG00005020192
numida_meleagris ENSNMEG00000016557
manacus_vitellinus ENSMVIG00005001474
lepidothrix_coronata ENSLCOG00000010157
taeniopygia_guttata ENSTGUG00000005728
lonchura_striata_domestica ENSLSDG00000005281
serinus_canaria ENSSCAG00000009595
parus_major ENSPMJG00000003569
cyanistes_caeruleus ENSCCEG00000023648
ficedula_albicollis ENSFALG00000009206
junco_hyemalis ENSJHYG00000011258
zonotrichia_albicollis ENSZALG00000014820
melopsittacus_undulatus ENSMUNG00000015809
calidris_pugnax ENSCPUG00000007379
calidris_pygmaea ENSCPGG00000002024
apteryx_haastii ENSAHAG00000006608
apteryx_owenii ENSAOWG00000015856
apteryx_rowi ENSARWG00000000213
dromaius_novaehollandiae ENSDNVG00000015584
nothoprocta_perdicaria ENSNPEG00000012250
crocodylus_porosus ENSCPRG00005012120
gopherus_agassizii ENSGAGG00000023806
chelonoidis_abingdonii ENSCABG00000007947
chrysemys_picta_bellii ENSCPBG00000026028
pelodiscus_sinensis ENSPSIG00000012143
pelodiscus_sinensis ENSPSIG00000008061
pelodiscus_sinensis ENSPSIG00000015409
xenopus_tropicalis ENSXETG00000002512
latimeria_chalumnae ENSLACG00000013710
