peromyscus_maniculatus_bairdii ENSPEMG00000019095
microtus_ochrogaster ENSMOCG00000019412
cricetulus_griseus_chok1gshd ENSCGRG00001014364
cricetulus_griseus_crigri-picr ENSCGRG00015015038
cricetulus_griseus_crigri ENSCGRG00000014402
mesocricetus_auratus ENSMAUG00000012071
mus_spicilegus ENSMSIG00000015159
mus_musculus ENSMUSG00000004500
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030270
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029194
mus_pahari MGP_PahariEiJ_G0021056
rattus_norvegicus ENSRNOG00000027436
meriones_unguiculatus ENSMUGG00000000059
castor_canadensis ENSCCNG00000021920
oryctolagus_cuniculus ENSOCUG00000010118
equus_caballus ENSECAG00000016453
equus_asinus_asinus ENSEASG00005020205
ursus_americanus ENSUAMG00000004284
ursus_americanus ENSUAMG00000004272
ailuropoda_melanoleuca ENSAMEG00000007614
neovison_vison ENSNVIG00000013233
canis_lupus_dingo ENSCAFG00020014839
vulpes_vulpes ENSVVUG00000003175
canis_lupus_familiaris ENSCAFG00000002360
canis_lupus_dingo ENSCAFG00020014843
vulpes_vulpes ENSVVUG00000002344
vulpes_vulpes ENSVVUG00000002414
panthera_pardus ENSPPRG00000002153
panthera_pardus ENSPPRG00000002719
felis_catus ENSFCAG00000039317
bos_mutus ENSBMUG00000021915
bos_taurus ENSBTAG00000039453
capra_hircus ENSCHIG00000025732
ovis_aries ENSOARG00000003860
sus_scrofa ENSSSCG00000031342
tursiops_truncatus ENSTTRG00000001993
loxodonta_africana ENSLAFG00000006762
procavia_capensis ENSPCAG00000005349
dasypus_novemcinctus ENSDNOG00000037922
xenopus_tropicalis ENSXETG00000012900
