parus_major ENSPMJG00000001410
cyanistes_caeruleus ENSCCEG00000021873
junco_hyemalis ENSJHYG00000007485
chrysemys_picta_bellii ENSCPBG00000027351
ailuropoda_melanoleuca ENSAMEG00000004953
chelonoidis_abingdonii ENSCABG00000004661
gopherus_agassizii ENSGAGG00000006941
chrysemys_picta_bellii ENSCPBG00000022338
pelodiscus_sinensis ENSPSIG00000004615
apteryx_rowi ENSARWG00000005388
apteryx_owenii ENSAOWG00000002637
nothoprocta_perdicaria ENSNPEG00000003087
gallus_gallus ENSGALG00000035539
coturnix_japonica ENSCJPG00005007695
anas_platyrhynchos_platyrhynchos ENSAPLG00000011136
melopsittacus_undulatus ENSMUNG00000001470
calidris_pugnax ENSCPUG00000003400
lepidothrix_coronata ENSLCOG00000002435
numida_meleagris ENSNMEG00000002781
dromaius_novaehollandiae ENSDNVG00000012057
anser_brachyrhynchus ENSABRG00000020690
calidris_pygmaea ENSCPGG00000011364
apteryx_haastii ENSAHAG00000018189
notechis_scutatus ENSNSUG00000002971
anolis_carolinensis ENSACAG00000010955
pogona_vitticeps ENSPVIG00000006878
salvator_merianae ENSSMRG00000002562
phascolarctos_cinereus ENSPCIG00000006707
notamacropus_eugenii ENSMEUG00000007414
echinops_telfairi ENSETEG00000017258
loxodonta_africana ENSLAFG00000030151
procavia_capensis ENSPCAG00000011039
carlito_syrichta ENSTSYG00000026149
otolemur_garnettii ENSOGAG00000033004
castor_canadensis ENSCCNG00000012751
propithecus_coquereli ENSPCOG00000027216
prolemur_simus ENSPSMG00000017025
microcebus_murinus ENSMICG00000041983
saimiri_boliviensis_boliviensis ENSSBOG00000029739
cebus_capucinus ENSCCAG00000030761
callithrix_jacchus ENSCJAG00000042165
aotus_nancymaae ENSANAG00000033194
gorilla_gorilla ENSGGOG00000037118
homo_sapiens ENSG00000198353
pan_troglodytes ENSPTRG00000048069
pan_paniscus ENSPPAG00000038534
pongo_abelii ENSPPYG00000004596
nomascus_leucogenys ENSNLEG00000017675
macaca_nemestrina ENSMNEG00000038564
macaca_fascicularis ENSMFAG00000045910
cercocebus_atys ENSCATG00000036624
papio_anubis ENSPANG00000010688
mandrillus_leucophaeus ENSMLEG00000001957
chlorocebus_sabaeus ENSCSAG00000005445
theropithecus_gelada ENSTGEG00000009890
piliocolobus_tephrosceles ENSPTEG00000035938
colobus_angolensis_palliatus ENSCANG00000033817
rhinopithecus_roxellana ENSRROG00000032086
rhinopithecus_bieti ENSRBIG00000042398
heterocephalus_glaber_male ENSHGLG00100007951
heterocephalus_glaber_female ENSHGLG00000002699
octodon_degus ENSODEG00000013631
chinchilla_lanigera ENSCLAG00000009713
