tursiops_truncatus ENSTTRG00000006907
sus_scrofa ENSSSCG00000038721
bos_taurus ENSBTAG00000033375
bos_mutus ENSBMUG00000026418
bison_bison_bison ENSBBBG00000001983
ovis_aries ENSOARG00000011832
capra_hircus ENSCHIG00000021353
vicugna_pacos ENSVPAG00000000521
equus_caballus ENSECAG00000020423
equus_asinus_asinus ENSEASG00005001811
ursus_americanus ENSUAMG00000010752
ursus_maritimus ENSUMAG00000001763
neovison_vison ENSNVIG00000020075
canis_lupus_dingo ENSCAFG00020010668
canis_lupus_familiaris ENSCAFG00000030177
vulpes_vulpes ENSVVUG00000020169
panthera_pardus ENSPPRG00000006144
panthera_tigris_altaica ENSPTIG00000008468
felis_catus ENSFCAG00000046618
erinaceus_europaeus ENSEEUG00000010396
sorex_araneus ENSSARG00000008010
pteropus_vampyrus ENSPVAG00000002751
cavia_porcellus ENSCPOG00000012758
cavia_aperea ENSCAPG00000003142
chinchilla_lanigera ENSCLAG00000014213
octodon_degus ENSODEG00000004054
fukomys_damarensis ENSFDAG00000008592
urocitellus_parryii ENSUPAG00010023843
spermophilus_dauricus ENSSDAG00000004368
marmota_marmota_marmota ENSMMMG00000001297
ictidomys_tridecemlineatus ENSSTOG00000030211
cricetulus_griseus_crigri-picr ENSCGRG00015008465
cricetulus_griseus_chok1gshd ENSCGRG00001024234
cricetulus_griseus_crigri ENSCGRG00000009144
mesocricetus_auratus ENSMAUG00000012947
microtus_ochrogaster ENSMOCG00000018699
peromyscus_maniculatus_bairdii ENSPEMG00000010488
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033083
mus_spicilegus ENSMSIG00000015803
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031959
mus_musculus ENSMUSG00000074452
mus_pahari MGP_PahariEiJ_G0014826
rattus_norvegicus ENSRNOG00000033981
meriones_unguiculatus ENSMUGG00000026190
nannospalax_galili ENSNGAG00000004667
jaculus_jaculus ENSJJAG00000018389
castor_canadensis ENSCCNG00000028538
dipodomys_ordii ENSDORG00000023962
carlito_syrichta ENSTSYG00000004573
oryctolagus_cuniculus ENSOCUG00000012321
ochotona_princeps ENSOPRG00000012363
tupaia_belangeri ENSTBEG00000015948
propithecus_coquereli ENSPCOG00000015841
prolemur_simus ENSPSMG00000003734
microcebus_murinus ENSMICG00000002420
otolemur_garnettii ENSOGAG00000013407
pan_troglodytes ENSPTRG00000022862
pan_paniscus ENSPPAG00000031155
gorilla_gorilla ENSGGOG00000003865
homo_sapiens ENSG00000196844
pongo_abelii ENSPPYG00000004038
nomascus_leucogenys ENSNLEG00000007456
colobus_angolensis_palliatus ENSCANG00000033756
piliocolobus_tephrosceles ENSPTEG00000003792
rhinopithecus_bieti ENSRBIG00000031818
rhinopithecus_roxellana ENSRROG00000038623
mandrillus_leucophaeus ENSMLEG00000034068
theropithecus_gelada ENSTGEG00000028094
chlorocebus_sabaeus ENSCSAG00000002285
papio_anubis ENSPANG00000010523
macaca_fascicularis ENSMFAG00000003094
macaca_nemestrina ENSMNEG00000028871
macaca_mulatta ENSMMUG00000038587
cercocebus_atys ENSCATG00000036528
cebus_capucinus ENSCCAG00000025200
saimiri_boliviensis_boliviensis ENSSBOG00000028766
callithrix_jacchus ENSCJAG00000004329
aotus_nancymaae ENSANAG00000036751
procavia_capensis ENSPCAG00000001386
echinops_telfairi ENSETEG00000019841
dasypus_novemcinctus ENSDNOG00000017747
