pundamilia_nyererei ENSPNYG00000004019
haplochromis_burtoni ENSHBUG00000016625
haplochromis_burtoni ENSHBUG00000012279
neolamprologus_brichardi ENSNBRG00000002518
amphilophus_citrinellus ENSACIG00000011785
stegastes_partitus ENSSPAG00000001688
seriola_lalandi_dorsalis ENSSLDG00000002267
seriola_lalandi_dorsalis ENSSLDG00000002807
seriola_dumerili ENSSDUG00000003830
seriola_dumerili ENSSDUG00000003766
anabas_testudineus ENSATEG00000019741
acanthochromis_polyacanthus ENSAPOG00000013731
acanthochromis_polyacanthus ENSAPOG00000013796
seriola_lalandi_dorsalis ENSSLDG00000000973
seriola_lalandi_dorsalis ENSSLDG00000001040
anabas_testudineus ENSATEG00000000009
poecilia_formosa ENSPFOG00000024741
poecilia_formosa ENSPFOG00000024082
fundulus_heteroclitus ENSFHEG00000018128
cyprinodon_variegatus ENSCVAG00000015494
gasterosteus_aculeatus ENSGACG00000018646
anabas_testudineus ENSATEG00000011904
anabas_testudineus ENSATEG00000011884
anabas_testudineus ENSATEG00000011857
