gasterosteus_aculeatus ENSGACG00000012687
cynoglossus_semilaevis ENSCSEG00000015582
gadus_morhua ENSGMOG00000008274
scleropages_formosus ENSSFOG00015000988
paramormyrops_kingsleyae ENSPKIG00000006634
notamacropus_eugenii ENSMEUG00000010681
phascolarctos_cinereus ENSPCIG00000011175
sarcophilus_harrisii ENSSHAG00000015352
monodelphis_domestica ENSMODG00000006826
carlito_syrichta ENSTSYG00000025474
macaca_nemestrina ENSMNEG00000044206
prolemur_simus ENSPSMG00000005429
chlorocebus_sabaeus ENSCSAG00000018272
urocitellus_parryii ENSUPAG00010019109
spermophilus_dauricus ENSSDAG00000014042
ictidomys_tridecemlineatus ENSSTOG00000009496
marmota_marmota_marmota ENSMMMG00000005419
castor_canadensis ENSCCNG00000009458
ovis_aries ENSOARG00000010813
ovis_aries ENSOARG00000010731
vicugna_pacos ENSVPAG00000000894
ursus_americanus ENSUAMG00000011758
ursus_maritimus ENSUMAG00000015252
ailuropoda_melanoleuca ENSAMEG00000003999
dasypus_novemcinctus ENSDNOG00000018536
mandrillus_leucophaeus ENSMLEG00000030510
theropithecus_gelada ENSTGEG00000001569
macaca_mulatta ENSMMUG00000022555
macaca_fascicularis ENSMFAG00000044553
piliocolobus_tephrosceles ENSPTEG00000007759
rhinopithecus_roxellana ENSRROG00000029558
gorilla_gorilla ENSGGOG00000005815
colobus_angolensis_palliatus ENSCANG00000004198
rhinopithecus_bieti ENSRBIG00000038780
cercocebus_atys ENSCATG00000018595
homo_sapiens ENSG00000185274
pan_troglodytes ENSPTRG00000019262
pan_paniscus ENSPPAG00000000822
nomascus_leucogenys ENSNLEG00000013202
papio_anubis ENSPANG00000019543
saimiri_boliviensis_boliviensis ENSSBOG00000028382
callithrix_jacchus ENSCJAG00000005178
cebus_capucinus ENSCCAG00000023033
aotus_nancymaae ENSANAG00000028781
choloepus_hoffmanni ENSCHOG00000011682
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028802
mus_musculus ENSMUSG00000034040
mus_spicilegus ENSMSIG00000021472
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027804
mus_pahari MGP_PahariEiJ_G0024380
meriones_unguiculatus ENSMUGG00000005658
cricetulus_griseus_crigri-picr ENSCGRG00015002517
microtus_ochrogaster ENSMOCG00000014795
peromyscus_maniculatus_bairdii ENSPEMG00000012502
jaculus_jaculus ENSJJAG00000007799
rattus_norvegicus ENSRNOG00000024435
ochotona_princeps ENSOPRG00000003173
procavia_capensis ENSPCAG00000004374
heterocephalus_glaber_male ENSHGLG00100016836
heterocephalus_glaber_female ENSHGLG00000019442
chinchilla_lanigera ENSCLAG00000006308
octodon_degus ENSODEG00000016292
cavia_porcellus ENSCPOG00000005588
cavia_aperea ENSCAPG00000015662
dipodomys_ordii ENSDORG00000011211
tupaia_belangeri ENSTBEG00000014307
propithecus_coquereli ENSPCOG00000004671
microcebus_murinus ENSMICG00000001449
otolemur_garnettii ENSOGAG00000002140
myotis_lucifugus ENSMLUG00000000924
pteropus_vampyrus ENSPVAG00000000087
erinaceus_europaeus ENSEEUG00000012277
panthera_tigris_altaica ENSPTIG00000016861
panthera_pardus ENSPPRG00000007517
loxodonta_africana ENSLAFG00000017711
cricetulus_griseus_chok1gshd ENSCGRG00001021747
cricetulus_griseus_crigri ENSCGRG00000000187
mesocricetus_auratus ENSMAUG00000012645
nannospalax_galili ENSNGAG00000000567
fukomys_damarensis ENSFDAG00000017515
canis_lupus_familiaris ENSCAFG00000011150
canis_lupus_dingo ENSCAFG00020005470
vulpes_vulpes ENSVVUG00000016442
ailuropoda_melanoleuca ENSAMEG00000005827
neovison_vison ENSNVIG00000017911
mustela_putorius_furo ENSMPUG00000016186
equus_caballus ENSECAG00000015772
equus_asinus_asinus ENSEASG00005008810
felis_catus ENSFCAG00000015348
sus_scrofa ENSSSCG00000026457
sus_scrofa ENSSSCG00000007728
bos_mutus ENSBMUG00000003227
bos_taurus ENSBTAG00000008718
bison_bison_bison ENSBBBG00000014771
capra_hircus ENSCHIG00000025267
tursiops_truncatus ENSTTRG00000016272
oryctolagus_cuniculus ENSOCUG00000007108
echinops_telfairi ENSETEG00000005553
