poecilia_mexicana ENSPMEG00000012833
poecilia_latipinna ENSPLAG00000009253
poecilia_formosa ENSPFOG00000008042
poecilia_reticulata ENSPREG00000004661
xiphophorus_couchianus ENSXCOG00000007438
xiphophorus_maculatus ENSXMAG00000026330
gambusia_affinis ENSGAFG00000008100
cyprinodon_variegatus ENSCVAG00000018538
amphilophus_citrinellus ENSACIG00000016796
neolamprologus_brichardi ENSNBRG00000016086
amphiprion_percula ENSAPEG00000006902
amphiprion_ocellaris ENSAOCG00000015699
acanthochromis_polyacanthus ENSAPOG00000014683
stegastes_partitus ENSSPAG00000013152
scophthalmus_maximus ENSSMAG00000006391
cynoglossus_semilaevis ENSCSEG00000015049
mola_mola ENSMMOG00000006964
hippocampus_comes ENSHCOG00000008051
gadus_morhua ENSGMOG00000013877
esox_lucius ENSELUG00000020671
ictalurus_punctatus ENSIPUG00000002913
paramormyrops_kingsleyae ENSPKIG00000024383
scleropages_formosus ENSSFOG00015021271
