canis_lupus_familiaris ENSCAFG00000025243
ailuropoda_melanoleuca ENSAMEG00000016504
ovis_aries ENSOARG00000005160
erinaceus_europaeus ENSEEUG00000011763
propithecus_coquereli ENSPCOG00000024669
microcebus_murinus ENSMICG00000033295
otolemur_garnettii ENSOGAG00000025103
homo_sapiens ENSG00000175820
pan_paniscus ENSPPAG00000042124
pongo_abelii ENSPPYG00000005481
nomascus_leucogenys ENSNLEG00000007855
cercocebus_atys ENSCATG00000008978
mandrillus_leucophaeus ENSMLEG00000035915
papio_anubis ENSPANG00000032040
macaca_fascicularis ENSMFAG00000035781
macaca_mulatta ENSMMUG00000045859
macaca_nemestrina ENSMNEG00000029526
chlorocebus_sabaeus ENSCSAG00000000215
rhinopithecus_roxellana ENSRROG00000028836
rhinopithecus_bieti ENSRBIG00000022379
mus_spicilegus ENSMSIG00000017251
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014902
mus_musculus ENSMUSG00000091844
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014098
rattus_norvegicus ENSRNOG00000023089
oryctolagus_cuniculus ENSOCUG00000001602
echinops_telfairi ENSETEG00000017898
echinops_telfairi ENSETEG00000011294
dasypus_novemcinctus ENSDNOG00000046133
