ochotona_princeps ENSOPRG00000014273
tupaia_belangeri ENSTBEG00000009573
otolemur_garnettii ENSOGAG00000003806
procavia_capensis ENSPCAG00000011821
tursiops_truncatus ENSTTRG00000013939
choloepus_hoffmanni ENSCHOG00000011809
ursus_americanus ENSUAMG00000007717
ursus_maritimus ENSUMAG00000015420
ailuropoda_melanoleuca ENSAMEG00000010047
mustela_putorius_furo ENSMPUG00000008946
neovison_vison ENSNVIG00000024540
canis_lupus_familiaris ENSCAFG00000016097
canis_lupus_dingo ENSCAFG00020012332
vulpes_vulpes ENSVVUG00000025919
panthera_tigris_altaica ENSPTIG00000013453
panthera_pardus ENSPPRG00000006441
felis_catus ENSFCAG00000024707
equus_asinus_asinus ENSEASG00005019480
equus_caballus ENSECAG00000001626
capra_hircus ENSCHIG00000000239
ovis_aries ENSOARG00000000827
bos_mutus ENSBMUG00000026774
bos_taurus ENSBTAG00000019194
bison_bison_bison ENSBBBG00000000130
tursiops_truncatus ENSTTRG00000008152
sus_scrofa ENSSSCG00000027767
vicugna_pacos ENSVPAG00000000320
vicugna_pacos ENSVPAG00000010223
pteropus_vampyrus ENSPVAG00000006144
myotis_lucifugus ENSMLUG00000007456
sorex_araneus ENSSARG00000000514
erinaceus_europaeus ENSEEUG00000012480
castor_canadensis ENSCCNG00000031671
castor_canadensis ENSCCNG00000031672
mus_spicilegus ENSMSIG00000013927
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020002
mus_musculus ENSMUSG00000041471
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019116
mus_pahari MGP_PahariEiJ_G0030133
rattus_norvegicus ENSRNOG00000059057
meriones_unguiculatus ENSMUGG00000013707
cricetulus_griseus_crigri ENSCGRG00000014630
cricetulus_griseus_crigri-picr ENSCGRG00015018810
cricetulus_griseus_chok1gshd ENSCGRG00001009835
mesocricetus_auratus ENSMAUG00000017850
microtus_ochrogaster ENSMOCG00000015743
