rhinopithecus_roxellana ENSRROG00000027471
rhinopithecus_bieti ENSRBIG00000019505
piliocolobus_tephrosceles ENSPTEG00000036370
colobus_angolensis_palliatus ENSCANG00000023231
macaca_fascicularis ENSMFAG00000004017
macaca_nemestrina ENSMNEG00000036668
macaca_mulatta ENSMMUG00000004618
chlorocebus_sabaeus ENSCSAG00000008050
theropithecus_gelada ENSTGEG00000003724
cercocebus_atys ENSCATG00000032149
mandrillus_leucophaeus ENSMLEG00000032212
papio_anubis ENSPANG00000009596
pan_paniscus ENSPPAG00000039679
pan_troglodytes ENSPTRG00000017879
homo_sapiens ENSG00000224586
gorilla_gorilla ENSGGOG00000006903
pongo_abelii ENSPPYG00000016375
nomascus_leucogenys ENSNLEG00000004583
saimiri_boliviensis_boliviensis ENSSBOG00000021357
cebus_capucinus ENSCCAG00000022962
callithrix_jacchus ENSCJAG00000018607
aotus_nancymaae ENSANAG00000022619
bison_bison_bison ENSBBBG00000003293
