capra_hircus ENSCHIG00000018527
ovis_aries ENSOARG00000010890
bos_mutus ENSBMUG00000026514
bos_taurus ENSBTAG00000001788
bison_bison_bison ENSBBBG00000015215
tursiops_truncatus ENSTTRG00000001226
sus_scrofa ENSSSCG00000003451
vicugna_pacos ENSVPAG00000000472
pteropus_vampyrus ENSPVAG00000011180
echinops_telfairi ENSETEG00000015582
castor_canadensis ENSCCNG00000021782
dipodomys_ordii ENSDORG00000011209
mus_spicilegus ENSMSIG00000015317
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027741
mus_musculus ENSMUSG00000028583
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026761
mus_pahari MGP_PahariEiJ_G0029093
rattus_norvegicus ENSRNOG00000014961
meriones_unguiculatus ENSMUGG00000003827
cricetulus_griseus_crigri-picr ENSCGRG00015002499
cricetulus_griseus_chok1gshd ENSCGRG00001019750
mesocricetus_auratus ENSMAUG00000013176
peromyscus_maniculatus_bairdii ENSPEMG00000007524
nannospalax_galili ENSNGAG00000018971
jaculus_jaculus ENSJJAG00000011298
urocitellus_parryii ENSUPAG00010007766
ictidomys_tridecemlineatus ENSSTOG00000032629
spermophilus_dauricus ENSSDAG00000017040
marmota_marmota_marmota ENSMMMG00000021882
oryctolagus_cuniculus ENSOCUG00000005899
ochotona_princeps ENSOPRG00000006881
canis_lupus_dingo ENSCAFG00020004738
canis_lupus_familiaris ENSCAFG00000016363
vulpes_vulpes ENSVVUG00000028880
ailuropoda_melanoleuca ENSAMEG00000006718
ursus_maritimus ENSUMAG00000021778
neovison_vison ENSNVIG00000011020
mustela_putorius_furo ENSMPUG00000016354
panthera_pardus ENSPPRG00000000655
panthera_tigris_altaica ENSPTIG00000013585
felis_catus ENSFCAG00000007570
equus_asinus_asinus ENSEASG00005015975
piliocolobus_tephrosceles ENSPTEG00000029744
colobus_angolensis_palliatus ENSCANG00000036951
rhinopithecus_roxellana ENSRROG00000032019
rhinopithecus_bieti ENSRBIG00000030574
mandrillus_leucophaeus ENSMLEG00000032483
cercocebus_atys ENSCATG00000039975
macaca_fascicularis ENSMFAG00000001482
macaca_mulatta ENSMMUG00000000145
macaca_nemestrina ENSMNEG00000043777
chlorocebus_sabaeus ENSCSAG00000000823
theropithecus_gelada ENSTGEG00000022348
papio_anubis ENSPANG00000009068
gorilla_gorilla ENSGGOG00000010242
homo_sapiens ENSG00000162493
pan_troglodytes ENSPTRG00000000184
pan_paniscus ENSPPAG00000039265
pongo_abelii ENSPPYG00000001856
callithrix_jacchus ENSCJAG00000013772
cebus_capucinus ENSCCAG00000021068
aotus_nancymaae ENSANAG00000031735
nomascus_leucogenys ENSNLEG00000036224
saimiri_boliviensis_boliviensis ENSSBOG00000028333
prolemur_simus ENSPSMG00000013262
prolemur_simus ENSPSMG00000021400
microcebus_murinus ENSMICG00000017804
propithecus_coquereli ENSPCOG00000022665
carlito_syrichta ENSTSYG00000005667
otolemur_garnettii ENSOGAG00000000861
tupaia_belangeri ENSTBEG00000011715
erinaceus_europaeus ENSEEUG00000000280
loxodonta_africana ENSLAFG00000010389
choloepus_hoffmanni ENSCHOG00000007003
dasypus_novemcinctus ENSDNOG00000032634
monodelphis_domestica ENSMODG00000025516
