mastacembelus_armatus ENSMAMG00000018362
anabas_testudineus ENSATEG00000016832
seriola_dumerili ENSSDUG00000022136
seriola_lalandi_dorsalis ENSSLDG00000013085
takifugu_rubripes ENSTRUG00000024701
hippocampus_comes ENSHCOG00000006487
astatotilapia_calliptera ENSACLG00000009002
neolamprologus_brichardi ENSNBRG00000017057
amphilophus_citrinellus ENSACIG00000010801
amphiprion_percula ENSAPEG00000001474
cyprinodon_variegatus ENSCVAG00000004551
fundulus_heteroclitus ENSFHEG00000006254
poecilia_latipinna ENSPLAG00000012011
poecilia_formosa ENSPFOG00000011476
poecilia_mexicana ENSPMEG00000013872
poecilia_reticulata ENSPREG00000020439
xiphophorus_maculatus ENSXMAG00000005401
xiphophorus_couchianus ENSXCOG00000006492
gambusia_affinis ENSGAFG00000014425
oryzias_latipes ENSORLG00020011422
oryzias_latipes ENSORLG00000026277
oryzias_latipes_asm223469v1 ENSORLG00015001829
oryzias_melastigma ENSOMEG00000021707
gadus_morhua ENSGMOG00000005017
pygocentrus_nattereri ENSPNAG00000009599
astyanax_mexicanus ENSAMXG00000013122
ictalurus_punctatus ENSIPUG00000011359
scleropages_formosus ENSSFOG00015005085
paramormyrops_kingsleyae ENSPKIG00000017540
scleropages_formosus ENSSFOG00015009330
lepisosteus_oculatus ENSLOCG00000016580
ornithorhynchus_anatinus ENSOANG00000029387
eptatretus_burgeri ENSEBUG00000009133
ciona_intestinalis ENSCING00000018197
