bos_taurus ENSBTAG00000020963
bos_mutus ENSBMUG00000020792
capra_hircus ENSCHIG00000020504
tursiops_truncatus ENSTTRG00000006895
pteropus_vampyrus ENSPVAG00000017118
ailuropoda_melanoleuca ENSAMEG00000011694
neovison_vison ENSNVIG00000001087
vulpes_vulpes ENSVVUG00000028414
canis_lupus_familiaris ENSCAFG00000010627
panthera_pardus ENSPPRG00000023663
panthera_tigris_altaica ENSPTIG00000003787
felis_catus ENSFCAG00000007013
erinaceus_europaeus ENSEEUG00000000814
erinaceus_europaeus ENSEEUG00000001276
equus_caballus ENSECAG00000012280
rhinopithecus_bieti ENSRBIG00000044595
rhinopithecus_roxellana ENSRROG00000037538
piliocolobus_tephrosceles ENSPTEG00000039364
cercocebus_atys ENSCATG00000042593
mandrillus_leucophaeus ENSMLEG00000037286
macaca_fascicularis ENSMFAG00000032634
macaca_mulatta ENSMMUG00000006996
macaca_nemestrina ENSMNEG00000030069
papio_anubis ENSPANG00000016900
pan_troglodytes ENSPTRG00000014959
pan_paniscus ENSPPAG00000041955
gorilla_gorilla ENSGGOG00000007106
homo_sapiens ENSG00000068028
pongo_abelii ENSPPYG00000013844
nomascus_leucogenys ENSNLEG00000006991
callithrix_jacchus ENSCJAG00000005126
cebus_capucinus ENSCCAG00000020152
aotus_nancymaae ENSANAG00000037201
carlito_syrichta ENSTSYG00000032754
propithecus_coquereli ENSPCOG00000028106
microcebus_murinus ENSMICG00000016362
prolemur_simus ENSPSMG00000014802
otolemur_garnettii ENSOGAG00000032465
castor_canadensis ENSCCNG00000014163
dipodomys_ordii ENSDORG00000007860
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033793
mus_spicilegus ENSMSIG00000018145
mus_musculus ENSMUSG00000010067
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032648
mus_pahari MGP_PahariEiJ_G0015516
rattus_norvegicus ENSRNOG00000021548
meriones_unguiculatus ENSMUGG00000017154
cricetulus_griseus_crigri-picr ENSCGRG00015011486
cricetulus_griseus_chok1gshd ENSCGRG00001020626
cricetulus_griseus_crigri ENSCGRG00000014013
mesocricetus_auratus ENSMAUG00000017169
microtus_ochrogaster ENSMOCG00000004898
peromyscus_maniculatus_bairdii ENSPEMG00000007763
jaculus_jaculus ENSJJAG00000018718
chinchilla_lanigera ENSCLAG00000013257
octodon_degus ENSODEG00000018186
cavia_porcellus ENSCPOG00000002765
cavia_aperea ENSCAPG00000015816
heterocephalus_glaber_female ENSHGLG00000014052
heterocephalus_glaber_male ENSHGLG00100007149
fukomys_damarensis ENSFDAG00000011950
ictidomys_tridecemlineatus ENSSTOG00000024829
ochotona_princeps ENSOPRG00000015397
tupaia_belangeri ENSTBEG00000002646
loxodonta_africana ENSLAFG00000010924
procavia_capensis ENSPCAG00000006499
echinops_telfairi ENSETEG00000001518
dasypus_novemcinctus ENSDNOG00000014319
bison_bison_bison ENSBBBG00000009134
ursus_americanus ENSUAMG00000028332
equus_asinus_asinus ENSEASG00005012141
myotis_lucifugus ENSMLUG00000002505
ursus_maritimus ENSUMAG00000021870
sorex_araneus ENSSARG00000006028
marmota_marmota_marmota ENSMMMG00000003160
urocitellus_parryii ENSUPAG00010022637
spermophilus_dauricus ENSSDAG00000013062
nannospalax_galili ENSNGAG00000020661
chlorocebus_sabaeus ENSCSAG00000014207
theropithecus_gelada ENSTGEG00000004372
colobus_angolensis_palliatus ENSCANG00000028606
saimiri_boliviensis_boliviensis ENSSBOG00000035873
bison_bison_bison ENSBBBG00000007554
ovis_aries ENSOARG00000016367
sus_scrofa ENSSSCG00000011407
ursus_americanus ENSUAMG00000028333
mustela_putorius_furo ENSMPUG00000013054
canis_lupus_dingo ENSCAFG00020022177
oryctolagus_cuniculus ENSOCUG00000025460
equus_asinus_asinus ENSEASG00005012138
choloepus_hoffmanni ENSCHOG00000006938
phascolarctos_cinereus ENSPCIG00000023120
notamacropus_eugenii ENSMEUG00000002350
sarcophilus_harrisii ENSSHAG00000018729
monodelphis_domestica ENSMODG00000014568
ornithorhynchus_anatinus ENSOANG00000005482
dromaius_novaehollandiae ENSDNVG00000003872
nothoprocta_perdicaria ENSNPEG00000003232
apteryx_rowi ENSARWG00000005210
apteryx_owenii ENSAOWG00000010071
lepidothrix_coronata ENSLCOG00000003334
manacus_vitellinus ENSMVIG00005013543
ficedula_albicollis ENSFALG00000009005
junco_hyemalis ENSJHYG00000011269
parus_major ENSPMJG00000005308
taeniopygia_guttata ENSTGUG00000004653
lonchura_striata_domestica ENSLSDG00000017573
melopsittacus_undulatus ENSMUNG00000001302
coturnix_japonica ENSCJPG00005005746
calidris_pugnax ENSCPUG00000012024
calidris_pygmaea ENSCPGG00000015178
meleagris_gallopavo ENSMGAG00000001450
gallus_gallus ENSGALG00000038951
numida_meleagris ENSNMEG00000008879
anser_brachyrhynchus ENSABRG00000000822
serinus_canaria ENSSCAG00000001045
eptatretus_burgeri ENSEBUG00000010718
petromyzon_marinus ENSPMAG00000003558
salvator_merianae ENSSMRG00000008331
pogona_vitticeps ENSPVIG00000024268
sphenodon_punctatus ENSSPUG00000001200
notechis_scutatus ENSNSUG00000005384
chrysemys_picta_bellii ENSCPBG00000027096
gopherus_agassizii ENSGAGG00000023705
pelodiscus_sinensis ENSPSIG00000007683
chelonoidis_abingdonii ENSCABG00000008394
crocodylus_porosus ENSCPRG00005014451
anolis_carolinensis ENSACAG00000008638
notechis_scutatus ENSNSUG00000005385
sphenodon_punctatus ENSSPUG00000001205
eptatretus_burgeri ENSEBUG00000004370
latimeria_chalumnae ENSLACG00000017612
xenopus_tropicalis ENSXETG00000007332
takifugu_rubripes ENSTRUG00000013510
tetraodon_nigroviridis ENSTNIG00000014765
mola_mola ENSMMOG00000010967
labrus_bergylta ENSLBEG00000023296
anabas_testudineus ENSATEG00000024876
mastacembelus_armatus ENSMAMG00000016416
scophthalmus_maximus ENSSMAG00000016049
cynoglossus_semilaevis ENSCSEG00000021732
seriola_dumerili ENSSDUG00000000793
seriola_lalandi_dorsalis ENSSLDG00000009122
amphiprion_percula ENSAPEG00000002928
amphiprion_ocellaris ENSAOCG00000010881
acanthochromis_polyacanthus ENSAPOG00000024117
stegastes_partitus ENSSPAG00000006443
maylandia_zebra ENSMZEG00005014761
astatotilapia_calliptera ENSACLG00000014400
pundamilia_nyererei ENSPNYG00000016970
haplochromis_burtoni ENSHBUG00000002662
neolamprologus_brichardi ENSNBRG00000019688
oreochromis_niloticus ENSONIG00000003972
amphilophus_citrinellus ENSACIG00000010071
fundulus_heteroclitus ENSFHEG00000019177
cyprinodon_variegatus ENSCVAG00000006359
xiphophorus_couchianus ENSXCOG00000013460
xiphophorus_maculatus ENSXMAG00000016883
gambusia_affinis ENSGAFG00000011402
poecilia_formosa ENSPFOG00000015331
poecilia_latipinna ENSPLAG00000022693
poecilia_mexicana ENSPMEG00000018686
poecilia_reticulata ENSPREG00000004697
kryptolebias_marmoratus ENSKMAG00000005600
oryzias_latipes ENSORLG00020020842
oryzias_latipes ENSORLG00000003748
oryzias_latipes_asm223469v1 ENSORLG00015016760
oryzias_melastigma ENSOMEG00000001786
periophthalmus_magnuspinnatus ENSPMGG00000004802
hippocampus_comes ENSHCOG00000001251
pygocentrus_nattereri ENSPNAG00000014865
astyanax_mexicanus ENSAMXG00000015781
ictalurus_punctatus ENSIPUG00000019509
monopterus_albus ENSMALG00000002499
labrus_bergylta ENSLBEG00000023273
gasterosteus_aculeatus ENSGACG00000001286
gadus_morhua ENSGMOG00000016097
esox_lucius ENSELUG00000006516
danio_rerio ENSDARG00000004840
paramormyrops_kingsleyae ENSPKIG00000001347
scleropages_formosus ENSSFOG00015018858
mastacembelus_armatus ENSMAMG00000023751
anabas_testudineus ENSATEG00000009507
seriola_lalandi_dorsalis ENSSLDG00000024026
seriola_dumerili ENSSDUG00000014335
scophthalmus_maximus ENSSMAG00000020931
xiphophorus_maculatus ENSXMAG00000017204
gambusia_affinis ENSGAFG00000008756
poecilia_formosa ENSPFOG00000018636
poecilia_latipinna ENSPLAG00000006079
poecilia_mexicana ENSPMEG00000021580
poecilia_reticulata ENSPREG00000008741
fundulus_heteroclitus ENSFHEG00000019225
cyprinodon_variegatus ENSCVAG00000014874
kryptolebias_marmoratus ENSKMAG00000001955
oryzias_latipes_asm223469v1 ENSORLG00015000718
oryzias_latipes ENSORLG00000002241
oryzias_latipes ENSORLG00020003525
oryzias_melastigma ENSOMEG00000005632
amphiprion_ocellaris ENSAOCG00000003215
amphiprion_percula ENSAPEG00000014946
acanthochromis_polyacanthus ENSAPOG00000003830
stegastes_partitus ENSSPAG00000016624
haplochromis_burtoni ENSHBUG00000012307
pundamilia_nyererei ENSPNYG00000020601
astatotilapia_calliptera ENSACLG00000019095
maylandia_zebra ENSMZEG00005012625
neolamprologus_brichardi ENSNBRG00000001896
oreochromis_niloticus ENSONIG00000014466
amphilophus_citrinellus ENSACIG00000018042
takifugu_rubripes ENSTRUG00000014055
tetraodon_nigroviridis ENSTNIG00000014696
mola_mola ENSMMOG00000021707
labrus_bergylta ENSLBEG00000018881
gasterosteus_aculeatus ENSGACG00000001555
cynoglossus_semilaevis ENSCSEG00000001703
monopterus_albus ENSMALG00000003081
periophthalmus_magnuspinnatus ENSPMGG00000002194
hippocampus_comes ENSHCOG00000007660
gadus_morhua ENSGMOG00000009628
esox_lucius ENSELUG00000009545
pygocentrus_nattereri ENSPNAG00000028798
astyanax_mexicanus ENSAMXG00000013775
ictalurus_punctatus ENSIPUG00000019637
paramormyrops_kingsleyae ENSPKIG00000024251
scleropages_formosus ENSSFOG00015005846
lepisosteus_oculatus ENSLOCG00000014234
