prolemur_simus ENSPSMG00000017096
otolemur_garnettii ENSOGAG00000008582
homo_sapiens ENSG00000184697
pan_troglodytes ENSPTRG00000045058
pongo_abelii ENSPPYG00000007024
nomascus_leucogenys ENSNLEG00000027868
macaca_mulatta ENSMMUG00000041201
chlorocebus_sabaeus ENSCSAG00000018845
callithrix_jacchus ENSCJAG00000066082
castor_canadensis ENSCCNG00000018113
dipodomys_ordii ENSDORG00000005821
octodon_degus ENSODEG00000020082
octodon_degus ENSODEG00000020396
cavia_porcellus ENSCPOG00000008465
chinchilla_lanigera ENSCLAG00000016647
heterocephalus_glaber ENSHGLG00000019239
heterocephalus_glaber ENSHGLG00100009928
spermophilus_dauricus ENSSDAG00000008694
spermophilus_dauricus ENSSDAG00000008677
ictidomys_tridecemlineatus ENSSTOG00000024773
urocitellus_parryii ENSUPAG00010018423
marmota_marmota ENSMMMG00000008331
microtus_ochrogaster ENSMOCG00000020385
peromyscus_maniculatus ENSPEMG00000030088
cricetulus_griseus ENSCGRG00001007126
cricetulus_griseus ENSCGRG00000005863
mesocricetus_auratus ENSMAUG00000012582
mus_spicilegus ENSMSIG00000014418
mus_musculus ENSMUSG00000023906
mus_spretus MGP_SPRETEiJ_G0022063
mus_caroli MGP_CAROLIEiJ_G0021153
mus_pahari MGP_PahariEiJ_G0023470
rattus_norvegicus ENSRNOG00000003648
meriones_unguiculatus ENSMUGG00000017490
nannospalax_galili ENSNGAG00000014736
oryctolagus_cuniculus ENSOCUG00000017197
ochotona_princeps ENSOPRG00000005668
jaculus_jaculus ENSJJAG00000000980
tupaia_belangeri ENSTBEG00000015352
myotis_lucifugus ENSMLUG00000001408
pteropus_vampyrus ENSPVAG00000008989
equus_asinus ENSEASG00005006034
equus_caballus ENSECAG00000004920
tursiops_truncatus ENSTTRG00000011213
sus_scrofa ENSSSCG00000023743
ovis_aries ENSOARG00000010602
capra_hircus ENSCHIG00000003374
bos_indicus ENSBIXG00000029878
bos_indicus ENSBIXG00005008448
bos_taurus ENSBTAG00000045901
bos_mutus ENSBMUG00000014391
bison_bison ENSBBBG00000022807
ursus_americanus ENSUAMG00000007928
ursus_maritimus ENSUMAG00000000798
neovison_vison ENSNVIG00000023274
mustela_putorius ENSMPUG00000020057
canis_lupus ENSCAFG00000019337
canis_lupus ENSCAFG00020025891
vulpes_vulpes ENSVVUG00000008679
mustela_putorius ENSMPUG00000004769
felis_catus ENSFCAG00000004660
loxodonta_africana ENSLAFG00000016576
echinops_telfairi ENSETEG00000016089
dasypus_novemcinctus ENSDNOG00000031539
vombatus_ursinus ENSVURG00010000496
phascolarctos_cinereus ENSPCIG00000017318
notamacropus_eugenii ENSMEUG00000016569
sarcophilus_harrisii ENSSHAG00000017504
monodelphis_domestica ENSMODG00000024556
