notechis_scutatus ENSNSUG00000020347
crocodylus_porosus ENSCPRG00005016603
pogona_vitticeps ENSPVIG00000016349
anolis_carolinensis ENSACAG00000006166
salvator_merianae ENSSMRG00000015819
sphenodon_punctatus ENSSPUG00000014000
chelonoidis_abingdonii ENSCABG00000007537
gopherus_agassizii ENSGAGG00000025889
chrysemys_picta_bellii ENSCPBG00000004944
anser_brachyrhynchus ENSABRG00000014684
anas_platyrhynchos_platyrhynchos ENSAPLG00000018799
gallus_gallus ENSGALG00000053766
coturnix_japonica ENSCJPG00005011942
numida_meleagris ENSNMEG00000019841
calidris_pugnax ENSCPUG00000005143
ficedula_albicollis ENSFALG00000000282
parus_major ENSPMJG00000003166
junco_hyemalis ENSJHYG00000000158
serinus_canaria ENSSCAG00000004247
lepidothrix_coronata ENSLCOG00000002208
manacus_vitellinus ENSMVIG00005019223
apteryx_rowi ENSARWG00000018113
meleagris_gallopavo ENSMGAG00000008997
lonchura_striata_domestica ENSLSDG00000011293
nothoprocta_perdicaria ENSNPEG00000011219
oryctolagus_cuniculus ENSOCUG00000021709
oryctolagus_cuniculus ENSOCUG00000016658
ochotona_princeps ENSOPRG00000005829
tupaia_belangeri ENSTBEG00000013151
cavia_porcellus ENSCPOG00000031045
cavia_aperea ENSCAPG00000008431
octodon_degus ENSODEG00000011150
heterocephalus_glaber_female ENSHGLG00000004956
heterocephalus_glaber_male ENSHGLG00100015935
fukomys_damarensis ENSFDAG00000020889
chinchilla_lanigera ENSCLAG00000008197
urocitellus_parryii ENSUPAG00010017242
marmota_marmota_marmota ENSMMMG00000003933
spermophilus_dauricus ENSSDAG00000017237
ictidomys_tridecemlineatus ENSSTOG00000015234
mus_musculus ENSMUSG00000045160
mus_spicilegus ENSMSIG00000031527
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029561
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028555
mus_spicilegus ENSMSIG00000012511
mus_pahari MGP_PahariEiJ_G0022290
rattus_norvegicus ENSRNOG00000021866
meriones_unguiculatus ENSMUGG00000002419
cricetulus_griseus_chok1gshd ENSCGRG00001007264
cricetulus_griseus_crigri ENSCGRG00000014041
cricetulus_griseus_crigri-picr ENSCGRG00015012467
mesocricetus_auratus ENSMAUG00000014093
peromyscus_maniculatus_bairdii ENSPEMG00000016167
microtus_ochrogaster ENSMOCG00000012348
nannospalax_galili ENSNGAG00000019730
jaculus_jaculus ENSJJAG00000014598
dipodomys_ordii ENSDORG00000004266
sus_scrofa ENSSSCG00000040854
tursiops_truncatus ENSTTRG00000006698
vicugna_pacos ENSVPAG00000007210
equus_caballus ENSECAG00000009537
equus_asinus_asinus ENSEASG00005013833
ursus_americanus ENSUAMG00000016314
ursus_maritimus ENSUMAG00000000994
ailuropoda_melanoleuca ENSAMEG00000017362
neovison_vison ENSNVIG00000001492
mustela_putorius_furo ENSMPUG00000007813
canis_lupus_familiaris ENSCAFG00000008739
canis_lupus_dingo ENSCAFG00020013826
vulpes_vulpes ENSVVUG00000004673
canis_lupus_dingo ENSCAFG00020002656
panthera_pardus ENSPPRG00000008520
panthera_tigris_altaica ENSPTIG00000013195
felis_catus ENSFCAG00000036679
pteropus_vampyrus ENSPVAG00000010306
myotis_lucifugus ENSMLUG00000016364
prolemur_simus ENSPSMG00000019068
propithecus_coquereli ENSPCOG00000001563
microcebus_murinus ENSMICG00000028730
bison_bison_bison ENSBBBG00000019833
bos_mutus ENSBMUG00000012619
bos_taurus ENSBTAG00000050675
capra_hircus ENSCHIG00000025591
ovis_aries ENSOARG00000012326
erinaceus_europaeus ENSEEUG00000003128
cebus_capucinus ENSCCAG00000033913
saimiri_boliviensis_boliviensis ENSSBOG00000033225
callithrix_jacchus ENSCJAG00000017844
aotus_nancymaae ENSANAG00000028904
colobus_angolensis_palliatus ENSCANG00000009335
piliocolobus_tephrosceles ENSPTEG00000037829
rhinopithecus_roxellana ENSRROG00000030134
rhinopithecus_bieti ENSRBIG00000040467
colobus_angolensis_palliatus ENSCANG00000019066
chlorocebus_sabaeus ENSCSAG00000015518
macaca_mulatta ENSMMUG00000049122
theropithecus_gelada ENSTGEG00000015622
