parambassis_ranga ENSPRNG00000006182
amphiprion_percula ENSAPEG00000008933
xiphophorus_maculatus ENSXMAG00000022301
poecilia_reticulata ENSPREG00000019043
kryptolebias_marmoratus ENSKMAG00000012988
oryzias_latipes ENSORLG00000024846
oryzias_melastigma ENSOMEG00000015890
seriola_lalandi ENSSLDG00000023320
scophthalmus_maximus ENSSMAG00000001312
cottoperca_gobio ENSCGOG00000003204
gadus_morhua ENSGMOG00000009987
cynoglossus_semilaevis ENSCSEG00000013866
hucho_hucho ENSHHUG00000040572
clupea_harengus ENSCHAG00000012738
