gasterosteus_aculeatus ENSGACG00000018860
labrus_bergylta ENSLBEG00000004257
seriola_dumerili ENSSDUG00000007140
seriola_lalandi_dorsalis ENSSLDG00000012143
scophthalmus_maximus ENSSMAG00000020477
mola_mola ENSMMOG00000002395
mastacembelus_armatus ENSMAMG00000009034
monopterus_albus ENSMALG00000016907
anabas_testudineus ENSATEG00000012544
poecilia_formosa ENSPFOG00000015564
poecilia_mexicana ENSPMEG00000005524
poecilia_latipinna ENSPLAG00000004685
poecilia_reticulata ENSPREG00000011402
xiphophorus_maculatus ENSXMAG00000009359
xiphophorus_couchianus ENSXCOG00000014895
gambusia_affinis ENSGAFG00000017414
cyprinodon_variegatus ENSCVAG00000001057
fundulus_heteroclitus ENSFHEG00000007426
kryptolebias_marmoratus ENSKMAG00000012448
maylandia_zebra ENSMZEG00005010889
astatotilapia_calliptera ENSACLG00000001060
haplochromis_burtoni ENSHBUG00000006367
pundamilia_nyererei ENSPNYG00000008344
neolamprologus_brichardi ENSNBRG00000001430
oreochromis_niloticus ENSONIG00000016844
amphilophus_citrinellus ENSACIG00000015990
amphiprion_ocellaris ENSAOCG00000015798
amphiprion_percula ENSAPEG00000017955
acanthochromis_polyacanthus ENSAPOG00000012709
stegastes_partitus ENSSPAG00000013412
takifugu_rubripes ENSTRUG00000016764
tetraodon_nigroviridis ENSTNIG00000018504
cynoglossus_semilaevis ENSCSEG00000010498
oryzias_latipes_asm223469v1 ENSORLG00015017998
oryzias_latipes ENSORLG00020019676
oryzias_latipes ENSORLG00000013088
oryzias_melastigma ENSOMEG00000011896
hippocampus_comes ENSHCOG00000009098
periophthalmus_magnuspinnatus ENSPMGG00000007605
gadus_morhua ENSGMOG00000018788
esox_lucius ENSELUG00000020877
pygocentrus_nattereri ENSPNAG00000023955
astyanax_mexicanus ENSAMXG00000033790
ictalurus_punctatus ENSIPUG00000017007
danio_rerio ENSDARG00000045691
scleropages_formosus ENSSFOG00015005150
paramormyrops_kingsleyae ENSPKIG00000006587
lepisosteus_oculatus ENSLOCG00000001409
phascolarctos_cinereus ENSPCIG00000029300
notamacropus_eugenii ENSMEUG00000003563
sarcophilus_harrisii ENSSHAG00000006273
monodelphis_domestica ENSMODG00000006493
monodelphis_domestica ENSMODG00000008893
anser_brachyrhynchus ENSABRG00000005298
anas_platyrhynchos_platyrhynchos ENSAPLG00000004312
gallus_gallus ENSGALG00000009544
meleagris_gallopavo ENSMGAG00000009450
coturnix_japonica ENSCJPG00005013401
numida_meleagris ENSNMEG00000011245
dromaius_novaehollandiae ENSDNVG00000001201
calidris_pugnax ENSCPUG00000008132
calidris_pygmaea ENSCPGG00000019528
melopsittacus_undulatus ENSMUNG00000015760
taeniopygia_guttata ENSTGUG00000005829
lonchura_striata_domestica ENSLSDG00000006716
serinus_canaria ENSSCAG00000013463
ficedula_albicollis ENSFALG00000010262
zonotrichia_albicollis ENSZALG00000008982
junco_hyemalis ENSJHYG00000017184
cyanistes_caeruleus ENSCCEG00000009170
lepidothrix_coronata ENSLCOG00000002398
manacus_vitellinus ENSMVIG00005006423
nothoprocta_perdicaria ENSNPEG00000005117
crocodylus_porosus ENSCPRG00005009312
pogona_vitticeps ENSPVIG00000000268
anolis_carolinensis ENSACAG00000003172
notechis_scutatus ENSNSUG00000013587
salvator_merianae ENSSMRG00000015804
gopherus_agassizii ENSGAGG00000008782
chelonoidis_abingdonii ENSCABG00000004916
chrysemys_picta_bellii ENSCPBG00000015507
pelodiscus_sinensis ENSPSIG00000014606
sphenodon_punctatus ENSSPUG00000009960
bison_bison_bison ENSBBBG00000013601
bison_bison_bison ENSBBBG00000015473
bos_taurus ENSBTAG00000018340
ovis_aries ENSOARG00000000782
capra_hircus ENSCHIG00000010312
ovis_aries ENSOARG00000019797
bos_taurus ENSBTAG00000019119
ovis_aries ENSOARG00000004530
bos_mutus ENSBMUG00000020394
capra_hircus ENSCHIG00000012567
sus_scrofa ENSSSCG00000033618
rhinopithecus_bieti ENSRBIG00000029880
rhinopithecus_roxellana ENSRROG00000031199
macaca_mulatta ENSMMUG00000041598
macaca_fascicularis ENSMFAG00000030462
macaca_nemestrina ENSMNEG00000032137
mandrillus_leucophaeus ENSMLEG00000034590
papio_anubis ENSPANG00000031708
pan_paniscus ENSPPAG00000041848
pan_troglodytes ENSPTRG00000045111
gorilla_gorilla ENSGGOG00000043362
nomascus_leucogenys ENSNLEG00000032761
carlito_syrichta ENSTSYG00000026505
ursus_maritimus ENSUMAG00000024199
ailuropoda_melanoleuca ENSAMEG00000013837
equus_asinus_asinus ENSEASG00005023491
equus_caballus ENSECAG00000012174
propithecus_coquereli ENSPCOG00000022958
microcebus_murinus ENSMICG00000017422
otolemur_garnettii ENSOGAG00000013178
otolemur_garnettii ENSOGAG00000026881
otolemur_garnettii ENSOGAG00000031462
prolemur_simus ENSPSMG00000015075
dipodomys_ordii ENSDORG00000025789
pteropus_vampyrus ENSPVAG00000006651
mustela_putorius_furo ENSMPUG00000005129
microcebus_murinus ENSMICG00000026774
ictidomys_tridecemlineatus ENSSTOG00000034477
fukomys_damarensis ENSFDAG00000003663
cebus_capucinus ENSCCAG00000032546
tursiops_truncatus ENSTTRG00000001378
sus_scrofa ENSSSCG00000034066
myotis_lucifugus ENSMLUG00000029416
myotis_lucifugus ENSMLUG00000026012
tupaia_belangeri ENSTBEG00000008097
myotis_lucifugus ENSMLUG00000001332
sorex_araneus ENSSARG00000000492
panthera_pardus ENSPPRG00000003066
panthera_tigris_altaica ENSPTIG00000018037
mustela_putorius_furo ENSMPUG00000000327
canis_lupus_dingo ENSCAFG00020010455
canis_lupus_familiaris ENSCAFG00000030751
vulpes_vulpes ENSVVUG00000016801
neovison_vison ENSNVIG00000007574
felis_catus ENSFCAG00000014760
mustela_putorius_furo ENSMPUG00000000901
pan_paniscus ENSPPAG00000030593
pan_troglodytes ENSPTRG00000004838
homo_sapiens ENSG00000139168
gorilla_gorilla ENSGGOG00000015647
pongo_abelii ENSPPYG00000004422
nomascus_leucogenys ENSNLEG00000017944
macaca_mulatta ENSMMUG00000017319
theropithecus_gelada ENSTGEG00000007119
macaca_fascicularis ENSMFAG00000039789
cercocebus_atys ENSCATG00000028610
theropithecus_gelada ENSTGEG00000008265
rhinopithecus_roxellana ENSRROG00000033546
rhinopithecus_bieti ENSRBIG00000042559
macaca_fascicularis ENSMFAG00000005490
macaca_nemestrina ENSMNEG00000001077
chlorocebus_sabaeus ENSCSAG00000007086
papio_anubis ENSPANG00000010274
colobus_angolensis_palliatus ENSCANG00000042161
piliocolobus_tephrosceles ENSPTEG00000019306
mandrillus_leucophaeus ENSMLEG00000042951
callithrix_jacchus ENSCJAG00000017749
saimiri_boliviensis_boliviensis ENSSBOG00000019523
aotus_nancymaae ENSANAG00000020058
carlito_syrichta ENSTSYG00000010691
carlito_syrichta ENSTSYG00000025575
vicugna_pacos ENSVPAG00000012040
erinaceus_europaeus ENSEEUG00000000397
castor_canadensis ENSCCNG00000005658
dipodomys_ordii ENSDORG00000026623
spermophilus_dauricus ENSSDAG00000010149
ictidomys_tridecemlineatus ENSSTOG00000023833
marmota_marmota_marmota ENSMMMG00000022545
urocitellus_parryii ENSUPAG00010001247
heterocephalus_glaber_female ENSHGLG00000008186
heterocephalus_glaber_male ENSHGLG00100017475
heterocephalus_glaber_female ENSHGLG00000006122
heterocephalus_glaber_male ENSHGLG00100009473
heterocephalus_glaber_female ENSHGLG00000006280
heterocephalus_glaber_male ENSHGLG00100012202
heterocephalus_glaber_male ENSHGLG00100012132
fukomys_damarensis ENSFDAG00000017905
heterocephalus_glaber_female ENSHGLG00000007867
