nothoprocta_perdicaria ENSNPEG00000006067
crocodylus_porosus ENSCPRG00005004025
pogona_vitticeps ENSPVIG00000000128
gopherus_agassizii ENSGAGG00000013627
chelonoidis_abingdonii ENSCABG00000022481
chrysemys_picta ENSCPBG00000020326
pelodiscus_sinensis ENSPSIG00000008056
sphenodon_punctatus ENSSPUG00000007472
calidris_pygmaea ENSCPGG00000018525
calidris_pugnax ENSCPUG00000016828
melopsittacus_undulatus ENSMUNG00000001749
apteryx_rowi ENSARWG00000004526
apteryx_owenii ENSAOWG00000003310
apteryx_haastii ENSAHAG00000006905
dromaius_novaehollandiae ENSDNVG00000017017
gallus_gallus ENSGALG00000034829
coturnix_japonica ENSCJPG00005013477
meleagris_gallopavo ENSMGAG00000000807
numida_meleagris ENSNMEG00000001285
anser_brachyrhynchus ENSABRG00000022472
anas_platyrhynchos ENSAPLG00000005252
taeniopygia_guttata ENSTGUG00000005278
lonchura_striata ENSLSDG00000013852
serinus_canaria ENSSCAG00000011428
ficedula_albicollis ENSFALG00000003845
parus_major ENSPMJG00000010473
cyanistes_caeruleus ENSCCEG00000009046
zonotrichia_albicollis ENSZALG00000015971
junco_hyemalis ENSJHYG00000017214
manacus_vitellinus ENSMVIG00005004480
lepidothrix_coronata ENSLCOG00000005898
anolis_carolinensis ENSACAG00000003758
notechis_scutatus ENSNSUG00000003320
salvator_merianae ENSSMRG00000004512
phascolarctos_cinereus ENSPCIG00000016900
vombatus_ursinus ENSVURG00010008900
notamacropus_eugenii ENSMEUG00000007282
sarcophilus_harrisii ENSSHAG00000010677
monodelphis_domestica ENSMODG00000004563
nomascus_leucogenys ENSNLEG00000035597
pan_troglodytes ENSPTRG00000050538
propithecus_coquereli ENSPCOG00000015585
ursus_americanus ENSUAMG00000003486
dasypus_novemcinctus ENSDNOG00000016009
nannospalax_galili ENSNGAG00000024264
rattus_norvegicus ENSRNOG00000050441
jaculus_jaculus ENSJJAG00000010124
cavia_aperea ENSCAPG00000013131
pan_troglodytes ENSPTRG00000046216
gorilla_gorilla ENSGGOG00000022908
mustela_putorius ENSMPUG00000014319
canis_lupus ENSCAFG00020015324
choloepus_hoffmanni ENSCHOG00000011794
gorilla_gorilla ENSGGOG00000005508
homo_sapiens ENSG00000179889
pan_troglodytes ENSPTRG00000007799
pan_troglodytes ENSPTRG00000051138
pongo_abelii ENSPPYG00000007127
nomascus_leucogenys ENSNLEG00000010269
cercocebus_atys ENSCATG00000031700
mandrillus_leucophaeus ENSMLEG00000031146
theropithecus_gelada ENSTGEG00000024702
papio_anubis ENSPANG00000017863
macaca_fascicularis ENSMFAG00000037365
macaca_mulatta ENSMMUG00000002984
macaca_nemestrina ENSMNEG00000044575
chlorocebus_sabaeus ENSCSAG00000008091
piliocolobus_tephrosceles ENSPTEG00000028014
colobus_angolensis ENSCANG00000014995
rhinopithecus_roxellana ENSRROG00000026011
rhinopithecus_bieti ENSRBIG00000021128
cebus_capucinus ENSCCAG00000036937
saimiri_boliviensis ENSSBOG00000017681
callithrix_jacchus ENSCJAG00000005346
aotus_nancymaae ENSANAG00000020566
carlito_syrichta ENSTSYG00000004920
microcebus_murinus ENSMICG00000014962
propithecus_coquereli ENSPCOG00000014747
prolemur_simus ENSPSMG00000005466
otolemur_garnettii ENSOGAG00000002533
tupaia_belangeri ENSTBEG00000013632
callithrix_jacchus ENSCJAG00000063316
fukomys_damarensis ENSFDAG00000002677
myotis_lucifugus ENSMLUG00000003440
pteropus_vampyrus ENSPVAG00000002980
equus_asinus ENSEASG00005011358
equus_caballus ENSECAG00000019385
canis_lupus ENSCAFG00000018760
canis_lupus ENSCAFG00020023970
vulpes_vulpes ENSVVUG00000019544
ailuropoda_melanoleuca ENSAMEG00000011037
ursus_maritimus ENSUMAG00000004589
panthera_pardus ENSPPRG00000010715
panthera_tigris ENSPTIG00000014661
erinaceus_europaeus ENSEEUG00000013892
neovison_vison ENSNVIG00000019254
felis_catus ENSFCAG00000024953
sorex_araneus ENSSARG00000007596
mus_spicilegus ENSMSIG00000021508
mus_spretus MGP_SPRETEiJ_G0021367
mus_musculus ENSMUSG00000022680
mus_caroli MGP_CAROLIEiJ_G0020472
mus_pahari MGP_PahariEiJ_G0016178
rattus_norvegicus ENSRNOG00000002407
meriones_unguiculatus ENSMUGG00000017047
peromyscus_maniculatus ENSPEMG00000018521
microtus_ochrogaster ENSMOCG00000016638
cricetulus_griseus ENSCGRG00001024495
cricetulus_griseus ENSCGRG00015026364
cricetulus_griseus ENSCGRG00000004666
mesocricetus_auratus ENSMAUG00000010809
castor_canadensis ENSCCNG00000013921
cavia_porcellus ENSCPOG00000003698
chinchilla_lanigera ENSCLAG00000013191
heterocephalus_glaber ENSHGLG00000007098
heterocephalus_glaber ENSHGLG00100002951
fukomys_damarensis ENSFDAG00000006593
fukomys_damarensis ENSFDAG00000019005
octodon_degus ENSODEG00000002216
urocitellus_parryii ENSUPAG00010022655
ictidomys_tridecemlineatus ENSSTOG00000009235
spermophilus_dauricus ENSSDAG00000003792
spermophilus_dauricus ENSSDAG00000015578
marmota_marmota ENSMMMG00000019819
ochotona_princeps ENSOPRG00000006385
oryctolagus_cuniculus ENSOCUG00000006688
dipodomys_ordii ENSDORG00000009185
capra_hircus ENSCHIG00000009960
ovis_aries ENSOARG00000008275
bos_indicus ENSBIXG00000010381
bos_indicus ENSBIXG00005013954
bos_taurus ENSBTAG00000004801
bos_mutus ENSBMUG00000021350
bison_bison ENSBBBG00000016102
tursiops_truncatus ENSTTRG00000010220
sus_scrofa ENSSSCG00000039119
vicugna_pacos ENSVPAG00000010141
loxodonta_africana ENSLAFG00000007554
procavia_capensis ENSPCAG00000016130
echinops_telfairi ENSETEG00000014051
ornithorhynchus_anatinus ENSOANG00000005143
xenopus_tropicalis ENSXETG00000019773
latimeria_chalumnae ENSLACG00000012587
callorhinchus_milii ENSCMIG00000009244
clupea_harengus ENSCHAG00000015177
denticeps_clupeoides ENSDCDG00000029239
astyanax_mexicanus ENSAMXG00005016623
astyanax_mexicanus ENSAMXG00000002745
pygocentrus_nattereri ENSPNAG00000013151
ictalurus_punctatus ENSIPUG00000011451
electrophorus_electricus ENSEEEG00000014321
danio_rerio ENSDARG00000101886
hucho_hucho ENSHHUG00000050648
hucho_hucho ENSHHUG00000043752
esox_lucius ENSELUG00000023631
