sus_scrofa ENSSSCG00000031634
bos_taurus ENSBTAG00000049173
equus_asinus_asinus ENSEASG00005019923
equus_caballus ENSECAG00000028946
ursus_americanus ENSUAMG00000004799
ursus_maritimus ENSUMAG00000002999
neovison_vison ENSNVIG00000014434
canis_lupus_dingo ENSCAFG00020017586
felis_catus ENSFCAG00000040636
panthera_pardus ENSPPRG00000005945
piliocolobus_tephrosceles ENSPTEG00000027293
prolemur_simus ENSPSMG00000000232
rattus_norvegicus ENSRNOG00000026400
mus_spicilegus ENSMSIG00000016660
meriones_unguiculatus ENSMUGG00000008070
mesocricetus_auratus ENSMAUG00000008856
cricetulus_griseus_chok1gshd ENSCGRG00001021412
microtus_ochrogaster ENSMOCG00000012209
sphenodon_punctatus ENSSPUG00000008175
