cercocebus_atys ENSCATG00000039357
mandrillus_leucophaeus ENSMLEG00000029770
macaca_mulatta ENSMMUG00000044977
macaca_fascicularis ENSMFAG00000000758
macaca_nemestrina ENSMNEG00000038230
papio_anubis ENSPANG00000031487
rhinopithecus_roxellana ENSRROG00000010285
rhinopithecus_bieti ENSRBIG00000029660
colobus_angolensis_palliatus ENSCANG00000033997
castor_canadensis ENSCCNG00000006204
cricetulus_griseus_crigri-picr ENSCGRG00015004730
equus_caballus ENSECAG00000028520
equus_asinus_asinus ENSEASG00005011554
