oryzias_melastigma ENSOMEG00000008247
oryzias_latipes ENSORLG00000027592
neolamprologus_brichardi ENSNBRG00000005942
haplochromis_burtoni ENSHBUG00000020759
amphilophus_citrinellus ENSACIG00000017969
oryzias_latipes ENSORLG00000026195
amphilophus_citrinellus ENSACIG00000016841
latimeria_chalumnae ENSLACG00000011521
latimeria_chalumnae ENSLACG00000004493
latimeria_chalumnae ENSLACG00000014311
scleropages_formosus ENSSFOG00015019904
amphiprion_percula ENSAPEG00000017970
amphiprion_percula ENSAPEG00000021977
amphiprion_percula ENSAPEG00000018027
