colobus_angolensis ENSCANG00000030933
rhinopithecus_roxellana ENSRROG00000039973
theropithecus_gelada ENSTGEG00000013617
pan_troglodytes ENSPTRG00000047758
pan_paniscus ENSPPAG00000024178
gorilla_gorilla ENSGGOG00000042517
aotus_nancymaae ENSANAG00000037861
meriones_unguiculatus ENSMUGG00000022945
canis_lupus ENSCAFG00020024918
panthera_tigris ENSPTIG00000006325
capra_hircus ENSCHIG00000021328
bos_taurus ENSBTAG00000052361
bos_mutus ENSBMUG00000017599
bos_indicus ENSBIXG00000019457
bos_indicus ENSBIXG00005014721
prolemur_simus ENSPSMG00000023999
