dasypus_novemcinctus ENSDNOG00000047661
loxodonta_africana ENSLAFG00000026415
ovis_aries ENSOARG00000016692
capra_hircus ENSCHIG00000021264
bos_taurus ENSBTAG00000024878
bos_mutus ENSBMUG00000012237
bison_bison_bison ENSBBBG00000022499
sus_scrofa ENSSSCG00000014079
neovison_vison ENSNVIG00000013716
mustela_putorius_furo ENSMPUG00000005681
ursus_maritimus ENSUMAG00000007284
ailuropoda_melanoleuca ENSAMEG00000000627
mustela_putorius_furo ENSMPUG00000005678
canis_lupus_dingo ENSCAFG00020024911
panthera_tigris_altaica ENSPTIG00000019989
panthera_pardus ENSPPRG00000006600
felis_catus ENSFCAG00000029332
equus_asinus_asinus ENSEASG00005018424
equus_caballus ENSECAG00000024123
pan_paniscus ENSPPAG00000033501
pan_troglodytes ENSPTRG00000016993
homo_sapiens ENSG00000145700
gorilla_gorilla ENSGGOG00000017052
nomascus_leucogenys ENSNLEG00000005068
colobus_angolensis_palliatus ENSCANG00000025683
piliocolobus_tephrosceles ENSPTEG00000002293
rhinopithecus_bieti ENSRBIG00000032431
rhinopithecus_bieti ENSRBIG00000038803
rhinopithecus_roxellana ENSRROG00000038255
cercocebus_atys ENSCATG00000029258
mandrillus_leucophaeus ENSMLEG00000037468
theropithecus_gelada ENSTGEG00000021847
papio_anubis ENSPANG00000003862
macaca_fascicularis ENSMFAG00000044070
macaca_mulatta ENSMMUG00000011061
macaca_nemestrina ENSMNEG00000038747
chlorocebus_sabaeus ENSCSAG00000015425
cebus_capucinus ENSCCAG00000025762
saimiri_boliviensis_boliviensis ENSSBOG00000030519
callithrix_jacchus ENSCJAG00000016943
aotus_nancymaae ENSANAG00000022634
carlito_syrichta ENSTSYG00000009531
propithecus_coquereli ENSPCOG00000017441
microcebus_murinus ENSMICG00000014418
prolemur_simus ENSPSMG00000018045
otolemur_garnettii ENSOGAG00000028567
chinchilla_lanigera ENSCLAG00000011065
octodon_degus ENSODEG00000003017
cavia_porcellus ENSCPOG00000024855
heterocephalus_glaber_male ENSHGLG00100019421
heterocephalus_glaber_female ENSHGLG00000000230
fukomys_damarensis ENSFDAG00000015915
ictidomys_tridecemlineatus ENSSTOG00000034383
spermophilus_dauricus ENSSDAG00000015806
urocitellus_parryii ENSUPAG00010005442
marmota_marmota_marmota ENSMMMG00000001628
cricetulus_griseus_crigri ENSCGRG00000000557
cricetulus_griseus_chok1gshd ENSCGRG00001018162
cricetulus_griseus_crigri-picr ENSCGRG00015009650
mesocricetus_auratus ENSMAUG00000020142
peromyscus_maniculatus_bairdii ENSPEMG00000018561
microtus_ochrogaster ENSMOCG00000009502
mus_spicilegus ENSMSIG00000002081
mus_musculus ENSMUSG00000109561
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018809
rattus_norvegicus ENSRNOG00000025321
nannospalax_galili ENSNGAG00000011054
jaculus_jaculus ENSJJAG00000010566
dipodomys_ordii ENSDORG00000008528
ornithorhynchus_anatinus ENSOANG00000020639
chelonoidis_abingdonii ENSCABG00000009186
gopherus_agassizii ENSGAGG00000007052
chrysemys_picta_bellii ENSCPBG00000000893
lepidothrix_coronata ENSLCOG00000000775
manacus_vitellinus ENSMVIG00005014376
zonotrichia_albicollis ENSZALG00000016551
serinus_canaria ENSSCAG00000004870
lonchura_striata_domestica ENSLSDG00000014288
taeniopygia_guttata ENSTGUG00000006074
parus_major ENSPMJG00000016161
cyanistes_caeruleus ENSCCEG00000016446
calidris_pugnax ENSCPUG00000013512
calidris_pygmaea ENSCPGG00000016353
coturnix_japonica ENSCJPG00005001833
coturnix_japonica ENSCJPG00005001841
gallus_gallus ENSGALG00000051796
numida_meleagris ENSNMEG00000008493
anas_platyrhynchos_platyrhynchos ENSAPLG00000006971
anser_brachyrhynchus ENSABRG00000000482
apteryx_owenii ENSAOWG00000006814
apteryx_haastii ENSAHAG00000013444
nothoprocta_perdicaria ENSNPEG00000015991
salvator_merianae ENSSMRG00000005770
xenopus_tropicalis ENSXETG00000031578
lepisosteus_oculatus ENSLOCG00000005414
