amphilophus_citrinellus ENSACIG00000019100
maylandia_zebra ENSMZEG00005002840
poecilia_reticulata ENSPREG00000006780
mola_mola ENSMMOG00000003778
cynoglossus_semilaevis ENSCSEG00000004530
seriola_lalandi_dorsalis ENSSLDG00000021396
seriola_dumerili ENSSDUG00000007726
scophthalmus_maximus ENSSMAG00000008088
monopterus_albus ENSMALG00000015383
mastacembelus_armatus ENSMAMG00000015335
anabas_testudineus ENSATEG00000006254
gasterosteus_aculeatus ENSGACG00000016706
labrus_bergylta ENSLBEG00000001304
takifugu_rubripes ENSTRUG00000008105
tetraodon_nigroviridis ENSTNIG00000013057
amphiprion_ocellaris ENSAOCG00000012549
amphiprion_percula ENSAPEG00000000868
acanthochromis_polyacanthus ENSAPOG00000004268
stegastes_partitus ENSSPAG00000011152
astatotilapia_calliptera ENSACLG00000013812
pundamilia_nyererei ENSPNYG00000001427
neolamprologus_brichardi ENSNBRG00000014133
haplochromis_burtoni ENSHBUG00000019903
oreochromis_niloticus ENSONIG00000001397
xiphophorus_maculatus ENSXMAG00000001986
poecilia_formosa ENSPFOG00000018357
gambusia_affinis ENSGAFG00000017709
cyprinodon_variegatus ENSCVAG00000013016
fundulus_heteroclitus ENSFHEG00000020794
kryptolebias_marmoratus ENSKMAG00000008260
oryzias_melastigma ENSOMEG00000003414
hippocampus_comes ENSHCOG00000003895
periophthalmus_magnuspinnatus ENSPMGG00000008275
gadus_morhua ENSGMOG00000002689
esox_lucius ENSELUG00000022123
astyanax_mexicanus ENSAMXG00000042148
pygocentrus_nattereri ENSPNAG00000005498
ictalurus_punctatus ENSIPUG00000020165
danio_rerio ENSDARG00000037675
paramormyrops_kingsleyae ENSPKIG00000020050
scleropages_formosus ENSSFOG00015005064
lepisosteus_oculatus ENSLOCG00000001942
latimeria_chalumnae ENSLACG00000001779
dromaius_novaehollandiae ENSDNVG00000002404
nothoprocta_perdicaria ENSNPEG00000002146
apteryx_rowi ENSARWG00000004769
apteryx_haastii ENSAHAG00000009974
apteryx_owenii ENSAOWG00000019128
zonotrichia_albicollis ENSZALG00000015776
serinus_canaria ENSSCAG00000016639
parus_major ENSPMJG00000002753
cyanistes_caeruleus ENSCCEG00000013461
taeniopygia_guttata ENSTGUG00000014970
lonchura_striata_domestica ENSLSDG00000008426
ficedula_albicollis ENSFALG00000003320
manacus_vitellinus ENSMVIG00005000755
lepidothrix_coronata ENSLCOG00000005359
junco_hyemalis ENSJHYG00000001958
melopsittacus_undulatus ENSMUNG00000009507
calidris_pugnax ENSCPUG00000006856
calidris_pygmaea ENSCPGG00000015102
meleagris_gallopavo ENSMGAG00000001591
coturnix_japonica ENSCJPG00005011356
gallus_gallus ENSGALG00000002197
numida_meleagris ENSNMEG00000013904
anser_brachyrhynchus ENSABRG00000021392
crocodylus_porosus ENSCPRG00005003148
chrysemys_picta_bellii ENSCPBG00000021221
chrysemys_picta_bellii ENSCPBG00000027172
gopherus_agassizii ENSGAGG00000020250
chelonoidis_abingdonii ENSCABG00000006292
pelodiscus_sinensis ENSPSIG00000011204
sphenodon_punctatus ENSSPUG00000017271
sphenodon_punctatus ENSSPUG00000015604
anolis_carolinensis ENSACAG00000015626
pogona_vitticeps ENSPVIG00000018947
notechis_scutatus ENSNSUG00000000953
salvator_merianae ENSSMRG00000022716
rattus_norvegicus ENSRNOG00000032995
canis_lupus_familiaris ENSCAFG00000023359
xenopus_tropicalis ENSXETG00000008403
latimeria_chalumnae ENSLACG00000013460
petromyzon_marinus ENSPMAG00000004930
