pundamilia_nyererei ENSPNYG00000021918
astatotilapia_calliptera ENSACLG00000017379
astatotilapia_calliptera ENSACLG00000017471
maylandia_zebra ENSMZEG00005020040
haplochromis_burtoni ENSHBUG00000009521
gambusia_affinis ENSGAFG00000003169
poecilia_latipinna ENSPLAG00000018369
xiphophorus_maculatus ENSXMAG00000026590
xiphophorus_couchianus ENSXCOG00000017932
gambusia_affinis ENSGAFG00000022056
poecilia_latipinna ENSPLAG00000017794
cyprinodon_variegatus ENSCVAG00000002302
cyprinodon_variegatus ENSCVAG00000017750
anabas_testudineus ENSATEG00000015244
