heterocephalus_glaber_female ENSHGLG00000001248
heterocephalus_glaber_male ENSHGLG00100005519
fukomys_damarensis ENSFDAG00000006550
chinchilla_lanigera ENSCLAG00000006504
urocitellus_parryii ENSUPAG00010022836
castor_canadensis ENSCCNG00000025088
oryctolagus_cuniculus ENSOCUG00000029009
ochotona_princeps ENSOPRG00000013882
pan_troglodytes ENSPTRG00000024349
pan_paniscus ENSPPAG00000038040
gorilla_gorilla ENSGGOG00000026392
homo_sapiens ENSG00000197566
pongo_abelii ENSPPYG00000008022
nomascus_leucogenys ENSNLEG00000014692
mandrillus_leucophaeus ENSMLEG00000026939
papio_anubis ENSPANG00000031319
macaca_fascicularis ENSMFAG00000031006
colobus_angolensis_palliatus ENSCANG00000040454
piliocolobus_tephrosceles ENSPTEG00000035974
rhinopithecus_roxellana ENSRROG00000031065
rhinopithecus_bieti ENSRBIG00000019684
cebus_capucinus ENSCCAG00000029301
saimiri_boliviensis_boliviensis ENSSBOG00000020517
callithrix_jacchus ENSCJAG00000011930
aotus_nancymaae ENSANAG00000019425
carlito_syrichta ENSTSYG00000013814
propithecus_coquereli ENSPCOG00000026314
microcebus_murinus ENSMICG00000012812
prolemur_simus ENSPSMG00000014142
otolemur_garnettii ENSOGAG00000030971
pteropus_vampyrus ENSPVAG00000017110
myotis_lucifugus ENSMLUG00000006002
capra_hircus ENSCHIG00000019768
ovis_aries ENSOARG00000016837
bos_mutus ENSBMUG00000014020
bos_taurus ENSBTAG00000031071
bison_bison_bison ENSBBBG00000014245
sus_scrofa ENSSSCG00000025254
vicugna_pacos ENSVPAG00000009839
vulpes_vulpes ENSVVUG00000029975
canis_lupus_familiaris ENSCAFG00000030402
neovison_vison ENSNVIG00000010905
mustela_putorius_furo ENSMPUG00000010111
mustela_putorius_furo ENSMPUG00000003321
ursus_maritimus ENSUMAG00000007015
ursus_americanus ENSUAMG00000022423
ailuropoda_melanoleuca ENSAMEG00000004801
panthera_pardus ENSPPRG00000011603
panthera_tigris_altaica ENSPTIG00000015227
felis_catus ENSFCAG00000043064
equus_caballus ENSECAG00000003158
equus_asinus_asinus ENSEASG00005017263
dasypus_novemcinctus ENSDNOG00000048324
dasypus_novemcinctus ENSDNOG00000008269
choloepus_hoffmanni ENSCHOG00000010230
echinops_telfairi ENSETEG00000009371
