propithecus_coquereli ENSPCOG00000024109
prolemur_simus ENSPSMG00000006562
microcebus_murinus ENSMICG00000043941
otolemur_garnettii ENSOGAG00000013367
pan_troglodytes ENSPTRG00000011480
pan_troglodytes ENSPTRG00000048921
pan_paniscus ENSPPAG00000039590
homo_sapiens ENSG00000022556
gorilla_gorilla ENSGGOG00000001259
pongo_abelii ENSPPYG00000010396
nomascus_leucogenys ENSNLEG00000010661
mandrillus_leucophaeus ENSMLEG00000030288
rhinopithecus_roxellana ENSRROG00000018802
rhinopithecus_bieti ENSRBIG00000014521
colobus_angolensis_palliatus ENSCANG00000042067
piliocolobus_tephrosceles ENSPTEG00000010646
piliocolobus_tephrosceles ENSPTEG00000039655
papio_anubis ENSPANG00000022816
papio_anubis ENSPANG00000010048
theropithecus_gelada ENSTGEG00000011855
cercocebus_atys ENSCATG00000029513
macaca_fascicularis ENSMFAG00000029871
macaca_nemestrina ENSMNEG00000031745
macaca_mulatta ENSMMUG00000003115
chlorocebus_sabaeus ENSCSAG00000001770
cebus_capucinus ENSCCAG00000023902
saimiri_boliviensis_boliviensis ENSSBOG00000025271
pan_troglodytes ENSPTRG00000040350
pan_paniscus ENSPPAG00000003263
homo_sapiens ENSG00000253548
gorilla_gorilla ENSGGOG00000043904
pongo_abelii ENSPPYG00000014482
macaca_fascicularis ENSMFAG00000029611
macaca_nemestrina ENSMNEG00000024221
macaca_mulatta ENSMMUG00000014141
papio_anubis ENSPANG00000007087
mandrillus_leucophaeus ENSMLEG00000009878
cercocebus_atys ENSCATG00000009968
chlorocebus_sabaeus ENSCSAG00000018930
theropithecus_gelada ENSTGEG00000024668
castor_canadensis ENSCCNG00000000477
castor_canadensis ENSCCNG00000000431
mus_spicilegus ENSMSIG00000031152
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030209
mus_musculus ENSMUSG00000035177
mus_pahari MGP_PahariEiJ_G0020978
rattus_norvegicus ENSRNOG00000049759
meriones_unguiculatus ENSMUGG00000025423
cricetulus_griseus_chok1gshd ENSCGRG00001005000
cricetulus_griseus_crigri-picr ENSCGRG00015006570
cricetulus_griseus_crigri ENSCGRG00000005656
mesocricetus_auratus ENSMAUG00000015789
nannospalax_galili ENSNGAG00000014279
spermophilus_dauricus ENSSDAG00000010160
marmota_marmota_marmota ENSMMMG00000000238
urocitellus_parryii ENSUPAG00010023693
marmota_marmota_marmota ENSMMMG00000002507
urocitellus_parryii ENSUPAG00010017581
spermophilus_dauricus ENSSDAG00000008064
oryctolagus_cuniculus ENSOCUG00000004343
myotis_lucifugus ENSMLUG00000015486
myotis_lucifugus ENSMLUG00000008668
pteropus_vampyrus ENSPVAG00000010667
bos_mutus ENSBMUG00000019168
bos_taurus ENSBTAG00000047953
bison_bison_bison ENSBBBG00000025081
ovis_aries ENSOARG00000002020
equus_caballus ENSECAG00000020087
neovison_vison ENSNVIG00000016778
ursus_americanus ENSUAMG00000017671
ursus_maritimus ENSUMAG00000024681
ailuropoda_melanoleuca ENSAMEG00000003239
ailuropoda_melanoleuca ENSAMEG00000003259
vulpes_vulpes ENSVVUG00000007628
vulpes_vulpes ENSVVUG00000007675
canis_lupus_dingo ENSCAFG00020016886
canis_lupus_dingo ENSCAFG00020016875
canis_lupus_familiaris ENSCAFG00000002638
vicugna_pacos ENSVPAG00000012459
equus_asinus_asinus ENSEASG00005021085
loxodonta_africana ENSLAFG00000001721
procavia_capensis ENSPCAG00000003934
dasypus_novemcinctus ENSDNOG00000046695
dasypus_novemcinctus ENSDNOG00000038034
dasypus_novemcinctus ENSDNOG00000006677
choloepus_hoffmanni ENSCHOG00000010620
loxodonta_africana ENSLAFG00000026668
pan_troglodytes ENSPTRG00000048909
capra_hircus ENSCHIG00000024376
ovis_aries ENSOARG00000002120
bos_taurus ENSBTAG00000047473
bos_mutus ENSBMUG00000009877
tursiops_truncatus ENSTTRG00000006394
sus_scrofa ENSSSCG00000003286
sus_scrofa ENSSSCG00000003277
equus_caballus ENSECAG00000016792
equus_asinus_asinus ENSEASG00005021087
prolemur_simus ENSPSMG00000006460
prolemur_simus ENSPSMG00000014543
microcebus_murinus ENSMICG00000042592
otolemur_garnettii ENSOGAG00000026488
otolemur_garnettii ENSOGAG00000001290
choloepus_hoffmanni ENSCHOG00000008076
