loxodonta_africana ENSLAFG00000026404
procavia_capensis ENSPCAG00000016090
echinops_telfairi ENSETEG00000011643
gorilla_gorilla ENSGGOG00000010487
homo_sapiens ENSG00000198042
pan_troglodytes ENSPTRG00000020149
pan_paniscus ENSPPAG00000035102
pongo_abelii ENSPPYG00000018501
nomascus_leucogenys ENSNLEG00000028118
colobus_angolensis_palliatus ENSCANG00000032211
piliocolobus_tephrosceles ENSPTEG00000032902
rhinopithecus_bieti ENSRBIG00000039940
rhinopithecus_roxellana ENSRROG00000032196
macaca_fascicularis ENSMFAG00000031257
macaca_mulatta ENSMMUG00000010244
macaca_nemestrina ENSMNEG00000035461
theropithecus_gelada ENSTGEG00000006119
papio_anubis ENSPANG00000010420
mandrillus_leucophaeus ENSMLEG00000028683
cercocebus_atys ENSCATG00000030566
callithrix_jacchus ENSCJAG00000048459
saimiri_boliviensis_boliviensis ENSSBOG00000030325
cebus_capucinus ENSCCAG00000025382
aotus_nancymaae ENSANAG00000030954
carlito_syrichta ENSTSYG00000028100
propithecus_coquereli ENSPCOG00000018065
prolemur_simus ENSPSMG00000008646
microcebus_murinus ENSMICG00000013106
otolemur_garnettii ENSOGAG00000024416
heterocephalus_glaber_female ENSHGLG00000002981
heterocephalus_glaber_male ENSHGLG00100007722
fukomys_damarensis ENSFDAG00000012817
chinchilla_lanigera ENSCLAG00000002726
octodon_degus ENSODEG00000005524
octodon_degus ENSODEG00000000020
octodon_degus ENSODEG00000002030
spermophilus_dauricus ENSSDAG00000002770
spermophilus_dauricus ENSSDAG00000002831
ictidomys_tridecemlineatus ENSSTOG00000007812
urocitellus_parryii ENSUPAG00010022887
marmota_marmota_marmota ENSMMMG00000001708
marmota_marmota_marmota ENSMMMG00000014771
dipodomys_ordii ENSDORG00000015722
dipodomys_ordii ENSDORG00000024387
castor_canadensis ENSCCNG00000010228
cricetulus_griseus_crigri ENSCGRG00000007547
cricetulus_griseus_chok1gshd ENSCGRG00001016542
cricetulus_griseus_crigri-picr ENSCGRG00015016865
mesocricetus_auratus ENSMAUG00000008496
microtus_ochrogaster ENSMOCG00000007445
peromyscus_maniculatus_bairdii ENSPEMG00000015171
mus_spicilegus ENSMSIG00000030085
mus_musculus ENSMUSG00000031578
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032075
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030957
mus_pahari MGP_PahariEiJ_G0021426
rattus_norvegicus ENSRNOG00000010783
meriones_unguiculatus ENSMUGG00000018188
nannospalax_galili ENSNGAG00000008772
jaculus_jaculus ENSJJAG00000015237
jaculus_jaculus ENSJJAG00000020605
jaculus_jaculus ENSJJAG00000000383
oryctolagus_cuniculus ENSOCUG00000008735
ochotona_princeps ENSOPRG00000002116
pteropus_vampyrus ENSPVAG00000004692
myotis_lucifugus ENSMLUG00000002758
ursus_maritimus ENSUMAG00000021133
ursus_americanus ENSUAMG00000026894
ailuropoda_melanoleuca ENSAMEG00000002852
mustela_putorius_furo ENSMPUG00000010181
neovison_vison ENSNVIG00000006707
canis_lupus_familiaris ENSCAFG00000006325
canis_lupus_dingo ENSCAFG00020001324
vulpes_vulpes ENSVVUG00000019933
panthera_tigris_altaica ENSPTIG00000014223
panthera_pardus ENSPPRG00000002317
felis_catus ENSFCAG00000033972
sus_scrofa ENSSSCG00000036947
sus_scrofa ENSSSCG00000032618
capra_hircus ENSCHIG00000017057
ovis_aries ENSOARG00000000384
capra_hircus ENSCHIG00000014271
bos_mutus ENSBMUG00000005435
bos_taurus ENSBTAG00000033504
bison_bison_bison ENSBBBG00000005754
tursiops_truncatus ENSTTRG00000013015
erinaceus_europaeus ENSEEUG00000006280
equus_caballus ENSECAG00000016532
equus_asinus_asinus ENSEASG00005016762
vicugna_pacos ENSVPAG00000006017
sorex_araneus ENSSARG00000009574
tupaia_belangeri ENSTBEG00000001861
dasypus_novemcinctus ENSDNOG00000008424
choloepus_hoffmanni ENSCHOG00000009081
phascolarctos_cinereus ENSPCIG00000028005
notamacropus_eugenii ENSMEUG00000006945
sarcophilus_harrisii ENSSHAG00000007593
monodelphis_domestica ENSMODG00000011096
ornithorhynchus_anatinus ENSOANG00000002395
gopherus_agassizii ENSGAGG00000022177
chelonoidis_abingdonii ENSCABG00000017192
chrysemys_picta_bellii ENSCPBG00000000176
pelodiscus_sinensis ENSPSIG00000012396
crocodylus_porosus ENSCPRG00005002746
apteryx_owenii ENSAOWG00000001618
apteryx_haastii ENSAHAG00000002436
apteryx_rowi ENSARWG00000011641
dromaius_novaehollandiae ENSDNVG00000007084
nothoprocta_perdicaria ENSNPEG00000010874
lepidothrix_coronata ENSLCOG00000008223
manacus_vitellinus ENSMVIG00005019168
lonchura_striata_domestica ENSLSDG00000017335
taeniopygia_guttata ENSTGUG00000017303
serinus_canaria ENSSCAG00000011120
cyanistes_caeruleus ENSCCEG00000007145
parus_major ENSPMJG00000017803
ficedula_albicollis ENSFALG00000006827
melopsittacus_undulatus ENSMUNG00000000208
calidris_pugnax ENSCPUG00000004399
calidris_pygmaea ENSCPGG00000007317
