meleagris_gallopavo ENSMGAG00000013614
gallus_gallus ENSGALG00000031966
numida_meleagris ENSNMEG00000017000
anas_platyrhynchos_platyrhynchos ENSAPLG00000025019
spermophilus_dauricus ENSSDAG00000010271
jaculus_jaculus ENSJJAG00000011223
heterocephalus_glaber_male ENSHGLG00100019626
heterocephalus_glaber_male ENSHGLG00100019655
heterocephalus_glaber_female ENSHGLG00000020083
octodon_degus ENSODEG00000020227
tupaia_belangeri ENSTBEG00000016899
mandrillus_leucophaeus ENSMLEG00000042516
papio_anubis ENSPANG00000035425
chlorocebus_sabaeus ENSCSAG00000014391
propithecus_coquereli ENSPCOG00000013302
bos_taurus ENSBTAG00000010503
xenopus_tropicalis ENSXETG00000026270
astatotilapia_calliptera ENSACLG00000016756
maylandia_zebra ENSMZEG00005027542
maylandia_zebra ENSMZEG00005004601
haplochromis_burtoni ENSHBUG00000000127
pundamilia_nyererei ENSPNYG00000003259
amphiprion_ocellaris ENSAOCG00000004750
amphiprion_percula ENSAPEG00000001342
oryzias_latipes ENSORLG00000021949
labrus_bergylta ENSLBEG00000018283
cynoglossus_semilaevis ENSCSEG00000012379
