drosophila_melanogaster FBgn0038307
caenorhabditis_elegans_strain_n2 WBGene00012556
takifugu_rubripes ENSTRUG00000008832
tetraodon_nigroviridis ENSTNIG00000012271
mola_mola ENSMMOG00000015116
labrus_bergylta ENSLBEG00000014754
gasterosteus_aculeatus ENSGACG00000008859
seriola_lalandi_dorsalis ENSSLDG00000008022
seriola_dumerili ENSSDUG00000019559
seriola_lalandi_dorsalis ENSSLDG00000019993
scophthalmus_maximus ENSSMAG00000016563
monopterus_albus ENSMALG00000001668
mastacembelus_armatus ENSMAMG00000007501
anabas_testudineus ENSATEG00000012961
cynoglossus_semilaevis ENSCSEG00000017554
hippocampus_comes ENSHCOG00000014114
amphiprion_percula ENSAPEG00000015826
amphiprion_ocellaris ENSAOCG00000021538
acanthochromis_polyacanthus ENSAPOG00000001468
stegastes_partitus ENSSPAG00000003540
pundamilia_nyererei ENSPNYG00000022061
haplochromis_burtoni ENSHBUG00000014271
astatotilapia_calliptera ENSACLG00000020200
maylandia_zebra ENSMZEG00005018054
neolamprologus_brichardi ENSNBRG00000019093
oreochromis_niloticus ENSONIG00000013312
amphilophus_citrinellus ENSACIG00000008304
poecilia_formosa ENSPFOG00000019547
poecilia_mexicana ENSPMEG00000016633
gambusia_affinis ENSGAFG00000012415
xiphophorus_maculatus ENSXMAG00000003237
cyprinodon_variegatus ENSCVAG00000001649
fundulus_heteroclitus ENSFHEG00000023314
poecilia_reticulata ENSPREG00000004713
poecilia_latipinna ENSPLAG00000023045
xiphophorus_couchianus ENSXCOG00000004382
kryptolebias_marmoratus ENSKMAG00000008782
oryzias_latipes_asm223469v1 ENSORLG00015004564
oryzias_latipes ENSORLG00000014824
oryzias_latipes ENSORLG00020009804
oryzias_melastigma ENSOMEG00000010468
periophthalmus_magnuspinnatus ENSPMGG00000019220
gadus_morhua ENSGMOG00000014270
esox_lucius ENSELUG00000018119
astyanax_mexicanus ENSAMXG00000041053
pygocentrus_nattereri ENSPNAG00000020655
ictalurus_punctatus ENSIPUG00000016955
danio_rerio ENSDARG00000045913
scleropages_formosus ENSSFOG00015019575
paramormyrops_kingsleyae ENSPKIG00000006748
lepisosteus_oculatus ENSLOCG00000017239
sphenodon_punctatus ENSSPUG00000012881
sphenodon_punctatus ENSSPUG00000003067
anolis_carolinensis ENSACAG00000001234
pogona_vitticeps ENSPVIG00000002656
notechis_scutatus ENSNSUG00000012960
salvator_merianae ENSSMRG00000018568
apteryx_owenii ENSAOWG00000001972
apteryx_haastii ENSAHAG00000004407
dromaius_novaehollandiae ENSDNVG00000013230
nothoprocta_perdicaria ENSNPEG00000009212
zonotrichia_albicollis ENSZALG00000002517
parus_major ENSPMJG00000013630
taeniopygia_guttata ENSTGUG00000003245
serinus_canaria ENSSCAG00000006100
lonchura_striata_domestica ENSLSDG00000016772
junco_hyemalis ENSJHYG00000009767
cyanistes_caeruleus ENSCCEG00000013508
ficedula_albicollis ENSFALG00000012587
lepidothrix_coronata ENSLCOG00000009797
manacus_vitellinus ENSMVIG00005005407
melopsittacus_undulatus ENSMUNG00000010565
calidris_pugnax ENSCPUG00000000964
calidris_pygmaea ENSCPGG00000019062
meleagris_gallopavo ENSMGAG00000013895
coturnix_japonica ENSCJPG00005007557
gallus_gallus ENSGALG00000009890
numida_meleagris ENSNMEG00000014912
anser_brachyrhynchus ENSABRG00000014739
anas_platyrhynchos_platyrhynchos ENSAPLG00000015030
crocodylus_porosus ENSCPRG00005015640
gopherus_agassizii ENSGAGG00000024355
chelonoidis_abingdonii ENSCABG00000016494
chrysemys_picta_bellii ENSCPBG00000015528
notamacropus_eugenii ENSMEUG00000012955
phascolarctos_cinereus ENSPCIG00000024531
sarcophilus_harrisii ENSSHAG00000003960
monodelphis_domestica ENSMODG00000019045
