saimiri_boliviensis_boliviensis ENSSBOG00000023801
callithrix_jacchus ENSCJAG00000000143
gorilla_gorilla ENSGGOG00000025746
nomascus_leucogenys ENSNLEG00000027770
macaca_nemestrina ENSMNEG00000017861
chlorocebus_sabaeus ENSCSAG00000018558
rhinopithecus_roxellana ENSRROG00000038151
piliocolobus_tephrosceles ENSPTEG00000035951
carlito_syrichta ENSTSYG00000001475
prolemur_simus ENSPSMG00000018479
panthera_tigris_altaica ENSPTIG00000007336
panthera_pardus ENSPPRG00000017532
felis_catus ENSFCAG00000043607
