panthera_tigris_altaica ENSPTIG00000001325
neovison_vison ENSNVIG00000012572
bos_mutus ENSBMUG00000004652
bos_taurus ENSBTAG00000051894
bison_bison_bison ENSBBBG00000003276
capra_hircus ENSCHIG00000011098
sus_scrofa ENSSSCG00000039902
equus_asinus_asinus ENSEASG00005016925
equus_caballus ENSECAG00000033503
macaca_fascicularis ENSMFAG00000004635
macaca_mulatta ENSMMUG00000040147
macaca_nemestrina ENSMNEG00000027734
papio_anubis ENSPANG00000031283
theropithecus_gelada ENSTGEG00000002542
mandrillus_leucophaeus ENSMLEG00000000609
cercocebus_atys ENSCATG00000023032
piliocolobus_tephrosceles ENSPTEG00000010362
colobus_angolensis_palliatus ENSCANG00000038228
prolemur_simus ENSPSMG00000022008
marmota_marmota_marmota ENSMMMG00000017442
castor_canadensis ENSCCNG00000000858
