vicugna_pacos ENSVPAG00000009051
sorex_araneus ENSSARG00000002957
pteropus_vampyrus ENSPVAG00000007942
tupaia_belangeri ENSTBEG00000014347
prolemur_simus ENSPSMG00000005528
procavia_capensis ENSPCAG00000005104
choloepus_hoffmanni ENSCHOG00000009978
erinaceus_europaeus ENSEEUG00000002372
echinops_telfairi ENSETEG00000018212
equus_asinus_asinus ENSEASG00005000686
equus_caballus ENSECAG00000033517
ailuropoda_melanoleuca ENSAMEG00000005043
macaca_fascicularis ENSMFAG00000045021
macaca_nemestrina ENSMNEG00000036897
mandrillus_leucophaeus ENSMLEG00000029064
cercocebus_atys ENSCATG00000030874
rhinopithecus_roxellana ENSRROG00000030861
colobus_angolensis_palliatus ENSCANG00000028383
homo_sapiens ENSG00000175768
rhinopithecus_bieti ENSRBIG00000036294
pan_troglodytes ENSPTRG00000033875
pan_paniscus ENSPPAG00000038758
gorilla_gorilla ENSGGOG00000036790
nomascus_leucogenys ENSNLEG00000003604
macaca_mulatta ENSMMUG00000017887
papio_anubis ENSPANG00000035693
theropithecus_gelada ENSTGEG00000004019
piliocolobus_tephrosceles ENSPTEG00000024397
propithecus_coquereli ENSPCOG00000022602
ochotona_princeps ENSOPRG00000014248
nothoprocta_perdicaria ENSNPEG00000005994
