mus_spicilegus ENSMSIG00000027235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030049
mus_musculus ENSMUSG00000030216
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029000
mus_pahari MGP_PahariEiJ_G0022762
rattus_norvegicus ENSRNOG00000005505
rattus_norvegicus ENSRNOG00000049593
cricetulus_griseus_chok1gshd ENSCGRG00001021864
cricetulus_griseus_crigri-picr ENSCGRG00015000583
peromyscus_maniculatus_bairdii ENSPEMG00000004271
marmota_marmota_marmota ENSMMMG00000016288
spermophilus_dauricus ENSSDAG00000008735
