loxodonta_africana ENSLAFG00000004734
procavia_capensis ENSPCAG00000000043
echinops_telfairi ENSETEG00000006434
dasypus_novemcinctus ENSDNOG00000030621
pan_paniscus ENSPPAG00000032448
pan_troglodytes ENSPTRG00000007980
homo_sapiens ENSG00000149927
gorilla_gorilla ENSGGOG00000012015
pongo_abelii ENSPPYG00000007248
nomascus_leucogenys ENSNLEG00000007620
colobus_angolensis ENSCANG00000038446
piliocolobus_tephrosceles ENSPTEG00000024196
rhinopithecus_roxellana ENSRROG00000038003
rhinopithecus_bieti ENSRBIG00000043273
macaca_fascicularis ENSMFAG00000031217
macaca_mulatta ENSMMUG00000020277
macaca_nemestrina ENSMNEG00000026173
papio_anubis ENSPANG00000016303
mandrillus_leucophaeus ENSMLEG00000009074
theropithecus_gelada ENSTGEG00000014045
cercocebus_atys ENSCATG00000042629
chlorocebus_sabaeus ENSCSAG00000006155
cebus_capucinus ENSCCAG00000020909
saimiri_boliviensis ENSSBOG00000023541
callithrix_jacchus ENSCJAG00000006908
aotus_nancymaae ENSANAG00000037504
carlito_syrichta ENSTSYG00000027221
prolemur_simus ENSPSMG00000001477
prolemur_simus ENSPSMG00000001487
prolemur_simus ENSPSMG00000020255
microcebus_murinus ENSMICG00000037303
propithecus_coquereli ENSPCOG00000015884
otolemur_garnettii ENSOGAG00000011651
mus_spretus MGP_SPRETEiJ_G0031583
mus_spicilegus ENSMSIG00000027491
mus_musculus ENSMUSG00000052301
mus_pahari MGP_PahariEiJ_G0013679
rattus_norvegicus ENSRNOG00000019920
meriones_unguiculatus ENSMUGG00000012309
peromyscus_maniculatus ENSPEMG00000013377
microtus_ochrogaster ENSMOCG00000014246
cricetulus_griseus ENSCGRG00000010746
cricetulus_griseus ENSCGRG00001000827
cricetulus_griseus ENSCGRG00015025418
mesocricetus_auratus ENSMAUG00000010658
nannospalax_galili ENSNGAG00000002410
jaculus_jaculus ENSJJAG00000013934
dipodomys_ordii ENSDORG00000003070
castor_canadensis ENSCCNG00000028392
ictidomys_tridecemlineatus ENSSTOG00000001550
urocitellus_parryii ENSUPAG00010009621
spermophilus_dauricus ENSSDAG00000007430
marmota_marmota ENSMMMG00000023735
chinchilla_lanigera ENSCLAG00000009593
octodon_degus ENSODEG00000013649
cavia_porcellus ENSCPOG00000020613
cavia_aperea ENSCAPG00000010563
heterocephalus_glaber ENSHGLG00000013063
heterocephalus_glaber ENSHGLG00100019183
fukomys_damarensis ENSFDAG00000013163
ochotona_princeps ENSOPRG00000009712
tupaia_belangeri ENSTBEG00000011706
capra_hircus ENSCHIG00000012920
ovis_aries ENSOARG00000004332
bos_taurus ENSBTAG00000005031
bos_mutus ENSBMUG00000026276
bison_bison ENSBBBG00000007500
tursiops_truncatus ENSTTRG00000005520
sus_scrofa ENSSSCG00000034635
canis_lupus ENSCAFG00000017075
canis_lupus ENSCAFG00020017677
vulpes_vulpes ENSVVUG00000026050
mustela_putorius ENSMPUG00000012544
neovison_vison ENSNVIG00000025032
ursus_americanus ENSUAMG00000024144
ursus_maritimus ENSUMAG00000011079
ailuropoda_melanoleuca ENSAMEG00000015138
panthera_pardus ENSPPRG00000006109
panthera_tigris ENSPTIG00000012622
felis_catus ENSFCAG00000014167
equus_caballus ENSECAG00000018403
equus_asinus ENSEASG00005014621
myotis_lucifugus ENSMLUG00000008889
pteropus_vampyrus ENSPVAG00000010550
erinaceus_europaeus ENSEEUG00000010351
sorex_araneus ENSSARG00000014267
oryctolagus_cuniculus ENSOCUG00000027142
phascolarctos_cinereus ENSPCIG00000025172
notamacropus_eugenii ENSMEUG00000013014
sarcophilus_harrisii ENSSHAG00000010368
monodelphis_domestica ENSMODG00000022950
ornithorhynchus_anatinus ENSOANG00000010036
gopherus_agassizii ENSGAGG00000005789
gopherus_agassizii ENSGAGG00000005792
chelonoidis_abingdonii ENSCABG00000007211
chrysemys_picta ENSCPBG00000006495
anolis_carolinensis ENSACAG00000010202
pogona_vitticeps ENSPVIG00000009172
notechis_scutatus ENSNSUG00000019258
salvator_merianae ENSSMRG00000000955
sphenodon_punctatus ENSSPUG00000010857
xenopus_tropicalis ENSXETG00000030453
xiphophorus_maculatus ENSXMAG00000010941
xiphophorus_couchianus ENSXCOG00000011506
poecilia_mexicana ENSPMEG00000007078
poecilia_formosa ENSPFOG00000008860
poecilia_reticulata ENSPREG00000011903
poecilia_latipinna ENSPLAG00000015841
fundulus_heteroclitus ENSFHEG00000000731
oryzias_melastigma ENSOMEG00000020145
cynoglossus_semilaevis ENSCSEG00000010693
gambusia_affinis ENSGAFG00000008928
poecilia_reticulata ENSPREG00000011894
fundulus_heteroclitus ENSFHEG00000014512
cyprinodon_variegatus ENSCVAG00000014331
kryptolebias_marmoratus ENSKMAG00000008351
neolamprologus_brichardi ENSNBRG00000020766
oryzias_melastigma ENSOMEG00000014779
scophthalmus_maximus ENSSMAG00000011896
labrus_bergylta ENSLBEG00000006812
mastacembelus_armatus ENSMAMG00000017875
monopterus_albus ENSMALG00000000169
anabas_testudineus ENSATEG00000017522
amphiprion_percula ENSAPEG00000007184
amphiprion_ocellaris ENSAOCG00000024319
acanthochromis_polyacanthus ENSAPOG00000017134
stegastes_partitus ENSSPAG00000018968
seriola_dumerili ENSSDUG00000006012
seriola_lalandi ENSSLDG00000000917
scophthalmus_maximus ENSSMAG00000014817
oryzias_latipes ENSORLG00000000189
oryzias_latipes ENSORLG00020021039
oryzias_latipes ENSORLG00015011848
labrus_bergylta ENSLBEG00000012772
gasterosteus_aculeatus ENSGACG00000015006
maylandia_zebra ENSMZEG00005002909
pundamilia_nyererei ENSPNYG00000012267
astatotilapia_calliptera ENSACLG00000016651
oreochromis_niloticus ENSONIG00000009373
haplochromis_burtoni ENSHBUG00000013632
amphilophus_citrinellus ENSACIG00000024430
hippocampus_comes ENSHCOG00000001993
periophthalmus_magnuspinnatus ENSPMGG00000006672
gadus_morhua ENSGMOG00000009681
esox_lucius ENSELUG00000023980
astyanax_mexicanus ENSAMXG00000040820
pygocentrus_nattereri ENSPNAG00000014692
ictalurus_punctatus ENSIPUG00000001924
danio_rerio ENSDARG00000078736
paramormyrops_kingsleyae ENSPKIG00000018583
scleropages_formosus ENSSFOG00015001174
takifugu_rubripes ENSTRUG00000007793
tetraodon_nigroviridis ENSTNIG00000006529
mola_mola ENSMMOG00000001459
gasterosteus_aculeatus ENSGACG00000007513
seriola_lalandi ENSSLDG00000017658
cynoglossus_semilaevis ENSCSEG00000008455
seriola_dumerili ENSSDUG00000023034
seriola_lalandi ENSSLDG00000009266
scophthalmus_maximus ENSSMAG00000016892
monopterus_albus ENSMALG00000008503
poecilia_latipinna ENSPLAG00000017119
poecilia_formosa ENSPFOG00000005724
poecilia_reticulata ENSPREG00000023096
poecilia_mexicana ENSPMEG00000017389
gambusia_affinis ENSGAFG00000019366
xiphophorus_maculatus ENSXMAG00000018562
xiphophorus_couchianus ENSXCOG00000001555
cyprinodon_variegatus ENSCVAG00000015769
kryptolebias_marmoratus ENSKMAG00000021532
oryzias_latipes ENSORLG00000006111
oryzias_latipes ENSORLG00020016101
oryzias_latipes ENSORLG00015014105
oryzias_melastigma ENSOMEG00000020979
amphiprion_percula ENSAPEG00000010937
acanthochromis_polyacanthus ENSAPOG00000005720
stegastes_partitus ENSSPAG00000008108
maylandia_zebra ENSMZEG00005013812
astatotilapia_calliptera ENSACLG00000009923
haplochromis_burtoni ENSHBUG00000008206
pundamilia_nyererei ENSPNYG00000016967
neolamprologus_brichardi ENSNBRG00000012109
oreochromis_niloticus ENSONIG00000011475
amphilophus_citrinellus ENSACIG00000014800
anabas_testudineus ENSATEG00000019342
amphiprion_ocellaris ENSAOCG00000005466
mastacembelus_armatus ENSMAMG00000012953
