choloepus_hoffmanni ENSCHOG00000001927
dasypus_novemcinctus ENSDNOG00000002771
loxodonta_africana ENSLAFG00000013290
pan_troglodytes ENSPTRG00000012452
pan_paniscus ENSPPAG00000028142
homo_sapiens ENSG00000072135
gorilla_gorilla ENSGGOG00000016535
pongo_abelii ENSPPYG00000013380
nomascus_leucogenys ENSNLEG00000010616
piliocolobus_tephrosceles ENSPTEG00000008508
colobus_angolensis_palliatus ENSCANG00000035399
macaca_nemestrina ENSMNEG00000041185
macaca_fascicularis ENSMFAG00000003200
macaca_mulatta ENSMMUG00000009617
chlorocebus_sabaeus ENSCSAG00000016945
papio_anubis ENSPANG00000026409
theropithecus_gelada ENSTGEG00000028802
cercocebus_atys ENSCATG00000007920
mandrillus_leucophaeus ENSMLEG00000037899
saimiri_boliviensis_boliviensis ENSSBOG00000019619
cebus_capucinus ENSCCAG00000015880
callithrix_jacchus ENSCJAG00000004585
aotus_nancymaae ENSANAG00000024956
carlito_syrichta ENSTSYG00000007622
prolemur_simus ENSPSMG00000023169
microcebus_murinus ENSMICG00000010256
propithecus_coquereli ENSPCOG00000017080
otolemur_garnettii ENSOGAG00000007318
tupaia_belangeri ENSTBEG00000017133
chinchilla_lanigera ENSCLAG00000003389
cavia_porcellus ENSCPOG00000001931
heterocephalus_glaber_male ENSHGLG00100012949
spermophilus_dauricus ENSSDAG00000018824
urocitellus_parryii ENSUPAG00010005670
marmota_marmota_marmota ENSMMMG00000020871
castor_canadensis ENSCCNG00000023949
dipodomys_ordii ENSDORG00000010682
cricetulus_griseus_chok1gshd ENSCGRG00001019318
cricetulus_griseus_crigri ENSCGRG00000017858
cricetulus_griseus_crigri-picr ENSCGRG00015015815
microtus_ochrogaster ENSMOCG00000015746
peromyscus_maniculatus_bairdii ENSPEMG00000020123
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014827
mus_spicilegus ENSMSIG00000031196
mus_musculus ENSMUSG00000026126
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014022
mus_pahari MGP_PahariEiJ_G0027268
rattus_norvegicus ENSRNOG00000013415
meriones_unguiculatus ENSMUGG00000011369
meriones_unguiculatus ENSMUGG00000011293
nannospalax_galili ENSNGAG00000005213
oryctolagus_cuniculus ENSOCUG00000010571
capra_hircus ENSCHIG00000013671
ovis_aries ENSOARG00000015829
bos_taurus ENSBTAG00000011658
bos_mutus ENSBMUG00000006857
bison_bison_bison ENSBBBG00000018443
tursiops_truncatus ENSTTRG00000012580
vicugna_pacos ENSVPAG00000010125
sus_scrofa ENSSSCG00000015735
pteropus_vampyrus ENSPVAG00000006064
ursus_maritimus ENSUMAG00000013885
ursus_americanus ENSUAMG00000027325
ailuropoda_melanoleuca ENSAMEG00000002887
canis_lupus_dingo ENSCAFG00020002951
vulpes_vulpes ENSVVUG00000005010
canis_lupus_familiaris ENSCAFG00000030121
panthera_pardus ENSPPRG00000010518
panthera_tigris_altaica ENSPTIG00000010730
equus_asinus_asinus ENSEASG00005007003
equus_caballus ENSECAG00000011090
ornithorhynchus_anatinus ENSOANG00000029783
