marmota_marmota ENSMMMG00000003700
prolemur_simus ENSPSMG00000023261
sus_scrofa ENSSSCG00000040074
rhinopithecus_roxellana ENSRROG00000018171
rhinopithecus_bieti ENSRBIG00000018377
colobus_angolensis ENSCANG00000010816
mandrillus_leucophaeus ENSMLEG00000022707
theropithecus_gelada ENSTGEG00000014994
macaca_nemestrina ENSMNEG00000025380
macaca_fascicularis ENSMFAG00000028600
papio_anubis ENSPANG00000029630
cercocebus_atys ENSCATG00000005005
pan_paniscus ENSPPAG00000024710
pan_troglodytes ENSPTRG00000046841
gorilla_gorilla ENSGGOG00000036955
nomascus_leucogenys ENSNLEG00000035187
saimiri_boliviensis ENSSBOG00000018203
cebus_capucinus ENSCCAG00000018405
aotus_nancymaae ENSANAG00000020205
equus_asinus ENSEASG00005011404
