amphiprion_percula ENSAPEG00000012302
amphiprion_ocellaris ENSAOCG00000023669
acanthochromis_polyacanthus ENSAPOG00000017996
stegastes_partitus ENSSPAG00000008690
gasterosteus_aculeatus ENSGACG00000011550
monopterus_albus ENSMALG00000018232
mastacembelus_armatus ENSMAMG00000023391
anabas_testudineus ENSATEG00000024416
periophthalmus_magnuspinnatus ENSPMGG00000022138
scophthalmus_maximus ENSSMAG00000015513
cynoglossus_semilaevis ENSCSEG00000014264
seriola_lalandi_dorsalis ENSSLDG00000022759
seriola_dumerili ENSSDUG00000009831
xiphophorus_maculatus ENSXMAG00000001021
xiphophorus_couchianus ENSXCOG00000010360
gambusia_affinis ENSGAFG00000020268
poecilia_formosa ENSPFOG00000004496
poecilia_mexicana ENSPMEG00000001382
poecilia_latipinna ENSPLAG00000015271
poecilia_reticulata ENSPREG00000006678
cyprinodon_variegatus ENSCVAG00000019012
fundulus_heteroclitus ENSFHEG00000000345
kryptolebias_marmoratus ENSKMAG00000018865
oryzias_latipes ENSORLG00020000915
oryzias_latipes ENSORLG00000008699
oryzias_latipes_asm223469v1 ENSORLG00015008585
oryzias_melastigma ENSOMEG00000011054
astatotilapia_calliptera ENSACLG00000027866
maylandia_zebra ENSMZEG00005003785
haplochromis_burtoni ENSHBUG00000013057
pundamilia_nyererei ENSPNYG00000018548
neolamprologus_brichardi ENSNBRG00000001594
oreochromis_niloticus ENSONIG00000017140
amphilophus_citrinellus ENSACIG00000023043
takifugu_rubripes ENSTRUG00000016116
tetraodon_nigroviridis ENSTNIG00000017980
mola_mola ENSMMOG00000013862
labrus_bergylta ENSLBEG00000025299
hippocampus_comes ENSHCOG00000018431
gadus_morhua ENSGMOG00000008834
esox_lucius ENSELUG00000005374
astyanax_mexicanus ENSAMXG00000032711
pygocentrus_nattereri ENSPNAG00000016438
ictalurus_punctatus ENSIPUG00000002904
danio_rerio ENSDARG00000052426
paramormyrops_kingsleyae ENSPKIG00000015346
lepisosteus_oculatus ENSLOCG00000008136
