danio_rerio ENSDARG00000109022
eptatretus_burgeri ENSEBUG00000005074
ornithorhynchus_anatinus ENSOANG00000028851
pygocentrus_nattereri ENSPNAG00000027489
astyanax_mexicanus ENSAMXG00000006938
ictalurus_punctatus ENSIPUG00000004634
lepisosteus_oculatus ENSLOCG00000012656
hippocampus_comes ENSHCOG00000017522
periophthalmus_magnuspinnatus ENSPMGG00000016265
monopterus_albus ENSMALG00000011932
anabas_testudineus ENSATEG00000019788
seriola_dumerili ENSSDUG00000019124
seriola_lalandi_dorsalis ENSSLDG00000011844
poecilia_formosa ENSPFOG00000019798
poecilia_mexicana ENSPMEG00000008627
poecilia_latipinna ENSPLAG00000022553
poecilia_reticulata ENSPREG00000013539
gambusia_affinis ENSGAFG00000009630
xiphophorus_maculatus ENSXMAG00000001567
fundulus_heteroclitus ENSFHEG00000020484
kryptolebias_marmoratus ENSKMAG00000006784
oryzias_latipes_asm223469v1 ENSORLG00015005176
oryzias_latipes ENSORLG00020017937
oryzias_latipes ENSORLG00000007897
oryzias_melastigma ENSOMEG00000002766
amphiprion_percula ENSAPEG00000012274
amphiprion_ocellaris ENSAOCG00000002937
acanthochromis_polyacanthus ENSAPOG00000013382
stegastes_partitus ENSSPAG00000006039
haplochromis_burtoni ENSHBUG00000018869
pundamilia_nyererei ENSPNYG00000008394
astatotilapia_calliptera ENSACLG00000015123
maylandia_zebra ENSMZEG00005018480
neolamprologus_brichardi ENSNBRG00000004265
oreochromis_niloticus ENSONIG00000014001
amphilophus_citrinellus ENSACIG00000015557
scophthalmus_maximus ENSSMAG00000002311
cynoglossus_semilaevis ENSCSEG00000015544
cyprinodon_variegatus ENSCVAG00000021212
mastacembelus_armatus ENSMAMG00000011715
takifugu_rubripes ENSTRUG00000013416
tetraodon_nigroviridis ENSTNIG00000009058
mola_mola ENSMMOG00000009379
labrus_bergylta ENSLBEG00000017858
gasterosteus_aculeatus ENSGACG00000016889
gadus_morhua ENSGMOG00000014189
esox_lucius ENSELUG00000022635
scleropages_formosus ENSSFOG00015020571
paramormyrops_kingsleyae ENSPKIG00000019441
gallus_gallus ENSGALG00000003708
coturnix_japonica ENSCJPG00005007178
numida_meleagris ENSNMEG00000005588
anas_platyrhynchos_platyrhynchos ENSAPLG00000010164
anser_brachyrhynchus ENSABRG00000005828
calidris_pugnax ENSCPUG00000005931
calidris_pygmaea ENSCPGG00000004109
melopsittacus_undulatus ENSMUNG00000014236
lepidothrix_coronata ENSLCOG00000011335
manacus_vitellinus ENSMVIG00005008759
lonchura_striata_domestica ENSLSDG00000009373
taeniopygia_guttata ENSTGUG00000002097
zonotrichia_albicollis ENSZALG00000008248
parus_major ENSPMJG00000015811
cyanistes_caeruleus ENSCCEG00000011422
ficedula_albicollis ENSFALG00000002047
apteryx_owenii ENSAOWG00000008623
apteryx_rowi ENSARWG00000011480
apteryx_haastii ENSAHAG00000008070
dromaius_novaehollandiae ENSDNVG00000012904
nothoprocta_perdicaria ENSNPEG00000001734
meleagris_gallopavo ENSMGAG00000003362
crocodylus_porosus ENSCPRG00005015897
gopherus_agassizii ENSGAGG00000002161
chelonoidis_abingdonii ENSCABG00000020552
pelodiscus_sinensis ENSPSIG00000007222
anolis_carolinensis ENSACAG00000009770
pogona_vitticeps ENSPVIG00000011024
notechis_scutatus ENSNSUG00000016469
salvator_merianae ENSSMRG00000018860
sphenodon_punctatus ENSSPUG00000007003
phascolarctos_cinereus ENSPCIG00000024967
notamacropus_eugenii ENSMEUG00000008026
sarcophilus_harrisii ENSSHAG00000006685
monodelphis_domestica ENSMODG00000020335
pteropus_vampyrus ENSPVAG00000004106
myotis_lucifugus ENSMLUG00000004998
equus_caballus ENSECAG00000037284
equus_asinus_asinus ENSEASG00005013976
bos_taurus ENSBTAG00000033095
bos_mutus ENSBMUG00000007434
bison_bison_bison ENSBBBG00000024014
ovis_aries ENSOARG00000010187
capra_hircus ENSCHIG00000012219
tursiops_truncatus ENSTTRG00000001159
sus_scrofa ENSSSCG00000016846
vicugna_pacos ENSVPAG00000004382
canis_lupus_familiaris ENSCAFG00000018675
canis_lupus_dingo ENSCAFG00020012697
vulpes_vulpes ENSVVUG00000002727
mustela_putorius_furo ENSMPUG00000014890
neovison_vison ENSNVIG00000000460
ursus_maritimus ENSUMAG00000008288
panthera_pardus ENSPPRG00000004068
panthera_tigris_altaica ENSPTIG00000003961
felis_catus ENSFCAG00000010442
dasypus_novemcinctus ENSDNOG00000041272
choloepus_hoffmanni ENSCHOG00000011045
loxodonta_africana ENSLAFG00000012469
pan_paniscus ENSPPAG00000000687
carlito_syrichta ENSTSYG00000035125
mus_spicilegus ENSMSIG00000002820
meriones_unguiculatus ENSMUGG00000021564
ursus_americanus ENSUAMG00000002485
vulpes_vulpes ENSVVUG00000002744
procavia_capensis ENSPCAG00000008027
tupaia_belangeri ENSTBEG00000003731
erinaceus_europaeus ENSEEUG00000008808
echinops_telfairi ENSETEG00000000955
mus_spicilegus ENSMSIG00000024501
meriones_unguiculatus ENSMUGG00000024094
jaculus_jaculus ENSJJAG00000000410
pan_paniscus ENSPPAG00000036064
ailuropoda_melanoleuca ENSAMEG00000015068
ursus_americanus ENSUAMG00000017196
microtus_ochrogaster ENSMOCG00000000693
peromyscus_maniculatus_bairdii ENSPEMG00000008794
cricetulus_griseus_crigri-picr ENSCGRG00015017933
cricetulus_griseus_chok1gshd ENSCGRG00001024618
cricetulus_griseus_crigri ENSCGRG00000001456
mesocricetus_auratus ENSMAUG00000007958
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020544
mus_musculus ENSMUSG00000039828
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019647
mus_pahari MGP_PahariEiJ_G0016028
rattus_norvegicus ENSRNOG00000013336
nannospalax_galili ENSNGAG00000013618
urocitellus_parryii ENSUPAG00010013979
ictidomys_tridecemlineatus ENSSTOG00000005031
spermophilus_dauricus ENSSDAG00000014442
marmota_marmota_marmota ENSMMMG00000002008
dipodomys_ordii ENSDORG00000008417
heterocephalus_glaber_male ENSHGLG00100002790
heterocephalus_glaber_female ENSHGLG00000007995
fukomys_damarensis ENSFDAG00000021476
