mastacembelus_armatus ENSMAMG00000019364
anabas_testudineus ENSATEG00000022829
seriola_dumerili ENSSDUG00000003781
scophthalmus_maximus ENSSMAG00000005589
poecilia_formosa ENSPFOG00000014026
tetraodon_nigroviridis ENSTNIG00000004201
takifugu_rubripes ENSTRUG00000001672
labrus_bergylta ENSLBEG00000002272
cyprinodon_variegatus ENSCVAG00000020603
fundulus_heteroclitus ENSFHEG00000010677
poecilia_formosa ENSPFOG00000014034
poecilia_formosa ENSPFOG00000014030
amphiprion_percula ENSAPEG00000013417
amphiprion_ocellaris ENSAOCG00000018536
amphiprion_ocellaris ENSAOCG00000018517
amphiprion_percula ENSAPEG00000013437
amphiprion_percula ENSAPEG00000013384
amphiprion_ocellaris ENSAOCG00000018555
amphiprion_percula ENSAPEG00000013407
stegastes_partitus ENSSPAG00000022381
haplochromis_burtoni ENSHBUG00000018078
pundamilia_nyererei ENSPNYG00000020706
neolamprologus_brichardi ENSNBRG00000009667
pundamilia_nyererei ENSPNYG00000020662
haplochromis_burtoni ENSHBUG00000018056
oreochromis_niloticus ENSONIG00000020202
amphilophus_citrinellus ENSACIG00000003778
gasterosteus_aculeatus ENSGACG00000012137
gasterosteus_aculeatus ENSGACG00000012133
oreochromis_niloticus ENSONIG00000020037
esox_lucius ENSELUG00000011187
esox_lucius ENSELUG00000016458
esox_lucius ENSELUG00000008028
pygocentrus_nattereri ENSPNAG00000016651
pygocentrus_nattereri ENSPNAG00000013586
pygocentrus_nattereri ENSPNAG00000003015
pygocentrus_nattereri ENSPNAG00000022773
astyanax_mexicanus ENSAMXG00000031529
astyanax_mexicanus ENSAMXG00000019564
astyanax_mexicanus ENSAMXG00000043239
astyanax_mexicanus ENSAMXG00000042199
astyanax_mexicanus ENSAMXG00000035725
astyanax_mexicanus ENSAMXG00000043408
pygocentrus_nattereri ENSPNAG00000013240
pygocentrus_nattereri ENSPNAG00000027132
pygocentrus_nattereri ENSPNAG00000013968
pygocentrus_nattereri ENSPNAG00000005787
astyanax_mexicanus ENSAMXG00000035209
astyanax_mexicanus ENSAMXG00000007012
astyanax_mexicanus ENSAMXG00000042597
pygocentrus_nattereri ENSPNAG00000003006
astyanax_mexicanus ENSAMXG00000035005
ictalurus_punctatus ENSIPUG00000018048
danio_rerio ENSDARG00000091972
danio_rerio ENSDARG00000093350
danio_rerio ENSDARG00000094489
danio_rerio ENSDARG00000092680
danio_rerio ENSDARG00000095026
danio_rerio ENSDARG00000093621
danio_rerio ENSDARG00000092228
danio_rerio ENSDARG00000092602
ictalurus_punctatus ENSIPUG00000021601
danio_rerio ENSDARG00000093960
lepisosteus_oculatus ENSLOCG00000001178
lepisosteus_oculatus ENSLOCG00000001147
lepisosteus_oculatus ENSLOCG00000001265
