takifugu_rubripes ENSTRUG00000021481
tetraodon_nigroviridis ENSTNIG00000012890
labrus_bergylta ENSLBEG00000026106
oryzias_latipes ENSORLG00020005032
oryzias_melastigma ENSOMEG00000006782
poecilia_formosa ENSPFOG00000002037
poecilia_latipinna ENSPLAG00000011812
poecilia_mexicana ENSPMEG00000008412
poecilia_reticulata ENSPREG00000015438
xiphophorus_maculatus ENSXMAG00000003842
xiphophorus_couchianus ENSXCOG00000003232
gambusia_affinis ENSGAFG00000007504
amphiprion_ocellaris ENSAOCG00000011501
acanthochromis_polyacanthus ENSAPOG00000015849
neolamprologus_brichardi ENSNBRG00000020001
hippocampus_comes ENSHCOG00000002782
anabas_testudineus ENSATEG00000012428
mastacembelus_armatus ENSMAMG00000006561
cynoglossus_semilaevis ENSCSEG00000000619
lepisosteus_oculatus ENSLOCG00000008693
