gorilla_gorilla ENSGGOG00000012948
homo_sapiens ENSG00000156269
theropithecus_gelada ENSTGEG00000011827
chlorocebus_sabaeus ENSCSAG00000000417
macaca_nemestrina ENSMNEG00000037816
macaca_nemestrina ENSMNEG00000005524
macaca_mulatta ENSMMUG00000021988
rhinopithecus_bieti ENSRBIG00000026628
rhinopithecus_roxellana ENSRROG00000028403
piliocolobus_tephrosceles ENSPTEG00000023304
pan_paniscus ENSPPAG00000039906
pan_troglodytes ENSPTRG00000016205
nomascus_leucogenys ENSNLEG00000008443
papio_anubis ENSPANG00000003252
macaca_fascicularis ENSMFAG00000000164
callithrix_jacchus ENSCJAG00000023110
otolemur_garnettii ENSOGAG00000016917
heterocephalus_glaber_male ENSHGLG00100007552
heterocephalus_glaber_female ENSHGLG00000004240
fukomys_damarensis ENSFDAG00000015772
cavia_porcellus ENSCPOG00000019924
chinchilla_lanigera ENSCLAG00000004971
ictidomys_tridecemlineatus ENSSTOG00000025010
castor_canadensis ENSCCNG00000003286
nannospalax_galili ENSNGAG00000007224
meriones_unguiculatus ENSMUGG00000020975
jaculus_jaculus ENSJJAG00000018912
oryctolagus_cuniculus ENSOCUG00000010102
capra_hircus ENSCHIG00000009560
ovis_aries ENSOARG00000007829
bos_taurus ENSBTAG00000013149
bos_mutus ENSBMUG00000014737
bison_bison_bison ENSBBBG00000000439
sus_scrofa ENSSSCG00000009258
panthera_tigris_altaica ENSPTIG00000005597
panthera_pardus ENSPPRG00000017693
ursus_americanus ENSUAMG00000020134
