macaca_mulatta ENSMMUG00000041947
theropithecus_gelada ENSTGEG00000028063
piliocolobus_tephrosceles ENSPTEG00000003943
prolemur_simus ENSPSMG00000023811
fukomys_damarensis ENSFDAG00000015226
octodon_degus ENSODEG00000004035
cavia_aperea ENSCAPG00000007359
cavia_porcellus ENSCPOG00000031135
chinchilla_lanigera ENSCLAG00000014886
marmota_marmota_marmota ENSMMMG00000001275
spermophilus_dauricus ENSSDAG00000004347
ictidomys_tridecemlineatus ENSSTOG00000025629
urocitellus_parryii ENSUPAG00010023840
mus_musculus ENSMUSG00000091174
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033087
mus_spicilegus ENSMSIG00000015784
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031963
mus_pahari MGP_PahariEiJ_G0014828
rattus_norvegicus ENSRNOG00000049218
meriones_unguiculatus ENSMUGG00000026188
cricetulus_griseus_crigri-picr ENSCGRG00015008502
cricetulus_griseus_crigri ENSCGRG00000009836
cricetulus_griseus_chok1gshd ENSCGRG00001007452
mesocricetus_auratus ENSMAUG00000013473
microtus_ochrogaster ENSMOCG00000000729
peromyscus_maniculatus_bairdii ENSPEMG00000011339
nannospalax_galili ENSNGAG00000008596
jaculus_jaculus ENSJJAG00000008956
castor_canadensis ENSCCNG00000008381
dipodomys_ordii ENSDORG00000025642
capra_hircus ENSCHIG00000022868
ovis_aries ENSOARG00000011807
bos_taurus ENSBTAG00000049707
bos_mutus ENSBMUG00000026423
bison_bison_bison ENSBBBG00000011030
sus_scrofa ENSSSCG00000037332
equus_caballus ENSECAG00000030450
equus_asinus_asinus ENSEASG00005001821
ursus_maritimus ENSUMAG00000001738
ursus_americanus ENSUAMG00000010747
neovison_vison ENSNVIG00000020100
vulpes_vulpes ENSVVUG00000020180
canis_lupus_dingo ENSCAFG00020010671
panthera_pardus ENSPPRG00000006926
panthera_tigris_altaica ENSPTIG00000010870
dasypus_novemcinctus ENSDNOG00000047952
