papio_anubis ENSPANG00000022721
theropithecus_gelada ENSTGEG00000009204
colobus_angolensis ENSCANG00000040496
pan_troglodytes ENSPTRG00000052546
pan_paniscus ENSPPAG00000026210
pongo_abelii ENSPPYG00000019957
pongo_abelii ENSPPYG00000003760
homo_sapiens ENSG00000182053
pan_troglodytes ENSPTRG00000046260
gorilla_gorilla ENSGGOG00000040421
homo_sapiens ENSG00000204449
homo_sapiens ENSG00000168930
pan_troglodytes ENSPTRG00000046171
gorilla_gorilla ENSGGOG00000043221
nomascus_leucogenys ENSNLEG00000015860
aotus_nancymaae ENSANAG00000023802
carlito_syrichta ENSTSYG00000026062
microcebus_murinus ENSMICG00000013580
