poecilia_reticulata ENSPREG00000019387
fundulus_heteroclitus ENSFHEG00000018930
mastacembelus_armatus ENSMAMG00000004595
mola_mola ENSMMOG00000018034
amphilophus_citrinellus ENSACIG00000016669
oryzias_latipes_asm223469v1 ENSORLG00015010832
seriola_lalandi_dorsalis ENSSLDG00000007332
scophthalmus_maximus ENSSMAG00000017818
oryzias_latipes ENSORLG00020011482
oryzias_latipes_asm223469v1 ENSORLG00015000943
astatotilapia_calliptera ENSACLG00000021046
monopterus_albus ENSMALG00000009939
mola_mola ENSMMOG00000018003
scleropages_formosus ENSSFOG00015006571
mus_spicilegus ENSMSIG00000004897
marmota_marmota_marmota ENSMMMG00000010059
prolemur_simus ENSPSMG00000012795
tupaia_belangeri ENSTBEG00000006911
tupaia_belangeri ENSTBEG00000005739
notamacropus_eugenii ENSMEUG00000011199
phascolarctos_cinereus ENSPCIG00000006868
