piliocolobus_tephrosceles ENSPTEG00000028645
rhinopithecus_roxellana ENSRROG00000000690
macaca_fascicularis ENSMFAG00000008711
macaca_nemestrina ENSMNEG00000022631
macaca_mulatta ENSMMUG00000049079
papio_anubis ENSPANG00000030285
chlorocebus_sabaeus ENSCSAG00000016539
cercocebus_atys ENSCATG00000042637
mandrillus_leucophaeus ENSMLEG00000011167
chlorocebus_sabaeus ENSCSAG00000016533
macaca_fascicularis ENSMFAG00000008701
mandrillus_leucophaeus ENSMLEG00000027309
theropithecus_gelada ENSTGEG00000028057
cercocebus_atys ENSCATG00000042634
mandrillus_leucophaeus ENSMLEG00000005378
rhinopithecus_bieti ENSRBIG00000003062
pongo_abelii ENSPPYG00000029686
gorilla_gorilla ENSGGOG00000038247
nomascus_leucogenys ENSNLEG00000030611
homo_sapiens ENSG00000241566
homo_sapiens ENSG00000241294
pan_paniscus ENSPPAG00000031987
pan_troglodytes ENSPTRG00000044845
gorilla_gorilla ENSGGOG00000042746
nomascus_leucogenys ENSNLEG00000027731
pan_troglodytes ENSPTRG00000049020
pan_paniscus ENSPPAG00000032323
macaca_nemestrina ENSMNEG00000002035
theropithecus_gelada ENSTGEG00000028069
macaca_mulatta ENSMMUG00000048402
macaca_nemestrina ENSMNEG00000025274
macaca_fascicularis ENSMFAG00000008852
rhinopithecus_roxellana ENSRROG00000003748
rhinopithecus_bieti ENSRBIG00000021631
cercocebus_atys ENSCATG00000003649
mandrillus_leucophaeus ENSMLEG00000039876
papio_anubis ENSPANG00000000494
theropithecus_gelada ENSTGEG00000028264
callithrix_jacchus ENSCJAG00000044358
saimiri_boliviensis_boliviensis ENSSBOG00000006409
marmota_marmota_marmota ENSMMMG00000003688
sorex_araneus ENSSARG00000006342
