pelodiscus_sinensis ENSPSIG00000015363
anolis_carolinensis ENSACAG00000028027
chrysemys_picta_bellii ENSCPBG00000005038
gopherus_agassizii ENSGAGG00000003676
coturnix_japonica ENSCJPG00005010397
gallus_gallus ENSGALG00000054096
anser_brachyrhynchus ENSABRG00000005484
cyanistes_caeruleus ENSCCEG00000013729
monodelphis_domestica ENSMODG00000029484
monodelphis_domestica ENSMODG00000027805
gallus_gallus ENSGALG00000031869
coturnix_japonica ENSCJPG00005010396
ficedula_albicollis ENSFALG00000010225
gopherus_agassizii ENSGAGG00000014145
anolis_carolinensis ENSACAG00000020939
pogona_vitticeps ENSPVIG00000024104
sarcophilus_harrisii ENSSHAG00000009787
phascolarctos_cinereus ENSPCIG00000011774
mesocricetus_auratus ENSMAUG00000012632
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014723
spermophilus_dauricus ENSSDAG00000012784
chlorocebus_sabaeus ENSCSAG00000014645
sus_scrofa ENSSSCG00000031906
ovis_aries ENSOARG00000014234
latimeria_chalumnae ENSLACG00000014370
hippocampus_comes ENSHCOG00000005465
lepisosteus_oculatus ENSLOCG00000005569
monodelphis_domestica ENSMODG00000029349
petromyzon_marinus ENSPMAG00000007501
caenorhabditis_elegans_strain_n2 WBGene00016889
