canis_lupus_dingo ENSCAFG00020017878
vulpes_vulpes ENSVVUG00000017466
neovison_vison ENSNVIG00000001330
capra_hircus ENSCHIG00000012069
cercocebus_atys ENSCATG00000021895
theropithecus_gelada ENSTGEG00000020319
papio_anubis ENSPANG00000034041
macaca_nemestrina ENSMNEG00000005396
macaca_fascicularis ENSMFAG00000019706
macaca_mulatta ENSMMUG00000049118
piliocolobus_tephrosceles ENSPTEG00000020680
rhinopithecus_roxellana ENSRROG00000034022
nomascus_leucogenys ENSNLEG00000033401
callithrix_jacchus ENSCJAG00000047585
castor_canadensis ENSCCNG00000002867
