amphilophus_citrinellus ENSACIG00000021952
neolamprologus_brichardi ENSNBRG00000003875
poecilia_latipinna ENSPLAG00000003696
maylandia_zebra ENSMZEG00005017854
maylandia_zebra ENSMZEG00005017857
haplochromis_burtoni ENSHBUG00000004441
neolamprologus_brichardi ENSNBRG00000020317
kryptolebias_marmoratus ENSKMAG00000009664
cyprinodon_variegatus ENSCVAG00000002466
oryzias_melastigma ENSOMEG00000022272
seriola_lalandi_dorsalis ENSSLDG00000000162
labrus_bergylta ENSLBEG00000014267
labrus_bergylta ENSLBEG00000007942
