haplochromis_burtoni ENSHBUG00000010974
maylandia_zebra ENSMZEG00005010964
astatotilapia_calliptera ENSACLG00000026978
pundamilia_nyererei ENSPNYG00000021829
neolamprologus_brichardi ENSNBRG00000016570
oreochromis_niloticus ENSONIG00000019224
amphilophus_citrinellus ENSACIG00000015173
kryptolebias_marmoratus ENSKMAG00000017572
amphiprion_ocellaris ENSAOCG00000024353
amphiprion_ocellaris ENSAOCG00000003578
amphiprion_percula ENSAPEG00000023401
acanthochromis_polyacanthus ENSAPOG00000016124
stegastes_partitus ENSSPAG00000008309
poecilia_formosa ENSPFOG00000016141
poecilia_mexicana ENSPMEG00000001803
poecilia_latipinna ENSPLAG00000017641
poecilia_reticulata ENSPREG00000013501
gambusia_affinis ENSGAFG00000016386
xiphophorus_maculatus ENSXMAG00000006297
fundulus_heteroclitus ENSFHEG00000013747
cyprinodon_variegatus ENSCVAG00000005160
takifugu_rubripes ENSTRUG00000019974
tetraodon_nigroviridis ENSTNIG00000007151
mola_mola ENSMMOG00000014435
mastacembelus_armatus ENSMAMG00000007600
labrus_bergylta ENSLBEG00000001113
gasterosteus_aculeatus ENSGACG00000003869
seriola_lalandi_dorsalis ENSSLDG00000000574
seriola_dumerili ENSSDUG00000000474
scophthalmus_maximus ENSSMAG00000003712
anabas_testudineus ENSATEG00000008536
monopterus_albus ENSMALG00000014072
oryzias_latipes ENSORLG00000025839
oryzias_latipes ENSORLG00020001840
oryzias_latipes_asm223469v1 ENSORLG00015020918
oryzias_melastigma ENSOMEG00000001572
hippocampus_comes ENSHCOG00000006197
gadus_morhua ENSGMOG00000007588
esox_lucius ENSELUG00000023997
periophthalmus_magnuspinnatus ENSPMGG00000015564
ictalurus_punctatus ENSIPUG00000001275
ictalurus_punctatus ENSIPUG00000002136
pygocentrus_nattereri ENSPNAG00000022755
pygocentrus_nattereri ENSPNAG00000027135
danio_rerio ENSDARG00000038635
paramormyrops_kingsleyae ENSPKIG00000011331
scleropages_formosus ENSSFOG00015022407
lepisosteus_oculatus ENSLOCG00000006104
paramormyrops_kingsleyae ENSPKIG00000004978
scleropages_formosus ENSSFOG00015013770
cynoglossus_semilaevis ENSCSEG00000000761
phascolarctos_cinereus ENSPCIG00000031889
phascolarctos_cinereus ENSPCIG00000008524
phascolarctos_cinereus ENSPCIG00000030873
notamacropus_eugenii ENSMEUG00000001782
sarcophilus_harrisii ENSSHAG00000007057
monodelphis_domestica ENSMODG00000000462
dipodomys_ordii ENSDORG00000008364
apteryx_haastii ENSAHAG00000005458
apteryx_owenii ENSAOWG00000003817
apteryx_rowi ENSARWG00000017115
dromaius_novaehollandiae ENSDNVG00000012104
nothoprocta_perdicaria ENSNPEG00000015457
anas_platyrhynchos_platyrhynchos ENSAPLG00000009324
anser_brachyrhynchus ENSABRG00000003214
meleagris_gallopavo ENSMGAG00000011276
coturnix_japonica ENSCJPG00005012191
gallus_gallus ENSGALG00000010689
numida_meleagris ENSNMEG00000022481
lonchura_striata_domestica ENSLSDG00000013057
taeniopygia_guttata ENSTGUG00000009203
junco_hyemalis ENSJHYG00000000032
zonotrichia_albicollis ENSZALG00000003453
serinus_canaria ENSSCAG00000005932
ficedula_albicollis ENSFALG00000005749
parus_major ENSPMJG00000001348
cyanistes_caeruleus ENSCCEG00000008943
lepidothrix_coronata ENSLCOG00000002749
manacus_vitellinus ENSMVIG00005009556
calidris_pugnax ENSCPUG00000011709
calidris_pygmaea ENSCPGG00000013587
melopsittacus_undulatus ENSMUNG00000011917
crocodylus_porosus ENSCPRG00005002795
gopherus_agassizii ENSGAGG00000022747
chelonoidis_abingdonii ENSCABG00000016890
chrysemys_picta_bellii ENSCPBG00000000544
pelodiscus_sinensis ENSPSIG00000005771
anolis_carolinensis ENSACAG00000008778
pogona_vitticeps ENSPVIG00000008950
notechis_scutatus ENSNSUG00000018330
salvator_merianae ENSSMRG00000017442
sphenodon_punctatus ENSSPUG00000013641
oryctolagus_cuniculus ENSOCUG00000001880
ochotona_princeps ENSOPRG00000009020
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027225
mus_musculus ENSMUSG00000028609
mus_spicilegus ENSMSIG00000008445
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026256
mus_pahari MGP_PahariEiJ_G0028589
rattus_norvegicus ENSRNOG00000012778
meriones_unguiculatus ENSMUGG00000015026
microtus_ochrogaster ENSMOCG00000015374
microtus_ochrogaster ENSMOCG00000016797
peromyscus_maniculatus_bairdii ENSPEMG00000021740
cricetulus_griseus_crigri-picr ENSCGRG00015006450
cricetulus_griseus_crigri ENSCGRG00000003807
cricetulus_griseus_chok1gshd ENSCGRG00001020438
cricetulus_griseus_crigri ENSCGRG00000003264
mesocricetus_auratus ENSMAUG00000016008
nannospalax_galili ENSNGAG00000013092
nannospalax_galili ENSNGAG00000012775
tupaia_belangeri ENSTBEG00000011611
sorex_araneus ENSSARG00000012081
jaculus_jaculus ENSJJAG00000014331
castor_canadensis ENSCCNG00000026677
dipodomys_ordii ENSDORG00000015654
cricetulus_griseus_chok1gshd ENSCGRG00001019242
cricetulus_griseus_crigri-picr ENSCGRG00015028722
peromyscus_maniculatus_bairdii ENSPEMG00000029678
fukomys_damarensis ENSFDAG00000011546
fukomys_damarensis ENSFDAG00000016754
heterocephalus_glaber_female ENSHGLG00000001648
heterocephalus_glaber_male ENSHGLG00100005242
heterocephalus_glaber_male ENSHGLG00100005883
heterocephalus_glaber_female ENSHGLG00000018070
chinchilla_lanigera ENSCLAG00000008005
chinchilla_lanigera ENSCLAG00000012835
cavia_porcellus ENSCPOG00000034139
cavia_aperea ENSCAPG00000012995
octodon_degus ENSODEG00000006732
chinchilla_lanigera ENSCLAG00000000252
spermophilus_dauricus ENSSDAG00000003755
ictidomys_tridecemlineatus ENSSTOG00000001253
urocitellus_parryii ENSUPAG00010021633
marmota_marmota_marmota ENSMMMG00000016002
theropithecus_gelada ENSTGEG00000011892
sus_scrofa ENSSSCG00000003849
sus_scrofa ENSSSCG00000032258
erinaceus_europaeus ENSEEUG00000015908
bos_taurus ENSBTAG00000052116
bison_bison_bison ENSBBBG00000011562
myotis_lucifugus ENSMLUG00000002444
microcebus_murinus ENSMICG00000006406
microcebus_murinus ENSMICG00000037080
prolemur_simus ENSPSMG00000018120
propithecus_coquereli ENSPCOG00000003826
saimiri_boliviensis_boliviensis ENSSBOG00000022713
cebus_capucinus ENSCCAG00000033720
callithrix_jacchus ENSCJAG00000042378
aotus_nancymaae ENSANAG00000026226
pan_paniscus ENSPPAG00000029996
pan_troglodytes ENSPTRG00000000753
homo_sapiens ENSG00000162385
gorilla_gorilla ENSGGOG00000007594
pongo_abelii ENSPPYG00000001335
nomascus_leucogenys ENSNLEG00000017987
macaca_mulatta ENSMMUG00000007611
macaca_nemestrina ENSMNEG00000031942
macaca_fascicularis ENSMFAG00000032145
mandrillus_leucophaeus ENSMLEG00000042925
theropithecus_gelada ENSTGEG00000006456
papio_anubis ENSPANG00000035635
cercocebus_atys ENSCATG00000015443
chlorocebus_sabaeus ENSCSAG00000001289
rhinopithecus_bieti ENSRBIG00000041176
rhinopithecus_roxellana ENSRROG00000030236
piliocolobus_tephrosceles ENSPTEG00000024704
colobus_angolensis_palliatus ENSCANG00000034776
pan_troglodytes ENSPTRG00000047059
pan_paniscus ENSPPAG00000041377
gorilla_gorilla ENSGGOG00000038484
nomascus_leucogenys ENSNLEG00000032520
mandrillus_leucophaeus ENSMLEG00000039739
papio_anubis ENSPANG00000033280
macaca_mulatta ENSMMUG00000043117
