ursus_maritimus ENSUMAG00000013433
ailuropoda_melanoleuca ENSAMEG00000000482
neovison_vison ENSNVIG00000022323
mustela_putorius ENSMPUG00000014543
canis_lupus ENSCAFG00020000449
canis_lupus ENSCAFG00000010352
vulpes_vulpes ENSVVUG00000026652
panthera_pardus ENSPPRG00000011400
panthera_tigris ENSPTIG00000011453
felis_catus ENSFCAG00000012212
myotis_lucifugus ENSMLUG00000010434
pteropus_vampyrus ENSPVAG00000014414
equus_asinus ENSEASG00005008012
equus_caballus ENSECAG00000016368
sus_scrofa ENSSSCG00000034506
vicugna_pacos ENSVPAG00000001679
ovis_aries ENSOARG00000012742
capra_hircus ENSCHIG00000025756
bos_indicus ENSBIXG00000006672
bos_indicus ENSBIXG00005026393
bos_taurus ENSBTAG00000020096
bos_mutus ENSBMUG00000001702
bison_bison ENSBBBG00000005485
tursiops_truncatus ENSTTRG00000009454
erinaceus_europaeus ENSEEUG00000003476
pan_paniscus ENSPPAG00000041001
pan_troglodytes ENSPTRG00000003708
gorilla_gorilla ENSGGOG00000023023
homo_sapiens ENSG00000149534
pongo_abelii ENSPPYG00000004102
pongo_abelii ENSPPYG00000003220
nomascus_leucogenys ENSNLEG00000032910
macaca_fascicularis ENSMFAG00000003024
macaca_mulatta ENSMMUG00000059299
macaca_nemestrina ENSMNEG00000035960
mandrillus_leucophaeus ENSMLEG00000035244
cercocebus_atys ENSCATG00000029580
theropithecus_gelada ENSTGEG00000019870
papio_anubis ENSPANG00000013725
chlorocebus_sabaeus ENSCSAG00000006158
rhinopithecus_roxellana ENSRROG00000040644
rhinopithecus_bieti ENSRBIG00000036955
piliocolobus_tephrosceles ENSPTEG00000028697
colobus_angolensis ENSCANG00000012508
cebus_capucinus ENSCCAG00000037520
callithrix_jacchus ENSCJAG00000016336
saimiri_boliviensis ENSSBOG00000004477
aotus_nancymaae ENSANAG00000000031
carlito_syrichta ENSTSYG00000002762
propithecus_coquereli ENSPCOG00000006127
prolemur_simus ENSPSMG00000020575
microcebus_murinus ENSMICG00000031785
otolemur_garnettii ENSOGAG00000010155
tupaia_belangeri ENSTBEG00000017720
mus_spretus MGP_SPRETEiJ_G0023642
mus_musculus ENSMUSG00000024680
mus_spicilegus ENSMSIG00000030639
mus_caroli MGP_CAROLIEiJ_G0022725
mus_pahari MGP_PahariEiJ_G0014221
rattus_norvegicus ENSRNOG00000020993
meriones_unguiculatus ENSMUGG00000022328
peromyscus_maniculatus ENSPEMG00000009344
microtus_ochrogaster ENSMOCG00000009235
cricetulus_griseus ENSCGRG00015007006
cricetulus_griseus ENSCGRG00000003216
mesocricetus_auratus ENSMAUG00000011331
nannospalax_galili ENSNGAG00000007538
jaculus_jaculus ENSJJAG00000017830
castor_canadensis ENSCCNG00000015475
dipodomys_ordii ENSDORG00000008777
urocitellus_parryii ENSUPAG00010001114
ictidomys_tridecemlineatus ENSSTOG00000007813
spermophilus_dauricus ENSSDAG00000009222
marmota_marmota ENSMMMG00000000557
chinchilla_lanigera ENSCLAG00000004433
octodon_degus ENSODEG00000001730
cavia_porcellus ENSCPOG00000035892
cavia_aperea ENSCAPG00000012922
heterocephalus_glaber ENSHGLG00100015053
heterocephalus_glaber ENSHGLG00000007608
fukomys_damarensis ENSFDAG00000007619
oryctolagus_cuniculus ENSOCUG00000009077
ochotona_princeps ENSOPRG00000005931
procavia_capensis ENSPCAG00000006162
echinops_telfairi ENSETEG00000007722
choloepus_hoffmanni ENSCHOG00000008878
mustela_putorius ENSMPUG00000014537
phascolarctos_cinereus ENSPCIG00000008614
vombatus_ursinus ENSVURG00010014204
sarcophilus_harrisii ENSSHAG00000005095
monodelphis_domestica ENSMODG00000020216
