clupea_harengus ENSCHAG00000014442
denticeps_clupeoides ENSDCDG00000035532
astyanax_mexicanus ENSAMXG00000001531
astyanax_mexicanus ENSAMXG00005018652
pygocentrus_nattereri ENSPNAG00000025069
electrophorus_electricus ENSEEEG00000011984
ictalurus_punctatus ENSIPUG00000024615
danio_rerio ENSDARG00000102538
poecilia_formosa ENSPFOG00000019171
poecilia_latipinna ENSPLAG00000022735
poecilia_mexicana ENSPMEG00000000664
poecilia_reticulata ENSPREG00000022680
xiphophorus_maculatus ENSXMAG00000000611
xiphophorus_couchianus ENSXCOG00000008181
gambusia_affinis ENSGAFG00000010643
fundulus_heteroclitus ENSFHEG00000003581
cyprinodon_variegatus ENSCVAG00000014160
oryzias_latipes ENSORLG00000011678
oryzias_latipes ENSORLG00020005680
oryzias_latipes ENSORLG00015003526
oryzias_melastigma ENSOMEG00000011470
kryptolebias_marmoratus ENSKMAG00000008763
gouania_willdenowi ENSGWIG00000012874
amphiprion_ocellaris ENSAOCG00000018137
amphiprion_percula ENSAPEG00000014712
acanthochromis_polyacanthus ENSAPOG00000015283
stegastes_partitus ENSSPAG00000011206
parambassis_ranga ENSPRNG00000022081
maylandia_zebra ENSMZEG00005015532
astatotilapia_calliptera ENSACLG00000026110
pundamilia_nyererei ENSPNYG00000014255
haplochromis_burtoni ENSHBUG00000000956
oreochromis_niloticus ENSONIG00000008395
amphilophus_citrinellus ENSACIG00000023146
seriola_lalandi ENSSLDG00000018498
seriola_dumerili ENSSDUG00000016424
lates_calcarifer ENSLCAG00010021918
scophthalmus_maximus ENSSMAG00000019667
cynoglossus_semilaevis ENSCSEG00000019501
cottoperca_gobio ENSCGOG00000004793
gasterosteus_aculeatus ENSGACG00000006125
larimichthys_crocea ENSLCRG00005015122
takifugu_rubripes ENSTRUG00000003436
tetraodon_nigroviridis ENSTNIG00000006778
mola_mola ENSMMOG00000001579
labrus_bergylta ENSLBEG00000001741
mastacembelus_armatus ENSMAMG00000012532
monopterus_albus ENSMALG00000019767
anabas_testudineus ENSATEG00000022375
betta_splendens ENSBSLG00000002699
hippocampus_comes ENSHCOG00000010503
periophthalmus_magnuspinnatus ENSPMGG00000000155
gadus_morhua ENSGMOG00000008521
hucho_hucho ENSHHUG00000031545
hucho_hucho ENSHHUG00000046781
esox_lucius ENSELUG00000010299
scleropages_formosus ENSSFOG00015007784
paramormyrops_kingsleyae ENSPKIG00000022682
lepisosteus_oculatus ENSLOCG00000000778
erpetoichthys_calabaricus ENSECRG00000012124
latimeria_chalumnae ENSLACG00000018119
callorhinchus_milii ENSCMIG00000014137
vicugna_pacos ENSVPAG00000011551
sus_scrofa ENSSSCG00000025942
bos_indicus ENSBIXG00000024086
bos_indicus ENSBIXG00005019762
bos_taurus ENSBTAG00000006548
bos_mutus ENSBMUG00000017803
bison_bison ENSBBBG00000015686
ovis_aries ENSOARG00000020660
capra_hircus ENSCHIG00000025794
tursiops_truncatus ENSTTRG00000016518
neovison_vison ENSNVIG00000016260
mustela_putorius ENSMPUG00000002371
ursus_maritimus ENSUMAG00000006927
ursus_americanus ENSUAMG00000008378
ailuropoda_melanoleuca ENSAMEG00000015967
canis_lupus ENSCAFG00020001000
canis_lupus ENSCAFG00000011749
vulpes_vulpes ENSVVUG00000006835
panthera_pardus ENSPPRG00000000127
panthera_tigris ENSPTIG00000018514
felis_catus ENSFCAG00000000940
pteropus_vampyrus ENSPVAG00000013436
myotis_lucifugus ENSMLUG00000012257
equus_caballus ENSECAG00000008214
equus_asinus ENSEASG00005015339
erinaceus_europaeus ENSEEUG00000011233
sorex_araneus ENSSARG00000005914
castor_canadensis ENSCCNG00000013369
dipodomys_ordii ENSDORG00000000473
mus_spretus MGP_SPRETEiJ_G0025866
mus_spicilegus ENSMSIG00000027328
mus_musculus ENSMUSG00000027709
mus_caroli MGP_CAROLIEiJ_G0024932
rattus_norvegicus ENSRNOG00000013293
meriones_unguiculatus ENSMUGG00000013253
peromyscus_maniculatus ENSPEMG00000014164
microtus_ochrogaster ENSMOCG00000003671
cricetulus_griseus ENSCGRG00000002616
cricetulus_griseus ENSCGRG00001012469
cricetulus_griseus ENSCGRG00015026612
mesocricetus_auratus ENSMAUG00000018926
nannospalax_galili ENSNGAG00000001216
jaculus_jaculus ENSJJAG00000003543
heterocephalus_glaber ENSHGLG00100015295
heterocephalus_glaber ENSHGLG00000014650
fukomys_damarensis ENSFDAG00000009183
octodon_degus ENSODEG00000012286
chinchilla_lanigera ENSCLAG00000014174
cavia_porcellus ENSCPOG00000010866
cavia_aperea ENSCAPG00000012269
ictidomys_tridecemlineatus ENSSTOG00000010361
urocitellus_parryii ENSUPAG00010022499
spermophilus_dauricus ENSSDAG00000022005
marmota_marmota ENSMMMG00000002969
oryctolagus_cuniculus ENSOCUG00000012393
ochotona_princeps ENSOPRG00000007258
pan_paniscus ENSPPAG00000036167
pan_troglodytes ENSPTRG00000015662
homo_sapiens ENSG00000078070
gorilla_gorilla ENSGGOG00000002784
nomascus_leucogenys ENSNLEG00000005989
pongo_abelii ENSPPYG00000014331
cercocebus_atys ENSCATG00000037699
mandrillus_leucophaeus ENSMLEG00000039351
papio_anubis ENSPANG00000006870
macaca_fascicularis ENSMFAG00000000043
macaca_mulatta ENSMMUG00000010553
macaca_nemestrina ENSMNEG00000017163
theropithecus_gelada ENSTGEG00000024690
chlorocebus_sabaeus ENSCSAG00000013226
piliocolobus_tephrosceles ENSPTEG00000028219
colobus_angolensis ENSCANG00000037917
rhinopithecus_bieti ENSRBIG00000038726
rhinopithecus_roxellana ENSRROG00000041247
aotus_nancymaae ENSANAG00000028235
cebus_capucinus ENSCCAG00000033701
callithrix_jacchus ENSCJAG00000005103
cebus_capucinus ENSCCAG00000023260
saimiri_boliviensis ENSSBOG00000026219
carlito_syrichta ENSTSYG00000012606
propithecus_coquereli ENSPCOG00000020095
microcebus_murinus ENSMICG00000048884
prolemur_simus ENSPSMG00000002503
otolemur_garnettii ENSOGAG00000000659
tupaia_belangeri ENSTBEG00000007988
procavia_capensis ENSPCAG00000003195
myotis_lucifugus ENSMLUG00000030238
dasypus_novemcinctus ENSDNOG00000012070
choloepus_hoffmanni ENSCHOG00000007104
loxodonta_africana ENSLAFG00000018018
echinops_telfairi ENSETEG00000008384
vombatus_ursinus ENSVURG00010011829
phascolarctos_cinereus ENSPCIG00000013027
notamacropus_eugenii ENSMEUG00000008141
sarcophilus_harrisii ENSSHAG00000016104
monodelphis_domestica ENSMODG00000021288
ornithorhynchus_anatinus ENSOANG00000011253
pogona_vitticeps ENSPVIG00000016112
anolis_carolinensis ENSACAG00000007450
salvator_merianae ENSSMRG00000023596
sphenodon_punctatus ENSSPUG00000014366
manacus_vitellinus ENSMVIG00005000780
lepidothrix_coronata ENSLCOG00000014343
parus_major ENSPMJG00000001932
cyanistes_caeruleus ENSCCEG00000011529
ficedula_albicollis ENSFALG00000008252
lonchura_striata ENSLSDG00000018140
taeniopygia_guttata ENSTGUG00000010506
serinus_canaria ENSSCAG00000012658
junco_hyemalis ENSJHYG00000007821
zonotrichia_albicollis ENSZALG00000005995
calidris_pygmaea ENSCPGG00000014105
calidris_pugnax ENSCPUG00000013957
melopsittacus_undulatus ENSMUNG00000008104
anas_platyrhynchos ENSAPLG00000008989
anser_brachyrhynchus ENSABRG00000008569
gallus_gallus ENSGALG00000008785
meleagris_gallopavo ENSMGAG00000009494
coturnix_japonica ENSCJPG00005014225
numida_meleagris ENSNMEG00000019328
apteryx_owenii ENSAOWG00000016574
apteryx_haastii ENSAHAG00000005148
apteryx_rowi ENSARWG00000004485
dromaius_novaehollandiae ENSDNVG00000017142
nothoprocta_perdicaria ENSNPEG00000002908
crocodylus_porosus ENSCPRG00005010677
gopherus_agassizii ENSGAGG00000000770
chelonoidis_abingdonii ENSCABG00000013122
chrysemys_picta ENSCPBG00000000534
pelodiscus_sinensis ENSPSIG00000017510
xenopus_tropicalis ENSXETG00000009487
notechis_scutatus ENSNSUG00000018067
eptatretus_burgeri ENSEBUG00000001560
eptatretus_burgeri ENSEBUG00000016250
ciona_intestinalis ENSCING00000019260
ciona_intestinalis ENSCING00000020099
ciona_savignyi ENSCSAVG00000007062
drosophila_melanogaster FBgn0039877
caenorhabditis_elegans WBGene00009319
