gambusia_affinis ENSGAFG00000019617
xiphophorus_maculatus ENSXMAG00000022541
xiphophorus_maculatus ENSXMAG00000022311
poecilia_formosa ENSPFOG00000020462
poecilia_formosa ENSPFOG00000001017
poecilia_latipinna ENSPLAG00000007661
poecilia_formosa ENSPFOG00000001034
poecilia_formosa ENSPFOG00000022238
poecilia_latipinna ENSPLAG00000007673
poecilia_formosa ENSPFOG00000011187
poecilia_reticulata ENSPREG00000006625
poecilia_formosa ENSPFOG00000021778
xiphophorus_maculatus ENSXMAG00000013667
xiphophorus_couchianus ENSXCOG00000013098
poecilia_formosa ENSPFOG00000024392
poecilia_formosa ENSPFOG00000022397
xiphophorus_couchianus ENSXCOG00000012043
poecilia_reticulata ENSPREG00000007373
cyprinodon_variegatus ENSCVAG00000021254
