gadus_morhua ENSGMOG00000015868
neolamprologus_brichardi ENSNBRG00000008938
esox_lucius ENSELUG00000015399
pygocentrus_nattereri ENSPNAG00000022970
astyanax_mexicanus ENSAMXG00000005499
pygocentrus_nattereri ENSPNAG00000003749
pygocentrus_nattereri ENSPNAG00000022939
astyanax_mexicanus ENSAMXG00000019935
astyanax_mexicanus ENSAMXG00000036890
ictalurus_punctatus ENSIPUG00000007647
danio_rerio ENSDARG00000074052
danio_rerio ENSDARG00000074136
danio_rerio ENSDARG00000075389
danio_rerio ENSDARG00000075785
lepisosteus_oculatus ENSLOCG00000009205
serinus_canaria ENSSCAG00000014523
taeniopygia_guttata ENSTGUG00000002964
cyanistes_caeruleus ENSCCEG00000021126
parus_major ENSPMJG00000009067
meleagris_gallopavo ENSMGAG00000017034
sphenodon_punctatus ENSSPUG00000009485
ciona_intestinalis ENSCING00000021571
