seriola_dumerili ENSSDUG00000009431
seriola_lalandi_dorsalis ENSSLDG00000003943
scophthalmus_maximus ENSSMAG00000008660
poecilia_mexicana ENSPMEG00000003364
poecilia_latipinna ENSPLAG00000017067
poecilia_reticulata ENSPREG00000019314
gambusia_affinis ENSGAFG00000006632
xiphophorus_couchianus ENSXCOG00000010339
xiphophorus_maculatus ENSXMAG00000021731
fundulus_heteroclitus ENSFHEG00000007723
kryptolebias_marmoratus ENSKMAG00000008666
oryzias_latipes ENSORLG00020006950
oryzias_latipes ENSORLG00000023063
oryzias_latipes_asm223469v1 ENSORLG00015006002
oryzias_melastigma ENSOMEG00000010948
amphiprion_ocellaris ENSAOCG00000021080
amphiprion_percula ENSAPEG00000012153
acanthochromis_polyacanthus ENSAPOG00000007055
stegastes_partitus ENSSPAG00000018216
labrus_bergylta ENSLBEG00000027514
mola_mola ENSMMOG00000009222
cynoglossus_semilaevis ENSCSEG00000016209
anabas_testudineus ENSATEG00000002088
mastacembelus_armatus ENSMAMG00000012017
