macaca_nemestrina ENSMNEG00000042477
macaca_mulatta ENSMMUG00000037999
macaca_fascicularis ENSMFAG00000001769
mandrillus_leucophaeus ENSMLEG00000029666
cercocebus_atys ENSCATG00000019341
papio_anubis ENSPANG00000029571
rhinopithecus_bieti ENSRBIG00000035568
rhinopithecus_roxellana ENSRROG00000029837
piliocolobus_tephrosceles ENSPTEG00000019031
colobus_angolensis_palliatus ENSCANG00000005987
pan_troglodytes ENSPTRG00000046785
pan_paniscus ENSPPAG00000011535
gorilla_gorilla ENSGGOG00000042421
nomascus_leucogenys ENSNLEG00000032751
