ovis_aries ENSOARG00000009473
capra_hircus ENSCHIG00000016235
bos_mutus ENSBMUG00000019921
bos_taurus ENSBTAG00000020558
bison_bison_bison ENSBBBG00000015655
tursiops_truncatus ENSTTRG00000008708
sus_scrofa ENSSSCG00000003086
vicugna_pacos ENSVPAG00000010933
canis_lupus_familiaris ENSCAFG00000004610
canis_lupus_dingo ENSCAFG00020012410
vulpes_vulpes ENSVVUG00000008286
neovison_vison ENSNVIG00000007673
mustela_putorius_furo ENSMPUG00000006161
ursus_maritimus ENSUMAG00000023321
ursus_americanus ENSUAMG00000004835
ailuropoda_melanoleuca ENSAMEG00000012730
panthera_tigris_altaica ENSPTIG00000020728
panthera_pardus ENSPPRG00000010972
felis_catus ENSFCAG00000018891
equus_asinus_asinus ENSEASG00005013735
equus_caballus ENSECAG00000014224
pteropus_vampyrus ENSPVAG00000015949
callithrix_jacchus ENSCJAG00000013040
saimiri_boliviensis_boliviensis ENSSBOG00000034451
cebus_capucinus ENSCCAG00000024617
aotus_nancymaae ENSANAG00000027288
homo_sapiens ENSG00000234906
gorilla_gorilla ENSGGOG00000022601
pan_paniscus ENSPPAG00000042437
pongo_abelii ENSPPYG00000010101
rhinopithecus_roxellana ENSRROG00000045650
rhinopithecus_bieti ENSRBIG00000034907
colobus_angolensis_palliatus ENSCANG00000000172
piliocolobus_tephrosceles ENSPTEG00000035928
mandrillus_leucophaeus ENSMLEG00000043412
cercocebus_atys ENSCATG00000033379
papio_anubis ENSPANG00000024333
theropithecus_gelada ENSTGEG00000019586
macaca_nemestrina ENSMNEG00000038542
macaca_fascicularis ENSMFAG00000024498
macaca_mulatta ENSMMUG00000002471
chlorocebus_sabaeus ENSCSAG00000003240
carlito_syrichta ENSTSYG00000025580
propithecus_coquereli ENSPCOG00000026300
microcebus_murinus ENSMICG00000030597
prolemur_simus ENSPSMG00000025228
marmota_marmota_marmota ENSMMMG00000014736
spermophilus_dauricus ENSSDAG00000010332
urocitellus_parryii ENSUPAG00010021782
octodon_degus ENSODEG00000008478
chinchilla_lanigera ENSCLAG00000001142
heterocephalus_glaber_male ENSHGLG00100018178
heterocephalus_glaber_female ENSHGLG00000009840
fukomys_damarensis ENSFDAG00000016747
cavia_porcellus ENSCPOG00000009302
cavia_aperea ENSCAPG00000012350
castor_canadensis ENSCCNG00000000435
dipodomys_ordii ENSDORG00000027051
mus_musculus ENSMUSG00000109350
mus_musculus ENSMUSG00000002992
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030386
mus_spicilegus ENSMSIG00000007132
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029302
mus_pahari MGP_PahariEiJ_G0021162
rattus_norvegicus ENSRNOG00000018402
meriones_unguiculatus ENSMUGG00000000913
cricetulus_griseus_chok1gshd ENSCGRG00001005778
cricetulus_griseus_crigri ENSCGRG00000011691
cricetulus_griseus_crigri-picr ENSCGRG00015006428
mesocricetus_auratus ENSMAUG00000014292
microtus_ochrogaster ENSMOCG00000010632
peromyscus_maniculatus_bairdii ENSPEMG00000017266
nannospalax_galili ENSNGAG00000019759
jaculus_jaculus ENSJJAG00000017546
oryctolagus_cuniculus ENSOCUG00000020983
ochotona_princeps ENSOPRG00000019048
dasypus_novemcinctus ENSDNOG00000048532
loxodonta_africana ENSLAFG00000027825
procavia_capensis ENSPCAG00000010633
phascolarctos_cinereus ENSPCIG00000022899
sarcophilus_harrisii ENSSHAG00000002392
ornithorhynchus_anatinus ENSOANG00000019877
takifugu_rubripes ENSTRUG00000023643
tetraodon_nigroviridis ENSTNIG00000006404
maylandia_zebra ENSMZEG00005003736
astatotilapia_calliptera ENSACLG00000027667
haplochromis_burtoni ENSHBUG00000018041
pundamilia_nyererei ENSPNYG00000014728
fundulus_heteroclitus ENSFHEG00000000266
periophthalmus_magnuspinnatus ENSPMGG00000003623
mastacembelus_armatus ENSMAMG00000006680
monopterus_albus ENSMALG00000013499
anabas_testudineus ENSATEG00000010988
seriola_dumerili ENSSDUG00000009130
seriola_lalandi_dorsalis ENSSLDG00000002409
oryzias_latipes_asm223469v1 ENSORLG00015005463
oryzias_latipes ENSORLG00000023335
oryzias_latipes ENSORLG00020020620
oryzias_melastigma ENSOMEG00000017501
kryptolebias_marmoratus ENSKMAG00000012522
labrus_bergylta ENSLBEG00000001445
gasterosteus_aculeatus ENSGACG00000003473
pygocentrus_nattereri ENSPNAG00000004921
astyanax_mexicanus ENSAMXG00000034641
danio_rerio ENSDARG00000092155
